User_ID,x_coord_m,y_coord_m,distance_m,angle_rad,path_loss_dB,path_loss_linear,shadowing_dB,rayleigh_fading,h_linear,h_dB
0,-2602.2249782694203,1974.591978157361,3266.5866462919184,2.4924775220012574,96.18149746792453,2.409074625131781e-10,-0.21610293246664736,0.4243599361104991,6.752500866357482e-06,-103.41070574207379
1,2389.7259829961517,-2446.2324150554746,3419.7724050402917,5.486103035691011,98.02842036629444,1.574555464098433e-10,1.7981514205520424,1.4123813130743972,1.4408652702976186e-05,-96.82753192665334
2,-103.91587235128536,-3149.9663758839747,3151.679977048138,4.679411422198235,95.58408671487264,2.764339175558713e-10,7.174157398725401,2.867315902917164,2.087196499622607e-05,-93.6087328288499
3,1929.760043301169,4251.963420686209,4669.386121919593,1.1447440976643437,101.33591743790242,7.352046686393444e-11,-3.1012380984613,0.11247022109783913,1.3781725068258698e-06,-117.21392205911188
4,-3365.946413195657,-1774.5133655794036,3805.061489795487,3.626759580222365,93.34196528427421,4.6323724659236634e-10,-0.9622835463479267,0.4020090967108083,9.666111346117075e-06,-100.2949632300525
5,-1711.5046951646214,2322.3224927041892,2884.862229239092,2.2059122785034293,89.0900805592133,1.233081960031553e-09,7.125762613489467,0.2410397297179467,3.7264600788969677e-06,-108.57406820816234
6,3577.525921011216,-2432.4849017701795,4326.161637392554,5.68605313334047,101.04576813604886,7.860011589370272e-11,3.6440634524623965,1.63440348385096,9.525059558680358e-06,-100.42264508949388
7,-233.68240625976057,-593.2691075592845,637.6328888785001,4.337161445574397,76.82648694151555,2.0765926181187764e-08,6.44280956248717,0.43618134248401297,2.9936585187012823e-05,-90.47595451718291
8,1544.1258203183993,-4457.133611883192,4717.029211606908,5.045888083133954,99.32757445164384,1.167461465918927e-10,18.014899933871472,1.1883873067538102,1.6137426794403e-06,-115.8433089145207
9,-1714.5497048424618,4345.473492025237,4671.490186254208,1.946604206671128,102.03953908100851,6.252390461995885e-11,3.214380948196526,1.7974789100724324,9.816751603142236e-06,-100.16064307476866
10,945.4616796064935,677.350448852055,1163.0569281700755,0.6216632548110262,87.57217787354162,1.7489694061403534e-09,6.741579557106309,0.41131725918813244,7.915695175934516e-06,-102.03021766891703
11,1437.8075011968078,-542.3750256722816,1536.7046166947039,5.922466542642308,82.16654590681019,6.072190797805903e-09,-8.783823047323123,0.8792172503114477,0.00018834758559939843,-74.50079880555396
12,3683.382264873454,-1738.9366416260552,4073.2303584224155,5.842103132177437,97.41275545991255,1.8143641413551967e-10,-6.764328293385319,0.45493362190629877,1.335139597133075e-05,-97.48946582426598
13,-1463.2730390043557,-4618.809541574383,4845.056198643686,4.405584759651881,93.43128015136024,4.538078299307298e-10,-5.3968426194729355,0.4271340706278253,1.6937228163293662e-05,-95.4231527272348
14,-2871.765406345994,534.4412367875697,2921.0724031876716,2.9575955820419852,95.95469609482186,2.538226596605741e-10,-0.3591091165650266,0.2348106028653449,3.898866408184805e-06,-108.18123067901958
15,-2896.5588952409325,286.9060494949996,2910.7333293924744,3.042864036886667,97.6543350307074,1.7161944648421925e-10,-15.475649856615291,1.6309183524616597,0.00012691061862931522,-77.93004070965159
16,-1228.1349097530428,3508.0700821952055,3716.8361624030713,1.9075499647449365,87.92789470633608,1.611426603901045e-09,13.666482030811176,1.200476046351593,9.991591317696178e-06,-100.0073058917717
17,2252.3398559550787,-3941.581341841311,4539.724474136651,5.231536559759411,93.51496667340459,4.4514687884493457e-10,-5.6554009533049046,1.6365879953181373,6.621571534656035e-05,-83.58077836452881
18,827.3790489496004,3447.0635774644024,3544.968744251835,1.3352283623226457,87.69604191556695,1.699792107723647e-09,-3.7152809599746344,0.3226017670306888,2.039993079398231e-05,-93.80742569221403
19,1661.45424181285,1632.2145324610467,2329.067297785735,0.7765208465644329,95.86864614271384,2.589019883072478e-10,-6.322868169961488,1.8015269615604443,6.0027722681288625e-05,-84.43296250532944
20,-2360.9776770246785,2255.3768965944155,3265.109575052682,2.379065863016722,93.3674958094271,4.605220391990471e-10,-4.348643582533042,0.6110258555822895,2.1633011267118096e-05,-93.29766006900557
21,2136.50623209744,4267.7844863966875,4772.697696494032,1.1066588433058,94.80818880815252,3.305073478552147e-10,-9.684087900275753,0.05753551675922331,3.1895614428560047e-06,-109.92537782278747
22,3114.998380735486,3036.8087011176253,4350.33584900849,0.7726888133475606,92.8152891831042,5.229631425437282e-10,-5.134305612506015,0.9339558148151766,3.857244352383559e-05,-88.27445673806872
23,-4125.537142663323,2087.424419514153,4623.5697704997,2.6731753653707724,94.86833976522392,3.2596128670572833e-10,0.026868097859236297,0.726543245668373,1.3076787804271315e-05,-97.6699778049506
24,181.19981650207544,-480.62195843121293,513.6446635823645,5.072921645953177,73.88310532060504,4.089681321105545e-08,-1.3093189021109597,0.8085213686895687,0.00019010878296175506,-74.41995632255582
