Method,Time_ms,Std_ms,Pairs,Time_s,Speedup_vs_Blossom
Static,0.28199999997013947,0.25750209074194025,250,0.00028199999997013947,139260.17944736997
Balanced,0.07896666678182858,0.02661958337667748,250,7.896666678182858e-05,497315.79412488115
Bipartite,20709.578799999843,2078.677476396004,232,20.709578799999843,1.8962901650129287
Blossom,39271.37059999995,0.0,232,39.27137059999995,1.0
NOMA-GNN,707.1885666665972,79.75855032298408,203,0.7071885666665972,55.53168200259432
