u,v
266,50
265,344
850,535
986,608
657,90
434,363
853,961
879,79
435,292
523,1046
37,296
62,1052
1084,32
691,365
974,899
126,960
314,93
915,905
192,515
342,837
999,909
174,305
24,1
282,469
338,319
59,827
46,1023
726,822
626,1017
1065,762
825,512
543,294
394,970
514,896
211,839
99,906
122,73
429,895
476,443
753,283
706,350
567,143
184,463
447,346
957,301
293,908
378,307
551,1000
828,951
39,924
997,479
446,1075
1032,939
1031,655
18,955
990,976
101,582
1015,454
64,457
788,121
416,916
883,573
991,433
390,873
772,217
409,988
947,243
1077,668
1072,979
34,357
793,291
933,290
57,275
590,15
120,615
1071,179
343,1001
214,219
812,527
679,147
864,696
602,271
382,262
862,1045
689,622
599,84
660,0
300,303
1098,605
654,1091
724,16
45,498
205,520
356,195
958,470
465,318
70,1054
928,28
198,4
890,1099
341,168
1061,136
1090,349
809,865
351,996
153,963
942,1035
67,671
326,43
1033,157
674,472
383,682
19,836
877,550
56,789
1024,878
406,625
370,109
678,451
127,348
623,545
331,946
180,540
992,544
798,560
639,453
304,692
790,92
280,264
177,994
483,1053
471,604
556,713
162,189
268,756
834,277
592,54
714,220
298,871
495,366
91,575
876,842
743,442
921,53
867,167
1011,216
9,796
769,659
702,683
547,209
13,253
900,402
557,334
468,387
439,212
132,636
1055,950
242,452
169,603
398,1022
1059,250
733,568
134,160
920,376
574,633
786,419
428,248
52,47
586,723
782,218
860,897
525,981
230,930
649,791
874,526
232,566
23,44
104,621
149,485
171,110
630,616
801,891
705,124
165,131
618,418
491,641
690,311
81,562
358,1068
421,260
1095,1014
773,278
328,777
1016,362
170,737
206,128
614,799
962,379
763,711
1080,466
480,709
371,847
1051,845
302,108
339,98
687,595
233,609
708,1041
75,524
1066,1029
650,484
855,781
3,807
432,359
712,202
538,178
395,695
866,869
684,601
1005,251
299,563
354,112
445,952
785,235
848,193
1064,430
945,228
818,239
80,734
824,1094
982,565
548,685
598,145
226,511
163,662
475,518
710,474
380,725
717,364
450,58
199,133
102,207
1020,1013
360,541
223,285
629,259
881,397
651,489
381,522
467,1043
640,821
533,333
752,998
208,35
665,795
634,653
414,901
276,427
71,244
593,76
888,559
861,780
745,486
716,978
577,399
258,635
778,158
306,103
597,330
645,487
1085,152
537,38
505,721
500,222
886,315
424,722
1009,254
846,313
107,583
234,579
7,60
1004,870
229,954
509,297
51,1021
912,1006
337,656
61,995
490,482
403,728
1050,130
823,578
1086,627
325,63
30,943
327,661
1018,628
688,22
462,977
553,361
885,288
401,529
151,935
377,274
74,340
478,1026
815,748
224,96
1088,768
146,372
12,65
835,507
699,68
496,882
741,1025
611,964
738,613
918,436
295,700
237,396
213,643
473,252
718,965
750,506
1078,760
284,664
1081,831
675,536
584,810
49,532
804,779
83,729
273,968
55,694
240,814
673,72
530,802
911,86
1067,806
441,323
115,464
816,1019
499,88
555,25
971,516
161,949
27,576
736,241
353,754
747,826
270,594
819,913
852,644
589,123
985,984
187,898
534,517
317,776
666,150
11,404
887,238
1012,391
863,744
225,455
87,113
872,21
477,335
761,973
105,138
749,188
759,508
612,840
175,542
448,94
1037,880
407,766
637,686
116,369
987,764
669,203
701,704
261,624
497,703
730,893
680,164
332,444
620,415
389,1087
204,735
66,771
1073,531
503,194
438,858
838,646
392,757
805,8
854,558
539,423
227,1047
77,844
1056,117
926,585
420,941
385,663
528,119
190,456
246,989
927,1076
667,355
783,135
829,972
600,902
345,519
857,129
197,176
352,408
