User_ID,x_coord_m,y_coord_m,distance_m,angle_rad,path_loss_dB,path_loss_linear,shadowing_dB,rayleigh_fading,h_linear,h_dB
0,296.03636919314624,-72.13817242284338,304.69894618388275,6.044163571842819,117.43319237403632,1.8058462123161818e-12,-5.09249707583991,1.1622092970481184,2.807046327744333e-06,-110.51611044028832
1,759.2435681572576,-560.4689234985758,943.7034544791159,5.647283059102636,140.11107603117446,9.74748099007659e-15,-3.5592333999842913,1.4383900343961198,2.1393632632894745e-07,-119.80564339325036
2,-215.49408346204316,-641.4518068705783,676.6816981008691,4.388287590455373,130.24872955159316,9.443370842811149e-14,0.5595598442202334,0.14315713820487902,4.12475861434159e-08,-119.99261735130354
3,268.5573124104163,320.50566612910404,418.14699815969817,0.8733587221301844,119.31934835602682,1.1696748835576418e-12,-7.104824816858097,0.9761955003819144,2.3922723712100474e-06,-111.72439014160737
4,-778.6059432793041,494.53276738766596,922.3827149995593,2.5757266340013407,130.33436697330782,9.258983340252994e-14,8.11950587816892,1.25916271130824,1.5044862103517995e-07,-119.90279437706371
5,270.276859052245,-710.027504093357,759.7293183155361,5.076109865898471,130.54665603528795,8.817275210235055e-14,4.016132959476473,1.6478450295467817,3.0816046204951666e-07,-119.60600607277354
6,463.22878457352897,838.7179016297729,958.138103496421,1.0661845308242972,132.5040447825466,5.61817834884684e-14,-4.041262799963406,2.015760357580108,7.60851324331956e-07,-118.01646822710835
7,722.2987822311392,-475.354639239446,864.6835050231099,5.7011274672243415,126.66222786773946,2.1566378014092596e-13,12.220989483259658,1.5616112907711892,1.7758736888432537e-07,-119.86515074602318
8,-485.2667687110099,-98.14936308904839,495.09305619248045,3.3411589698591047,128.36093418903317,1.4585004958189126e-13,1.4091596711382604,1.7015031679946764,5.524946399205042e-07,-118.84306189268011
9,-133.07411729594926,-619.5979618529973,633.7273507009811,4.500827943145204,131.57136448623072,6.964076791912317e-14,-7.936591563596069,0.7282926792645408,4.792557127087505e-07,-119.10205757908592
10,166.4003226984551,-597.2110983135989,619.9598078448998,4.984125890472681,127.01769114870118,1.9871510709958536e-13,-23.04095509594676,1.7663119118196569,1.117456420470593e-05,-99.00074713691973
11,154.79859832759138,229.69332306892215,276.9866940967223,0.9777779814141099,117.4939832125373,1.780744775080806e-12,-6.177380193013188,0.9171054899641872,2.4922358691216827e-06,-111.4199007272351
12,680.7552853109412,684.0152193316611,965.0412316352714,0.7877867905034226,131.46557427076527,7.135798417001125e-14,7.271402846275164,0.7381795927579581,8.537155244369971e-08,-119.96846209651673
13,226.0087600772405,634.6561539466023,673.6975533382506,1.2286868063265701,133.99026654495154,3.99000413262248e-14,1.6693616713326906,1.5031239909741123,2.4774984742720795e-07,-119.74129105571103
14,900.8811998080407,-428.3201407351957,997.5194630316709,5.839373338855602,131.75251951042497,6.679562978348315e-14,10.945745252348212,1.2824429020892927,9.399933908983543e-08,-119.96179481983222
15,-285.59634662588184,838.7127174659001,886.0046815029172,1.8989986244271777,132.57009234801293,5.533383429507085e-14,-6.051114559580966,0.5352370932830983,2.5269538712698265e-07,-119.73117577812329
16,-180.69930394387995,-536.7206593440912,566.3226153108833,4.387635828086162,125.43653577056244,2.8598708621314836e-13,6.162068795027741,0.6808210549585986,1.7910295443848048e-07,-119.86287534789936
17,410.2052505300278,389.71259208907304,565.8129125384,0.7597853117170315,129.8368620384506,1.0382783449314694e-13,-9.999115249802301,0.9705532217823154,9.888536391466092e-07,-117.03810706268256
18,274.57956935544235,956.277626900211,994.9175039254859,1.2911848368165626,134.64521506421863,3.431456466775714e-14,-6.05078256343049,1.4221727400514097,5.287260701104224e-07,-118.92942312137481
19,-292.3857622789342,771.7942969997476,825.321677205178,1.9329284206991526,136.21300062759178,2.3916627377138444e-14,7.475538461695406,1.7106039309812053,1.1187228566262506e-07,-119.94598359038253
20,563.0019179172436,726.4649372194149,919.0878437819223,0.9114934897054346,129.65272746845295,1.0832463968963448e-13,-1.4109524050922444,1.0444541979785886,4.0439022261057e-07,-119.3422187253407
21,485.96098986483815,-145.79556081947968,507.3602558587733,5.991714799534424,125.00361848246195,3.159643990820762e-13,10.579892481468764,2.1912483289197784,3.6434771458572526e-07,-119.45866213966363
22,-773.6625775767352,-202.5625828817939,799.7408229710558,3.3976674313795616,131.4042010394361,7.237355338279148e-14,-10.101471765014502,2.045868340235421,1.7609264546638292e-06,-113.87124847362728
23,353.49049398426644,746.4307580374663,825.9021769444777,1.1285117993153548,127.95391276481374,1.6018016014213103e-13,-3.953276582135619,1.0537596740875599,6.648287096921809e-07,-118.41035578922819
24,705.8895185316803,589.2450125133471,919.505137095352,0.6955768793953092,128.80267741512563,1.3174442868833252e-13,-2.072070638463063,1.075325009289317,4.954609233304919e-07,-119.0466270969952
25,-18.093852014551086,-881.7441265291569,881.9297546570193,4.69187133542772,128.14496930644555,1.532862039753683e-13,-9.577784953274334,2.680814426103231,3.1616044502488233e-06,-109.5877543119216
26,41.30693688638429,362.15370283566745,364.5018072829278,1.457227986662706,120.19980402967693,9.550356799210682e-13,-5.515925499396954,1.7105995987151037,3.1546736574330004e-06,-109.60507917688348
27,959.2606815116889,9.0691584873666,959.3035519218819,0.009454039411316057,130.51623343965815,8.879257607301916e-14,0.40501943274060553,1.6056435891555219,4.5665320073464863e-07,-119.17741793305692
28,-120.07064083653069,20.44970902361871,121.79962803738697,2.9728973489894166,95.05529119995742,3.122273046837285e-10,7.637611239144575,1.2460646905551023,9.138932459812499e-06,-100.73040067125744
29,443.6595704289526,235.45609176123497,502.2682406649636,0.48791538956385533,129.97494635756627,1.005785486012005e-13,-7.051405370817064,0.7060203736546741,5.042433557271189e-07,-119.01611956202144
30,-408.12651090571967,-186.4479895246648,448.6982301077931,3.570119080227654,128.00248832293693,1.583985376067021e-13,2.561077747862781,2.179232112955189,6.458403672937965e-07,-118.48596504718776
31,-564.3876895552459,-635.4720894521967,849.9166080235456,3.986165572926358,127.46323232143858,1.7933983582661739e-13,-2.0815661767663762,0.8285810917659714,4.4591461962598654e-07,-119.2123883005969
32,42.35901707102236,-62.74012665400975,75.70079140791296,5.3062419135486385,80.29262842566473,9.34839721659958e-09,-11.548251554184827,1.1035045142570608,0.00040323226059492016,-67.88886787898471
33,152.69261079942058,261.44857969803877,302.77118954561223,1.0422056748138169,93.47130756349333,4.496444566284143e-10,0.7365208614236625,0.9889656631739415,1.9265921745652437e-05,-94.29251938618783
34,265.1000358544107,-248.25572153138216,363.19269304747445,5.53058754176183,113.41421215522335,4.555948271995761e-12,-9.09515724687333,1.2106891829303832,7.363425831916885e-06,-102.57903283245165
35,-975.685288524016,134.90135341007502,984.967084421638,3.0042005467550488,130.60106050765555,8.707509345281647e-14,-9.036588870381898,2.349046058684911,1.9618597192793535e-06,-113.14357349318955
36,-250.85562673001857,903.0972549593262,937.2903484924939,1.8417383231346378,139.30146619148954,1.1745009728693203e-14,4.363612468974669,1.051463864707509,6.895097616214757e-08,-119.97940153684098
37,-238.40805434720653,-164.68793427147554,289.75941067069147,3.7461050469936814,93.04700331085014,4.957921759382906e-10,-14.65703618428733,0.792698142627262,9.541342467615652e-05,-80.40733328921222
38,-124.21284590994726,337.367373519321,359.50740716204075,1.9235768721030522,120.72420107846885,8.464082584639868e-13,-0.5808456830568749,1.0260418269136307,1.0092466011699101e-06,-116.94954313300349
39,-87.4094570697044,80.72166085843227,118.98066950964872,2.3959507972090646,84.5451444474153,3.5114424517790434e-09,9.762272263056136,1.2828602965174947,2.470634654360564e-05,-92.13672037181854
40,586.5057632520706,-545.8789059085187,801.2320451927615,5.533649020555683,132.6419741240452,5.442552005824472e-14,-18.160499052481214,1.7855589573889115,3.370547416772572e-06,-109.07960802766655
41,-24.711429077986946,430.37457858055427,431.0834404329005,1.6281517726499861,120.16471674451796,9.627828055313126e-13,-9.781453096015,1.458472809589567,4.413012468740521e-06,-106.88782897295413
42,486.1454592271652,-50.13887636389573,488.72417011052903,6.180413129209659,128.54441288970324,1.3981659166011433e-13,6.026720038068738,1.6010650033643137,2.991247290809484e-07,-119.62782490395439
43,-815.8412172988875,23.104165530696736,816.1683002350682,3.1132807816593937,130.1805985598685,9.592684126717086e-14,-14.850515211178058,1.958039511477713,3.3521024525459183e-06,-109.12339560967663
44,-209.40078024376643,-379.0328735908352,433.0295671535885,4.207658492183901,125.75740242886913,2.656193790613452e-13,7.707198639920274,1.1190295408748798,2.3747150138589152e-07,-119.76174602820407
45,696.1509898851671,535.6753761846043,878.3930267076437,0.6558531910488162,133.27188269400762,4.7077319899988236e-14,-1.836219863800547,2.955504316317774,7.922248417567942e-07,-117.88446928889299
46,-249.994592674717,66.98606887777608,258.81350387932974,2.8797924459966406,91.97248100760052,6.349680880247011e-10,14.308428629194681,0.6353025245297045,3.0827272347817454e-06,-109.78678066801845
47,-23.029361404753235,-885.2798102604941,885.5792985055415,4.68638119334142,129.96392968638406,1.0083400829662987e-13,-0.5129899455839146,1.4700714549088552,4.952123395002875e-07,-119.0474858994513
48,-489.31781212702106,-623.7250282845156,792.7577386398032,4.047165488889285,136.9381222904097,2.023894037553476e-14,-0.646232275610257,1.4412803780719408,2.2087876905845743e-07,-119.79312526166129
49,-283.5871213493939,420.1019399594455,506.860232562119,2.164575938200095,125.09542726023784,3.0935509559924344e-13,9.108350024016367,1.8770187189167187,3.6583035586219823e-07,-119.45451347867136
50,-119.68664880116289,231.53062219784513,260.6363806466285,2.0479012164797146,113.81968438469923,4.149841997303877e-12,8.15563092985542,0.443425155007186,3.5322754328033453e-07,-119.4893639258993
51,410.0961836019837,-413.9819415037432,582.7177084113032,5.493071900184099,120.63478702839677,8.640150296671924e-13,-11.934552951118187,1.3658124040891337,5.0162520327137915e-06,-105.82316036747034
52,211.88990182701107,178.5958715431553,277.1169713830599,0.7003407749744968,114.19546357407768,3.805867308912937e-12,-11.099925094528118,0.25213088994860716,1.765424432852126e-06,-113.85448309023843
53,-68.03521016779608,-847.7912239241319,850.5167542061437,4.632310631105845,134.38835394637712,3.640529925653565e-14,-8.499617048575294,1.3051165059599088,6.625405095604745e-07,-118.41951300440188
