User_ID,x_coord_m,y_coord_m,distance_m,angle_rad,path_loss_dB,path_loss_linear,shadowing_dB,rayleigh_fading,h_linear,h_dB
0,-2316.831591324227,2097.880550758294,3125.5097868680355,2.4057496541782717,152.31706721366652,5.865341167138195e-16,-13.328296069343628,0.7677115529046082,1.8592796479753884e-08,-119.99849893780583
1,1894.0627067473326,-1285.6159751326527,2289.1662177760954,5.686856346416185,160.6264963089971,8.656660172405285e-17,-0.2853432514290834,1.3065777504138396,1.2156552861496381e-08,-119.99935823931426
2,-347.5704010808455,25.26903184134356,348.48774394187615,3.069018429694429,139.90403285793528,1.0223432036101347e-14,7.604336973923572,0.40674203881605686,4.112608969096731e-08,-119.99266074236353
3,-2636.3209556195466,1777.9419096309543,3179.8216325858475,2.5482534556241023,159.91162849228755,1.0205567295008189e-16,-5.995601165294046,0.7453375514569661,7.529594317005146e-09,-119.99975378463249
4,-3085.3489917526226,-3703.207822333545,4820.075370396326,4.017755500500667,188.42312699251943,1.4377629922078195e-19,16.19310989558776,0.5653147714478436,2.1435518049661748e-10,-119.99999980044976
5,-3048.099364862877,-45.94483796444391,3048.4456147704277,3.156664786525304,150.65958564820647,8.59095482199842e-16,-14.606293226534167,0.9877127028357964,2.8950185897002446e-08,-119.99636164480863
6,520.1702880697877,-2275.589490989749,2334.2846142005883,4.937114994272936,168.88392584597193,1.2930264695123337e-17,7.675409510034173,1.1883571245933888,4.273175030004432e-09,-119.99992069844376
7,1427.3126205839164,-896.2495252494339,1685.3737058551621,5.722483251053069,153.5156738335947,4.450744016347951e-16,-2.7418267311259052,2.5799827270064526,5.442934482699144e-08,-119.9871528141418
8,2113.9503544365803,-1792.4263270374338,2771.566026433332,5.579909512773731,167.43605700178168,1.8046554600361882e-17,3.617540908210379,2.439458384604479,1.0363120872526771e-08,-119.99953361763615
9,-2429.3438545254876,1400.4406932150637,2804.094452534265,2.6186553074160877,177.17643200632097,1.9158292490548986e-18,13.180556595357022,1.3642989602189262,1.8883737199360885e-09,-119.99998451328048
10,-1184.2702866303287,3158.5246393532952,3373.2438407558598,1.9295180180354028,158.59145595415416,1.3831026218490147e-16,-8.213347880666968,1.7669450664307467,2.0780225208821346e-08,-119.99812504408811
11,1378.3740898971434,-562.797674977361,1488.8439658539446,5.89553961397741,163.47330548119078,4.4943765086674825e-17,9.100450929174833,0.9581159817989514,6.42322019548609e-09,-119.99982082353122
12,-324.9764321374712,3789.276820275463,3803.186624676959,1.6563491106087396,179.26946373154266,1.1831876471603099e-18,10.641163362494355,0.7577605883208005,8.242497554781102e-10,-119.99999704945787
13,481.44587857164163,4378.038214167829,4404.430580529957,1.4612680175953792,172.91333786267495,5.11288722662067e-18,2.0540628627693494,1.603822267721376,3.626513895498466e-09,-119.99994288368933
