User1_ID,User2_ID,h1,h2,P1,P2,R1_bitsHz,R2_bitsHz,R_sum_bitsHz,Mode,U1_Distance_2D_m,U1_Height_m,U1_Distance_3D_m,U1_Ring,U1_LOS_Status,U1_Channel_Type,U1_PathLoss_dB,U1_PathLoss_Linear,U1_Shadowing_dB,U1_Fading,U1_LOS_Probability,U2_Distance_2D_m,U2_Height_m,U2_Distance_3D_m,U2_Ring,U2_LOS_Status,U2_Channel_Type,U2_PathLoss_dB,U2_PathLoss_Linear,U2_Shadowing_dB,U2_Fading,U2_LOS_Probability,SIC_Margin_dB,SIC_Satisfied,Throughput_Mbps
201,322,8.12934628144511e-08,1.1974363185999805e-08,0.8716131414284074,0.12838685857159268,2.354268790551888,3.515638321484492,5.86990711203638,NOMA,2466.826920895223,16.154640431067804,2466.842779351637,1,False,NLOS,148.1934653245231,1.5158403647410802e-15,-1.3066848816128456,1.7963652512117037,0.007298571832705639,3301.376972594649,22.16721461116149,3301.3781879468565,2,False,NLOS,149.5316435687667,1.1138729134086802e-15,-0.32850420232358524,0.34546924797938183,0.005452329908754527,8.318031970680671,True,0.4695925689629104
403,429,1.5356060334156437e-07,1.796857638948132e-08,0.8952447833210904,0.10475521667890961,2.718317940183021,4.094765941347766,6.813083881530787,NOMA,3744.2758943829617,21.995785204166474,3744.2770995966453,2,False,NLOS,151.77111049033482,6.651030677028285e-16,-7.387177078457546,2.5437620296753933,0.00480734193938754,3485.9553428436043,16.758184402246208,3485.965085858465,2,False,NLOS,153.70043437773194,4.2653685480624097e-16,7.468269183756168,2.055648465367771,0.005163582421747086,9.317661395154431,True,0.545046710522463
159,270,2.2406420371767026e-08,3.4123297547402167e-09,0.8678352074356654,0.13216479256433455,1.604503182899223,1.9859884961908665,3.590491679090089,NOMA,2902.752065372275,11.36147344469957,2902.7841053770444,1,False,NLOS,153.8312767176214,4.138779871129119e-16,2.9160702499529054,1.5407771458202564,0.006201011865507542,2573.25615450028,9.26403721384479,2573.3042682897753,1,False,NLOS,153.044932323962,4.960286569421875e-16,6.899562508543335,0.33905935751622035,0.006995028446165539,8.173214864945468,True,0.2872393343272071
333,157,2.5004683580542852e-08,3.828886045790777e-09,0.8672073525612359,0.13279264743876404,1.6786255360612172,2.111177621974804,3.7898031580360216,NOMA,3316.3519869341562,7.246967914622041,3316.3995041897997,2,False,NLOS,158.56084030580365,1.3928872705088549e-16,-5.955229146669718,1.067337875704383,0.0054276506447195096,2755.075317344533,11.652826837498079,2755.1076478556165,1,False,NLOS,152.77028019073174,5.284111595424358e-16,9.134912737310893,0.4767954338183992,0.006533396704867299,8.149489219869675,True,0.3031842526428817
100,74,1.527524923188459e-06,6.001549742237716e-08,0.9621959248135017,0.03780407518649828,4.222329300428466,5.876435098507533,10.098764398935998,NOMA,972.262443300939,12.132723288461142,972.3475846956596,0,False,NLOS,134.80579268746695,3.3068974805422516e-14,-13.903286836686236,1.694781042757818,0.018513714579627756,1433.7057282073145,11.75090038709908,1433.7669454046631,0,False,NLOS,141.62600292723897,6.8770108141861195e-15,8.562867094251635,1.939576488900152,0.012554877776559554,14.057248949641734,True,0.8079011519148798
167,347,1.5022986383186056e-08,2.3684669993408418e-09,0.8638143145804923,0.13618568541950773,1.3487684799088735,1.606876012647033,2.9556444925559067,NOMA,2364.128293819318,13.174493340770004,2364.157869568948,1,False,NLOS,149.25994147588415,1.1857847273098978e-15,13.583505965885339,2.0841484306904414,0.007613841430957114,3769.6992387096357,10.156048889388796,3769.728464122128,2,False,NLOS,158.98992904331374,1.2618481509778573e-16,16.921257487567903,1.4791992041097912,0.004774916740084915,8.022889356686505,True,0.23645155940447252
116,308,6.68045810376603e-08,9.998131583114829e-09,0.8698205930240759,0.13017940697592412,2.2565802358158082,3.277476106567305,5.5340563423831135,NOMA,1946.6867015419966,15.958866051853443,1946.7076966158854,0,False,NLOS,144.291914406976,3.72227589001229e-15,1.3232779011236027,1.2751634618399517,0.009278192447761954,3536.8780661697206,15.287902506841434,3536.8914006214804,2,False,NLOS,154.82875640037403,3.289458108254141e-16,4.564858779798907,0.9323942940440049,0.005089235740608673,8.24887396574387,True,0.44272450739064906
78,269,2.2559196943694003e-07,2.7750843173220922e-08,0.8904612967413312,0.10953870325866866,2.8312515706591452,4.684316724595129,7.515568295254274,NOMA,1036.21657097086,15.28793348752583,1036.2620837368074,0,False,NLOS,133.993153069169,3.987353070397459e-14,2.391764569290515,1.48788552116947,0.020013950774847983,3010.1595844624544,19.80487638350911,3010.164067495419,1,False,NLOS,149.38173879278378,1.1529915400599575e-15,6.657004625117699,1.7587874338755143,0.0059799698486782266,9.100474525554807,True,0.6012454636203419
93,77,4.1294189159298614e-07,3.172332322612606e-08,0.9286579607108891,0.07134203928911094,3.325957046118989,4.928849561861502,8.254806607980491,NOMA,1034.847495287788,21.152133962521255,1034.8546490094398,0,False,NLOS,130.45156570457763,9.012461646452337e-14,-1.4238789360179493,1.1675440670359574,0.03528572198112689,1912.4444774983265,9.064526550826793,1912.5108676365467,0,False,NLOS,148.1277258243455,1.5389603032831622e-15,3.2585030554476635,1.1767660224141283,0.009412037950335682,11.145102666290057,True,0.6603845286384392
118,488,4.109576060234025e-08,6.381669140756973e-09,0.8655852017413641,0.1344147982586359,1.9903590446465032,2.705729885100442,4.696088929746946,NOMA,1505.6220807406198,5.779429992821316,1505.7447593550223,0,False,NLOS,146.04022605230753,2.4887277754672034e-15,1.3097453093126294,0.9578457815070496,0.011955191340770365,4145.134311357669,5.22094967294212,4145.1815002514,3,False,NLOS,163.56239306613128,4.403121741438686e-17,-5.190502012567673,0.5290891273895274,0.004342440714328604,8.088627384669039,True,0.3756871143797556
