User1_ID,User2_ID,h1,h2,P1,P2,R1_bitsHz,R2_bitsHz,R_sum_bitsHz,Mode,U1_Distance_2D_m,U1_Height_m,U1_Distance_3D_m,U1_LOS_Status,U1_Channel_Type,U1_PathLoss_NoShadow_dB,U1_PathLoss_dB,U1_PathLoss_Linear,U1_Shadowing_dB,U1_Fading,U1_LOS_Probability,U2_Distance_2D_m,U2_Height_m,U2_Distance_3D_m,U2_LOS_Status,U2_Channel_Type,U2_PathLoss_NoShadow_dB,U2_PathLoss_dB,U2_PathLoss_Linear,U2_Shadowing_dB,U2_Fading,U2_LOS_Probability,SIC_Margin_dB,SIC_Satisfied,Throughput_Mbps
803,964,2.0788127987173523e-10,1.82892539526011e-08,0.9887614337431676,0.011238566256832417,0.26911204287022195,0.2696854949938238,0.5387975378640457,NOMA,3899.3522866306607,9.613071490734011,3899.3826450889264,False,NLOS,159.8896359844126,163.33667415898503,1.0257378976259495e-16,3.4470381745724423,0.030524537331344782,0.004616151267407896,4439.172009038208,21.69196350070619,4439.173241599588,False,NLOS,154.84274861925854,156.07885188232945,3.2788770960360056e-16,1.23610326307089,1.1644975640654098,0.004054810263546345,11.761040854819619,True,0.015685517841748056
15,914,2.1367688423034655e-10,1.8339021530183686e-08,0.9884827058869056,0.0115172941130944,0.2758383043866342,0.2764560548673127,0.5522943592539469,NOMA,4973.817048311237,4.928639659390918,4973.8575461685095,False,NLOS,166.83095292390325,164.10906026415586,2.0744582922874315e-17,-2.721892659747398,0.03429340082020267,0.003618950963649045,2530.041500511101,20.771500969163284,2530.0450340878356,False,NLOS,145.85271237662369,156.16674252211104,2.598536146239077e-15,10.31403014548734,1.1795416660490023,0.007119174126546744,11.751236708445598,True,0.01607843840622844
1003,594,2.717493466471894e-10,1.8346898540607647e-08,0.9854044531969902,0.014595546803009904,0.3411034661201429,0.3423078463935378,0.6834113125136807,NOMA,4944.3828396998415,5.947079166690297,4944.41954928084,False,NLOS,166.11913989224433,169.41210532545563,2.4439145150235412e-17,3.292965433211302,0.08031076723449128,0.0036404947965341466,4098.330534798181,5.426793826311922,4098.377274343965,False,NLOS,163.2461589991277,156.92012892309492,4.735699099863341e-17,-6.326030076032754,1.2869720212403537,0.004392032279281835,11.541322503667985,True,0.019895525837370618
1073,851,3.1063586568630835e-10,1.843387078140102e-08,0.9834278985553041,0.016572101444695928,0.3828591337411927,0.3845891706586537,0.7674483043998463,NOMA,4461.838655361013,2.7562589432834352,4461.894101218671,False,NLOS,166.2908181434784,179.51464638631114,2.349190228139624e-17,13.223828242832754,0.29375408640577794,0.004034211317429092,3997.985519931962,14.732991598570113,3997.998702982175,False,NLOS,157.24157664647322,163.80723551441275,1.8873060641646826e-16,6.565658867939542,2.8574478600137714,0.004502267500977951,11.42586186943072,True,0.022342017595337594
460,536,3.7001725917012865e-10,1.8457838566449e-08,0.9803473500861077,0.019652649913892206,0.4437410103713071,0.44651609226003136,0.8902571026313384,NOMA,3929.9395807198803,14.5109030885597,3929.953578512444,False,NLOS,157.0834794239814,168.02653066974239,1.9572759403287597e-16,10.94305124576099,0.09322846107291168,0.004580223172878394,2572.054285497993,3.105307294688937,2572.147473438732,False,NLOS,156.7325389195764,158.50775156200527,2.1220035594041315e-16,1.7752126424288746,1.5544201643016113,0.006998297081632124,11.231460852425139,True,0.025917237340068074
0,789,4.1100726388419154e-10,1.847054405003239e-08,0.9782323360485078,0.021767663951492166,0.4838754980483365,0.4875487027649278,0.9714242008132643,NOMA,2054.7724396219382,10.330249800661578,2054.824805232992,False,NLOS,148.58645018113435,160.63005945002024,1.3846977352334955e-15,12.043609268885875,0.0441928967827331,0.008760094136422132,4777.852885899047,5.133420624332014,4777.894188894302,False,NLOS,166.02587201286653,152.5537168039201,2.4969669768559156e-17,-13.47215520894641,0.7837282978077398,0.0037673826360630916,11.101549184805318,True,0.0282801805185812
299,768,4.2697196231118174e-10,1.8639080962080878e-08,0.9776056447548754,0.022394355245124557,0.49922781556977647,0.503257336658615,1.0024851522283915,NOMA,3955.1567686229487,8.480190597834202,3955.1912682557604,False,NLOS,160.8105520490834,167.2475355134139,8.29745288568851e-17,6.436983464330494,0.09835040057206025,0.004551020617639637,4073.256644096848,11.1358395280616,4073.2802387786564,False,NLOS,159.71648003371865,163.00863056759036,1.0674609501465261e-16,3.2921505338716965,2.6354575368718454,0.004419068468491038,11.090926414467297,True,0.029184429468075444
304,750,4.614952456265377e-10,1.8647589766572984e-08,0.9758494325954429,0.02415056740455717,0.5314547079946269,0.5364009692097462,1.0678556772043732,NOMA,4492.974824389725,8.247135117559628,4493.006057316376,False,NLOS,163.11422593647563,174.00709441135103,4.8817710359998847e-17,10.892868474875405,0.2314845188985225,0.004006254364544524,2800.695246062421,5.356776073009056,2800.764131011909,False,NLOS,156.82686226401867,153.34698833527887,2.0764131642470769e-16,-3.4798739287397953,0.8669062284217558,0.00642697559661542,10.98532738959044,True,0.031087501519777967
487,42,5.133119161733612e-10,1.8709429176235293e-08,0.9732966326859558,0.026703367314044286,0.5780684375695851,0.5845823096517807,1.1626507472213659,NOMA,3789.6245193577856,15.378732865979384,3789.6367327883804,False,NLOS,155.94571464611963,182.2279670149162,2.5434812203360307e-16,26.282252368796563,0.6634064611676389,0.004749811339624767,1738.2155761212052,12.208311612127678,1738.2626430899866,False,NLOS,144.62008362937894,146.11819376968265,3.4513709318218393e-15,1.498110140303704,0.37841664055238783,0.010355447419219201,10.843289481086227,True,0.033847183325221714
279,793,5.312944596236797e-10,1.8714580353538818e-08,0.9723943720521179,0.027605627947882145,0.5937458020035611,0.6008670183207581,1.1946128203243191,NOMA,4880.277089444854,4.314160577683746,4880.32092937677,False,NLOS,166.8774273128617,182.39181621488103,2.052377612612324e-17,15.514388902019345,0.6997229167865068,0.0036883151653275396,1256.175848237053,3.166705070531324,1256.365573573853,False,NLOS,144.53479220040646,154.7250122747205,3.5198226363709077e-15,10.190220074314043,1.01960206621385,0.014329206167307951,10.791435338390203,True,0.03477766580274583
