Method,Total_Throughput_Mbps,NOMA_Pairs,OMA_Users,Avg_NOMA_Rate_bitsHz,Avg_OMA_Rate_bitsHz,NOMA_Percentage
Static,192.1833277753721,145,210,10.656696035654853,8.885872108775722,57.99999999999999
Balanced,217.11799897132556,250,0,10.855899948566279,0.0,100.0
Blossom,217.20872116635564,250,0,10.860436058317783,0.0,100.0
