u,v
801,274
348,319
121,942
231,975
808,331
1021,48
159,1054
275,353
8,238
1013,44
787,366
535,676
658,490
468,775
834,307
547,650
570,624
960,74
621,208
232,921
987,27
1051,30
630,522
308,898
605,1023
394,821
1010,7
643,479
607,556
1024,170
355,448
632,320
756,383
519,717
139,1061
1035,72
1043,979
255,226
152,1027
179,990
198,1003
663,456
638,521
133,1041
872,41
583,603
662,469
518,721
321,850
363,438
859,623
625,56
411,96
237,963
1036,14
737,117
966,187
65,380
554,526
205,647
938,143
591,584
530,681
425,399
451,802
454,798
123,680
1060,528
931,216
382,702
389,836
1086,19
108,1073
497,369
457,723
974,186
101,539
1089,33
692,455
1029,149
739,405
571,601
397,830
385,828
1084,39
55,37
76,725
1048,113
1049,90
287,945
432,280
614,28
217,984
337,811
93,1088
178,885
294,422
1069,46
1025,119
485,758
954,86
116,784
927,218
396,829
587,131
1011,59
884,256
1077,4
761,176
907,230
578,338
997,160
668,488
314,893
466,789
129,1015
423,818
525,713
715,428
1092,6
946,199
719,416
743,401
1096,3
439,813
264,933
22,97
529,697
577,615
1044,105
892,227
350,420
685,410
557,642
655,140
891,249
1081,1
1000,165
794,344
969,196
880,258
1046,132
122,988
1004,153
636,562
905,49
993,171
103,831
228,1091
790,458
853,276
69,51
475,181
102,731
747,398
360,855
182,211
296,700
127,513
1072,36
773,374
992,174
1050,26
310,890
788,362
532,683
1052,81
545,622
781,341
613,537
644,515
714,189
738,406
84,687
501,728
142,1055
858,480
706,441
395,1064
169,245
1012,138
364,600
298,902
660,608
266,690
816,330
473,772
180,1032
820,309
1095,10
541,665
379,832
1087,15
757,378
204,589
414,835
498,303
500,749
188,483
145,777
141,1063
698,450
804,342
408,769
716,229
1098,2
285,42
200,1005
864,91
301,917
197,185
817,1080
824,701
910,225
192,1028
317,861
904,163
878,263
897,124
977,162
848,286
682,482
640,476
460,793
674,487
686,452
1008,94
474,291
484,85
972,168
1056,9
269,932
863,270
114,1058
552,646
791,492
929,215
464,390
78,336
588,596
967,98
694,339
496,760
415,915
156,911
759,316
449,517
493,691
536,158
318,866
572,593
604,387
1070,64
733,955
748,306
839,564
844,252
1065,71
809,154
305,877
968,147
941,193
637,29
869,43
998,166
92,778
1090,38
1082,928
210,989
978,879
300,901
430,611
343,881
874,233
586,104
172,77
996,115
278,918
1022,24
257,944
128,1059
964,437
961,112
653,148
952,948
566,247
514,722
384,365
582,609
894,207
273,924
922,58
100,862
610,555
538,459
260,823
882,250
631,516
983,1083
965,150
842,299
412,822
1062,73
900,240
567,616
780,333
576,445
302,434
912,223
957,136
705,446
618,527
346,495
370,852
297,212
295,947
753,751
1017,25
913,224
431,53
1093,20
531,671
311,896
956,167
923,219
645,512
284,906
590,585
770,125
710,358
1057,75
206,995
110,1009
546,664
868,68
1002,157
221,980
236,465
936,971
746,334
857,421
916,80
499,951
1085,47
633,524
357,867
161,565
553,433
602,573
356,404
744,400
779,367
712,704
134,575
559,620
561,800
261,935
503,688
764,351
595,551
771,368
407,827
854,244
1030,726
843,253
442,803
1019,79
634,506
191,574
443,786
841,63
709,429
509,740
533,679
962,209
889,234
322,361
581,612
673,447
703,70
654,870
939,194
419,805
708,23
810,327
489,241
510,462
1016,651
377,417
184,1042
534,657
626,502
214,548
648,511
994,767
641,472
750,388
440,491
649,494
684,461
272,782
696,435
742,313
1071,61
730,424
661,315
953,87
919,220
754,381
277,734
144,470
111,958
799,312
598,560
1076,32
1045,35
1014,66
271,925
736,201
372,846
283,908
1018,54
860,282
504,745
806,329
903,243
177,1033
895,248
876,262
765,376
235,970
840,1099
1020,126
847,293
812,326
195,934
190,599
328,542
254,849
795,520
1079,50
727,413
871,268
173,1040
937,213
783,164
1066,354
755,340
666,402
477,386
279,914
851,304
999,62
883,107
888,222
568,617
292,444
508,724
1031,118
711,427
45,1097
1037,57
652,481
785,89
718,426
1094,695
639,151
796,345
991,175
540,675
678,627
619,550
373,418
1075,34
471,926
1034,109
592,569
1074,83
930,155
886,130
819,324
409,825
729,12
95,549
776,371
347,523
203,985
833,267
797,332
137,1067
543,672
875,251
290,909
259,940
289,544
1006,60
242,707
335,669
873,281
558,40
838,323
265,699
352,856
202,899
99,505
1038,106
375,845
1007,146
507,735
959,981
693,453
606,67
580,594
391,807
239,920
670,478
88,1053
720,973
763,288
887,732
1039,52
837,246
982,183
392,628
815,325
359,976
656,436
563,635
986,82
120,950
741,403
677,486
