u,v
147,331
721,197
918,697
12,23
810,781
864,108
716,130
851,187
1046,1083
16,188
192,657
1090,834
467,753
360,909
1056,373
198,1009
983,299
165,344
622,475
51,1042
606,738
179,211
125,531
514,306
978,465
752,101
212,219
215,1085
957,62
322,848
575,732
359,60
393,355
766,231
1017,319
934,77
712,88
364,220
714,662
559,522
453,767
541,274
885,284
210,1004
137,1
754,733
216,647
161,155
325,1010
52,258
1095,1077
85,948
582,413
926,1061
740,975
298,1001
811,1060
641,660
279,655
434,486
423,1064
270,295
760,281
994,128
872,126
995,959
669,18
140,311
798,1022
510,1014
906,831
190,835
689,780
779,239
784,673
812,869
193,482
814,1094
252,757
501,61
693,427
371,962
358,1051
343,1040
524,303
971,152
745,944
334,947
839,310
185,1058
652,604
1028,966
880,66
362,565
878,412
384,1018
1016,772
969,169
377,249
214,821
176,629
57,56
1011,124
923,133
933,763
870,315
1053,623
643,167
260,774
511,775
503,762
208,476
518,314
33,585
859,49
537,292
958,168
992,601
794,833
535,1038
748,462
723,457
317,257
523,34
1081,759
2,194
849,464
667,706
275,1071
648,968
287,186
415,761
1078,1067
658,488
801,634
743,223
79,200
659,477
487,1030
678,806
790,74
787,620
707,117
11,354
649,690
999,338
173,47
1072,720
8,39
48,374
388,63
755,134
112,280
349,328
739,735
437,347
805,746
656,1063
710,609
929,902
570,568
1079,791
1074,138
408,104
209,31
571,747
40,76
160,646
990,363
330,552
863,495
911,556
58,547
1059,411
442,10
26,984
1049,172
470,613
144,1052
115,417
610,860
618,489
424,119
904,532
381,111
43,206
196,184
1099,591
107,7
428,980
611,217
671,9
938,390
551,329
1084,986
170,59
50,593
777,55
672,105
782,497
83,695
709,342
387,4
1065,587
106,1098
1043,1093
72,438
114,78
132,954
372,725
807,792
573,491
713,972
243,545
866,508
496,145
269,478
250,383
679,266
366,238
843,369
327,751
339,19
376,891
563,555
307,1039
1075,502
1035,320
640,0
1020,829
65,1032
463,516
1070,521
977,899
632,887
440,120
458,483
204,1026
471,379
142,498
1003,943
701,539
20,589
719,171
842,1073
936,264
773,131
100,261
228,289
436,951
910,98
71,883
474,326
222,227
873,1005
698,832
576,53
426,335
562,574
244,162
416,21
1023,253
803,389
572,290
694,776
445,897
17,661
459,480
764,1019
580,1021
121,997
139,625
1024,479
195,826
267,602
579,430
974,136
127,265
985,520
460,95
175,684
799,828
592,484
881,14
202,345
285,708
400,135
856,853
353,996
789,1066
