u,v
687,232
930,1078
388,380
1071,197
428,72
527,868
567,252
870,891
649,195
973,1017
70,463
1095,493
514,885
281,266
395,837
226,128
537,1025
517,787
377,247
42,735
956,80
848,312
987,948
979,290
897,1055
308,269
634,434
790,136
368,372
362,673
39,531
860,116
754,111
274,469
711,1064
237,25
147,628
764,444
713,917
661,241
188,33
794,495
277,1047
631,552
551,29
387,932
1093,294
488,340
404,152
253,361
151,625
299,626
543,460
494,619
3,260
544,646
709,733
827,756
912,1043
1009,982
515,883
194,665
766,63
96,1087
45,390
621,845
37,565
602,89
113,685
980,529
142,134
850,350
264,782
781,22
1034,874
928,768
955,841
184,606
383,575
690,951
31,50
305,686
65,1033
475,605
7,799
512,9
156,668
376,486
358,1026
935,945
297,369
862,651
392,285
1060,345
470,591
569,211
1081,257
901,715
806,650
130,48
894,922
506,69
898,627
808,1061
699,554
1008,594
624,1039
918,926
160,815
672,516
1085,408
964,415
182,856
647,61
641,144
743,107
429,367
74,1020
881,533
18,339
20,547
335,824
1074,235
292,318
963,222
431,1052
121,57
148,778
878,604
52,694
325,256
844,114
219,750
1030,761
476,999
643,680
939,43
984,608
884,829
994,773
438,906
969,454
536,423
155,772
905,909
23,176
681,771
825,752
1012,678
284,448
563,635
688,455
436,572
379,145
952,620
192,1004
363,405
414,407
703,911
924,21
972,101
720,355
84,525
329,705
521,100
899,526
1002,698
301,334
839,187
485,995
137,97
120,165
1084,265
875,962
847,612
1024,722
820,323
267,704
366,610
723,150
579,965
132,944
465,588
249,467
1077,500
934,271
519,71
555,314
416,903
185,793
559,418
501,313
617,139
828,322
193,927
759,791
811,171
683,118
170,655
78,992
727,892
585,937
157,802
471,788
599,784
1046,879
508,497
502,6
557,740
904,191
468,15
393,1000
276,571
181,24
1092,77
51,146
717,261
838,324
53,291
378,684
929,279
1091,615
741,1038
996,311
907,40
528,570
28,600
115,268
462,1005
664,842
726,603
492,535
320,481
319,205
210,123
331,923
770,866
36,352
783,549
411,200
1035,180
728,921
459,1073
472,637
893,607
174,1029
396,1011
609,689
62,315
801,399
640,375
452,293
776,835
846,613
954,234
871,321
1053,332
795,942
1045,1006
851,389
186,1062
337,580
663,154
10,693
746,822
1057,60
93,645
861,739
13,87
819,888
780,873
1036,133
867,199
623,248
498,432
622,931
561,81
731,707
59,14
359,394
865,82
172,126
289,173
209,1031
158,511
473,351
974,108
882,262
809,75
202,1014
420,652
162,587
817,933
749,1065
487,233
919,1007
295,968
19,524
889,338
466,618
958,480
601,307
445,530
41,427
76,16
769,47
17,417
737,34
236,343
178,507
644,614
577,800
1,657
433,1051
451,55
225,691
611,742
869,409
833,309
943,288
382,913
1097,636
877,1001
286,214
990,1086
102,99
175,412
240,586
523,296
959,1094
168,149
161,1063
633,204
961,1098
122,1096
1015,374
725,330
421,1044
348,852
443,166
406,179
360,745
858,545
1079,283
44,1010
721,540
216,1070
304,410
855,556
975,821
328,757
