u,v
210,614
414,548
59,994
534,469
107,652
211,462
166,320
229,596
871,72
576,322
759,1081
230,579
542,418
70,41
1020,60
789,304
91,649
982,52
613,734
1069,1023
363,699
1090,1064
157,621
1051,160
1006,27
22,167
727,185
352,567
404,843
849,866
487,459
254,284
164,619
23,598
574,630
34,1031
68,358
408,216
603,1029
180,694
678,723
713,281
941,526
578,483
905,222
1035,179
17,681
332,845
130,976
161,963
978,53
481,815
712,437
946,88
393,568
876,307
816,405
587,442
599,416
412,837
79,1033
1085,148
658,996
840,97
966,47
784,156
990,32
532,447
44,1038
977,80
791,51
25,805
883,561
525,197
168,844
377,856
601,439
494,703
832,1018
372,863
794,1010
582,187
1053,38
516,489
950,1019
677,452
880,286
376,860
698,255
771,873
1036,1055
967,299
753,428
754,402
260,922
90,758
26,993
113,998
407,959
48,770
102,750
679,1009
995,244
826,143
743,145
888,374
827,126
720,152
368,515
451,531
1057,817
1092,280
165,671
181,499
956,136
365,189
99,991
632,551
344,651
315,853
709,920
812,338
98,1004
424,1016
492,504
1061,1079
675,1034
278,553
207,947
939,326
329,226
933,264
943,961
78,662
968,478
333,214
252,289
733,324
788,129
835,646
236,308
272,240
108,644
884,1014
399,838
626,737
503,419
595,740
610,738
287,633
220,314
566,722
232,944
117,981
300,706
666,427
575,645
745,302
945,327
669,154
257,237
527,488
852,383
474,589
480,520
1025,45
772,301
93,659
1027,271
813,311
951,263
391,847
885,196
3,878
472,521
741,151
680,986
517,690
279,233
77,0
87,975
1094,949
848,390
642,312
1003,821
957,58
104,655
40,463
511,466
898,247
954,169
760,313
115,902
378,638
361,716
321,253
54,663
904,406
999,149
583,747
802,395
317,228
768,411
980,1084
96,683
19,799
92,1058
1030,20
502,785
929,373
1026,562
35,514
761,398
958,9
396,242
262,269
707,948
282,912
1049,410
1068,33
36,362
213,422
150,622
83,294
120,868
215,611
711,509
297,906
519,186
637,178
608,380
894,276
564,468
1024,205
798,653
1002,74
927,309
913,1039
486,804
274,256
1077,360
348,708
200,730
147,965
914,82
736,295
86,726
607,559
42,1065
127,834
188,612
752,434
305,877
473,842
934,810
787,382
347,870
225,606
158,705
1082,7
755,695
988,808
554,296
970,103
932,238
739,436
444,829
249,581
18,172
135,330
824,394
775,291
5,858
674,724
448,1037
277,917
1089,670
650,381
924,355
101,538
814,331
234,192
533,744
261,285
541,757
1095,111
901,246
676,384
797,692
672,530
367,550
696,887
417,807
440,543
908,370
989,66
458,170
336,571
715,500
265,529
673,76
629,177
275,997
1097,4
763,415
203,563
208,687
928,73
37,1043
49,779
201,248
55,822
682,435
891,438
69,357
623,1032
337,10
535,767
793,397
685,455
110,1059
1091,984
545,560
846,1073
552,199
919,496
1017,137
636,198
1078,13
65,773
194,594
801,387
471,94
751,139
1040,251
691,524
639,572
523,769
413,656
498,605
719,433
836,591
833,693
1001,30
597,364
125,634
742,593
854,267
731,453
209,615
43,555
426,482
423,547
56,781
536,762
900,221
604,735
64,1050
353,506
992,84
872,1071
508,776
778,133
385,318
864,1076
241,292
1067,16
140,627
490,749
114,983
803,153
661,725
718,640
660,1044
461,569
940,1098
11,369
106,350
783,449
921,1066
851,95
697,702
334,223
1047,1080
617,184
354,219
290,454
973,57
476,819
446,540
869,512
686,1046
227,1008
909,557
539,484
231,907
985,323
857,375
823,1075
71,882
732,389
923,195
1096,266
335,573
616,1099
441,600
475,202
609,431
339,570
893,1093
886,303
15,1022
665,173
1015,63
340,889
780,1063
132,631
952,379
717,485
425,624
1028,270
558,748
1013,892
28,915
319,960
931,850
818,146
491,1072
1000,46
592,746
577,190
777,401
895,765
879,259
224,862
936,174
100,1070
1060,218
1083,1086
343,657
239,590
112,635
1088,792
971,881
546,756
310,897
245,926
1048,1012
1054,12
191,388
916,298
109,346
495,790
938,75
974,1062
138,1074
806,450
268,518
501,497
828,288
124,510
710,171
1007,67
8,811
544,556
134,667
796,359
700,144
50,664
1052,721
14,979
839,586
910,875
345,212
31,830
841,537
648,460
701,890
505,588
29,250
142,118
704,141
293,668
825,925
443,204
6,513
131,1011
896,585
89,874
987,465
306,899
962,121
795,371
1056,421
123,643
403,688
464,820
400,628
800,351
565,457
175,955
193,972
1087,273
420,206
155,964
258,580
809,283
654,647
341,861
918,217
729,430
766,61
122,1042
81,1041
855,911
507,493
386,859
456,429
728,470
865,85
714,163
325,867
549,584
349,159
432,831
1005,235
684,903
39,774
764,392
366,522
176,618
953,62
602,479
409,182
105,356
930,689
316,786
782,445
1045,1
969,119
162,328
942,937
620,477
128,24
528,641
625,183
243,935
467,2
116,342
1021,21
