User_ID,x,y,theta_rad,distance_m,shadowing_dB,path_loss_dB,path_loss_linear,fading_rayleigh,h_linear,h_dB,h_normalized
1,-979.1371462983262,-2899.1021747987484,4.386679423564178,3059.9841455772385,1.4216080074660307,166.74491225158616,2.1159664375278524e-17,0.5227567985763688,2.4046622027120962e-09,-119.99997488742714,0.002021176976559367
2,-4750.37876364476,-1096.247810561455,3.3683928122457423,4875.2289854167775,-10.68275486968081,161.72020386701567,6.729450660781022e-17,1.870341538294725,1.534301557261496e-08,-119.99897775581266,0.01289617718088866
3,-1562.9628534575218,3982.0843366253616,1.9448193708165753,4277.832225004287,3.0415828080477056,173.45754705062842,4.5107140335768794e-18,1.7455022583879203,3.7071747849807894e-09,-119.99994031469026,0.0031159704323683313
4,1509.501851246788,-3562.00312549111,5.113224910878622,3868.6511996981476,4.884685962270585,173.7724041670322,4.1952667815337024e-18,1.570703707956156,3.217170373033088e-09,-119.99995504994939,0.002704109824785195
5,-787.4115066403054,-1811.201018736285,4.302292842758384,1974.959749225516,4.478323583448319,163.14599536766605,4.8461902915119216e-17,0.27140511436431375,1.889375410469013e-09,-119.99998449684625,0.001588065914376824
6,1030.5964125875335,1684.55752135888,1.021752363990335,1974.8070813132776,8.646245804436974,167.31274253239673,1.856631637866701e-17,0.8498870984449054,3.6620486531532747e-09,-119.99994175889327,0.0030780408227175093
7,1021.182296234367,-639.7476237255534,5.723524301522179,1205.0270968758282,6.6713772363912325,157.82939875729892,1.6483905809790813e-16,0.7814347563029527,1.0032814576240268e-08,-119.99956287260343,0.0084328242897133
8,2048.203620451545,-4178.428600986567,5.168153919342862,4653.429234916265,3.6734406338274934,175.36863269502464,2.904937082325622e-18,0.9449870496673666,1.6106242071995574e-09,-119.99998873393656,0.0013537687587925566
9,3685.338085036248,-1202.5633008542984,5.967768859956262,3876.5803607793587,-0.5613256916691762,168.35751507483747,1.4596491964055323e-17,0.428307460995901,1.636363885282616e-09,-119.9999883709697,0.0013754035832875945
10,-639.3818218139932,-4158.485942123041,4.559830152239336,4207.352426990296,-13.287687468127931,156.87575682574246,2.0531671989329503e-16,2.351149208745406,3.368932813351926e-08,-119.99507367940028,0.02831669841295184
11,-542.8004875954971,-469.02024269870464,3.8542013463044418,717.364870477403,3.436945753060687,146.71098251371714,2.1325624044044483e-15,1.2704275018773654,5.8667929440729626e-08,-119.98507757178999,0.049311819395786154
12,-4288.658949837282,2419.7418697105763,2.627898500451395,4924.200067427181,1.6615014973048892,174.21638371173836,3.7875783795609566e-18,0.8539298823060383,1.6618928749575088e-09,-119.9999880052897,0.00139686131905918
13,4160.4347974164775,-1871.322611538871,5.860505902197835,4561.914731777715,2.1726306975629877,173.5659144923473,4.3995529685106054e-18,1.0057906652048418,2.1096571214392925e-09,-119.9999806711019,0.001773218041801659
14,1535.1900666015715,-1718.042265593244,5.44163990558777,2304.013404248531,-10.213988606562475,150.79611951511714,8.325072963554312e-16,1.0888191789664896,3.141592029149929e-08,-119.99571580079312,0.02640584391395491
15,2046.5720348855077,597.6345758087532,0.2841172836214101,2132.0469460538425,-8.648452323266099,151.18256746508993,7.616286167797951e-16,1.354826682805437,3.738999164165846e-08,-119.9939327533606,0.031427195959013984
16,2111.969807955646,353.1235996356491,0.16566858675591264,2141.287637459257,8.425222826663228,168.3219812372639,1.4716409914525843e-17,1.2041663108104625,4.6194195801019334e-09,-119.99990732672748,0.0038827343357579367
17,-1967.983429489873,1932.1224845339698,2.3653890954595194,2757.9079161546424,-0.31644123085324033,163.42698349170237,4.5425702344648497e-17,2.2441733651915783,1.5125412553196014e-08,-119.99900654295088,0.01271327655876247
18,1345.0486637168135,-3362.99790113517,5.092856778653887,3622.0036983423893,5.452005578980995,173.33834978194864,4.636230522509732e-18,1.1722563822993581,2.5240916307421474e-09,-119.99997233101924,0.0021215603110608804
19,3275.6302743303695,-262.43431929387793,6.203238869840792,3286.1262096962882,0.22654700904368938,166.63362845740318,2.1708866816425398e-17,3.1139246186637966,1.4508638910571388e-08,-119.99908590370217,0.012194863334312248
20,1580.2871866715627,2187.1033154820843,0.9450972001333201,2698.2825102184997,0.2380491159659615,163.64924183144802,4.3159441574323297e-17,1.952775006665274,1.28289205750517e-08,-119.99928529172875,0.010783019282774382
21,-3246.7133010184125,-2180.636400010238,3.7330333812446326,3911.0513123787428,7.506270447807982,176.55967650613292,2.208169207269037e-18,0.683869408351378,1.0162237756739934e-09,-119.99999551499647,0.0008541607615855318
22,-1368.4420907050242,1270.713484892605,2.3932078340230807,1867.4438455549462,-4.128357825738991,153.68843954469406,4.2771654056820153e-16,2.309891538834174,4.777158059375425e-08,-119.99010015382427,0.040153173581323434
23,2654.3785250024143,-507.82955741711146,6.094151893570651,2702.520344674662,0.7689662155278669,164.20401330938097,3.7983822610116994e-17,0.49741889692681146,3.0656432511008806e-09,-119.99995918446442,0.002576747599093677
24,1655.4967558953717,-2533.4515139552586,5.29118924474418,3026.3915943483407,-3.69820230964034,161.4573100353426,7.149390130747346e-17,1.8443045160768468,1.559434463611884e-08,-119.99894399550733,0.01310742536207658
25,1779.2606069310918,-2869.839942932201,5.267374600027916,3376.647687489161,-3.4759698194585247,163.34416448965018,4.6300272923425635e-17,0.9788172645260168,6.660293940355214e-09,-119.99980735334537,0.0055981387964517985
26,-4345.067829654108,865.9010281379012,2.9448859751993313,4430.507762641359,-2.473376987749115,168.4756286488629,1.420486580059302e-17,2.0511088553478753,7.730494529621362e-09,-119.99974047100251,0.006497668380642624
27,-1921.8163081448322,1139.5028002192716,2.6063878022195657,2234.2436201003225,1.7770701730697027,162.3197716728298,5.861689811124714e-17,2.012651444813844,1.540919622877233e-08,-119.99896891913383,0.01295180362952997
28,-525.4250677436331,3546.7998898340584,1.7178672972340057,3585.5070715786196,-3.8299889733078185,163.90241451816604,4.071538522466679e-17,1.810807918227357,1.1554513357622725e-08,-119.99942022612714,0.009711849068628124
29,3609.506247238875,1334.8516294684578,0.35421769224205724,3848.423602145567,10.046049004588166,178.85408250963886,1.3019423348172595e-18,1.7668008906293098,2.0159673031201542e-09,-119.99998234976887,0.001694469474326735
30,711.2303886979097,-809.5749824398996,5.433210929275169,1077.6178905344618,-7.156858417756031,142.30254240681327,5.884990407989334e-15,0.8525043924717183,6.539875865771301e-08,-119.98146484449806,0.05496924480513323
31,1500.4835094566133,-3596.8278434454883,5.107607676757562,3897.258176915658,-1.4949731532908723,167.50473111207754,1.776343244923824e-17,0.4108073251556001,1.7314167847369665e-09,-119.99998698072181,0.0014552978535579322
32,2064.7250851462413,-3.6626425070645827,6.281411396119178,2064.72833374812,-3.5178484661933993,155.82548672056873,2.614877378348256e-16,1.0156820021466362,1.642416959206376e-08,-119.998828634083,0.013804913389142756
