Method,NOMA Pairs,OMA Users,Total Rate (bits/s/Hz),Avg Pair Rate (bits/s/Hz),Avg User Rate (bits/s/Hz),Total Throughput (Mbps)
Static,137,226,107.05606898794727,0.294920300242279,0.21411213797589454,19.714136516500048
Balanced,165,170,205.06525585618974,0.6121350921080291,0.41013051171237946,22.005951245580906
Blossom,231,38,281.28214697211894,1.04565853892981,0.5625642939442379,22.405680196765736
