User1_ID,User2_ID,h1,h2,P1,P2,R1_bitsHz,R2_bitsHz,R_sum_bitsHz,Throughput_Mbps,Mode
130,161,3.048875059577466e-10,1.9248079213224247e-09,0.8632604694670541,0.1367395305329458,0.32499919112038467,0.3370800286573786,0.6620792197777633,0.04922522080132069,NOMA
440,274,9.632120544234255e-10,5.1654472017998185e-08,0.9816941381703975,0.018305861829602487,0.9479994646731698,0.9602000273702087,1.9081994920433785,0.14187356818166383,NOMA
195,162,5.22631436451671e-10,3.323374864667877e-09,0.8641106135734784,0.13588938642652154,0.5075812609138126,0.5376552633529499,1.0452365242667625,0.0777127527335883,NOMA
495,338,3.7182443289539255e-10,2.387014065993519e-09,0.865224284406231,0.134775715593769,0.3855514070072097,0.4024073347335394,0.7879587417407491,0.0585842930662267,NOMA
85,473,3.2398992171617e-10,2.0860319061774355e-09,0.8655655654374956,0.13443443456250434,0.34338494569208866,0.35663347675808155,0.7000184224501702,0.05204597936432493,NOMA
494,199,2.1227855290735893e-10,1.3583953650214837e-09,0.8648487439154281,0.13515125608457193,0.23691335088603754,0.2431679984167391,0.4800813493027767,0.03569378061730682,NOMA
126,419,1.5779013265075468e-10,9.979329837488352e-10,0.8634706441259768,0.13652935587402312,0.18062385421763547,0.18427667256994146,0.3649005267875769,0.027130150690526166,NOMA
160,366,4.424168128129962e-10,2.8010489747695297e-09,0.8635975090266804,0.13640249097331952,0.44395198497666866,0.46683074817301107,0.9107827331496797,0.06771618833826616,NOMA
470,238,1.4702204641283181e-09,7.567773882497797e-07,0.998061028551581,0.0019389714484190908,1.3005329441598874,1.3029739274488836,2.6035068716087713,0.19356928413448116,NOMA
247,346,7.101519831671334e-11,5.307341509805493e-10,0.8819854173508511,0.11801458264914885,0.0869383573790352,0.08764528050008843,0.17458363787912362,0.012980196124841907,NOMA
206,427,7.894424614397416e-10,2.1631441231898393e-08,0.9647898596577482,0.035210140342251846,0.7999556796632925,0.8169241128874605,1.616879792550753,0.1202141109703162,NOMA
79,298,8.476233874997154e-10,2.7677802713171173e-08,0.9702853382624921,0.029714661737507937,0.8497838456771887,0.8658685827643536,1.7156524284415422,0.12755780137111838,NOMA
439,397,8.654648602941763e-10,3.14197805826019e-08,0.973193176993963,0.026806823006036953,0.8664465027889325,0.8814802064171385,1.747926709206071,0.1299573761491503,NOMA
189,484,5.903760037041949e-10,4.8966589192548576e-09,0.8924052768037029,0.10759472319629715,0.5805189086261179,0.610562740701791,1.1910816493279088,0.08855625645560661,NOMA
318,43,4.309707207669562e-10,2.759878652090888e-09,0.8649354230152949,0.13506457698470506,0.43536972650178857,0.4570813573160707,0.8924510838178592,0.0663532404325546,NOMA
68,11,8.139666107648677e-10,2.2897421249165417e-08,0.9656719119280072,0.0343280880719928,0.8193891515194991,0.8367520270445853,1.6561411785640843,0.12313317312744122,NOMA
117,474,7.088927186508308e-10,1.0068061747102754e-08,0.9342214239743231,0.06577857602567695,0.7073103766776967,0.7331484566504353,1.4404588333281318,0.1070973110281139,NOMA
362,412,2.2547407377578624e-10,1.4241032939325263e-09,0.8633140353465035,0.13668596465349653,0.24954873079984435,0.2565939662689775,0.5061426970688219,0.03763142729136223,NOMA
