User_ID,x_coord_m,y_coord_m,distance_m,angle_rad,height_m,distance_3D_m,LOS_status,LOS_probability,path_loss_dB_no_shadow,path_loss_dB,path_loss_linear,shadowing_dB,rayleigh_fading,h_linear,h_dB
0,-2444.1794041625294,-1169.8238679146607,2709.7049362753714,3.5879873499637056,10.136138810244582,2709.745703206222,False,0.006642789684969141,153.39852479975661,165.41385801842327,4.572434785193629e-16,12.015333218666644,1.2604085649229784,6.758004004387214e-09,-163.40234592515367
1,-3891.5211857762833,1674.5709828772492,4236.522762365396,2.7352307223273225,1.5006623042191078,4236.587935463192,False,0.0042487674467137715,166.1647575829155,160.09275774243045,2.4183783246468918e-17,-6.071999840485061,0.5667120464177057,5.60692255219208e-09,-165.0239598558489
2,2554.4179522989925,-1106.8260833546149,2783.9028456146766,5.874306601960123,13.018228729772098,2783.9286299516134,False,0.006465742997191048,152.12766209210574,149.08307140465755,6.126801228819699e-16,-3.044590687448184,1.1052120326388972,3.884114591808465e-08,-148.21393569132687
3,-2950.5177353714153,2214.847009299817,3689.3227266458553,2.497666814736219,13.42307767304949,3689.340890521798,False,0.004878944331604915,156.6638728147406,164.01406677057207,2.1558211013876683e-16,7.350193955831467,2.2152768892238286,1.3954834113738214e-08,-157.1048840288412
4,-2658.9247547367872,-2816.406414844578,3873.244885742415,3.955744923536201,8.905721113792069,3873.2783234287,False,0.004647266189199343,160.2000440237362,160.59964120350227,9.549829054635728e-17,0.39959717976606185,2.2350114291628036,2.085920191952697e-08,-153.6136298413806
5,-2921.6278037890665,3435.8612061863405,4510.105459082923,2.275483959397176,5.287400857710192,4510.148538420272,False,0.0039910374964181195,164.9546986060152,165.84847209060234,3.1954361156815594e-17,0.8937734845871355,1.3533466236759222,6.902166623435474e-09,-163.21903287624303
6,1558.4792432803472,306.9023264768299,1588.4100823567492,0.19443634791216408,8.956429463475532,1588.491103496691,False,0.011332086227330734,145.04198867942043,150.2284860010013,3.131851288771787e-15,5.186497321580875,1.2303894677328504,3.789817569356499e-08,-148.4274047165379
7,-229.14436058827022,2538.524573596588,2548.845650239172,1.6608191003998076,20.60512855533575,2548.8494391858776,False,0.007066064913897289,146.078214402174,149.43516664867337,2.4670534555352972e-15,3.356952246499352,1.3702282433085218,4.624178419489048e-08,-146.699120514209
8,2880.266249161341,-1205.42401232744,3122.3357787966247,5.886823447030845,4.517258201868243,3122.4029621855498,False,0.0057649148827091734,159.1756341429543,151.4796245619211,1.2090286315481907e-16,-7.696009581033208,1.6902888602788642,4.507956339849714e-08,-146.92021329913376
9,1063.7292689707053,-268.18430188990516,1097.015395263497,6.036215106404679,16.65985178626302,1097.047098130866,False,0.02040412391541371,134.1374534836503,126.90114296192272,3.8570445190122e-14,-7.236310521727575,1.3021804498279024,5.883205556760975e-07,-124.60770478170946
10,-1738.5555190599293,-4490.284919313603,4815.104770352241,4.34298158818298,18.954580662204,4815.108565397449,False,0.0037382364188723264,157.86485823409325,154.28150427691932,1.6349865208071502e-16,-3.5833539571739186,0.38118104568136585,7.3630217482601875e-09,-162.65769875117292
11,-1381.739682037795,1153.1541365707258,1799.713591549523,2.4461268407155474,9.7039698395806,1799.7785919792334,False,0.010001591411665218,146.71294069457275,142.12598557263183,2.1316010747656195e-15,-4.586955121940919,1.39242242905951,1.090113534222122e-07,-139.25048568905868
12,-487.1105583203555,-4477.378570571023,4503.797904017873,4.604021492607264,5.714214943954684,4503.839195812948,False,0.003996626932114796,164.67485072078966,173.07758202102934,3.4081203926597566e-17,8.402731300239683,2.1910659463298248,4.861567813152611e-09,-166.26268657945275
13,-61.003508730425835,3539.4703930179276,3539.9960580667184,1.588029828596259,7.6731289822416695,3540.0384618796406,False,0.005084751424788381,159.4127153788311,163.55691126565122,1.1447969458433383e-16,4.144195886820105,0.4023062333644963,2.671229475918798e-09,-171.4625249969387
14,1125.7878785408277,3771.6203923380313,3936.0537002649676,1.2807261813345958,7.121113571144491,3936.0943060284367,False,0.004573108339143918,161.54385229954002,145.1129095340025,7.008333660850984e-17,-16.430942765537516,0.4406245180655224,2.4458126260143952e-08,-152.2311812216902
15,1043.8608316623447,-4408.031775560798,4529.943660823222,4.944914410723824,12.09136146352034,4529.962053172339,False,0.003973559352552495,160.94671957028282,146.7892314260867,8.041332923993445e-17,-14.157488144196133,1.9625725532491394,8.98181591039241e-08,-140.93262030326503
16,-1296.1004314473478,3717.4328400414342,3936.900208109995,1.9062721582530107,22.149677959211473,3936.9012399287158,False,0.004572126253832173,152.53019276595478,150.06051669573282,5.584454070281088e-16,-2.4696760702219573,0.6237176591033633,1.9586742122220573e-08,-154.16031244434637
17,292.53239882225745,-2724.540952616685,2740.2004683683526,4.8193486453393435,19.21833699372045,2740.2065678472595,False,0.006569827548939626,148.13893016919752,159.67363900866292,1.5349950632998286e-15,11.534708839465388,1.4145519721397395,1.4687130647273241e-08,-156.6606694636825
18,4818.295282625154,256.29453038178946,4825.10687103109,0.05314186996821951,20.8595558215378,4825.108647496907,False,0.00373048732390455,156.75708473882676,148.28984942498082,2.1100440706251135e-16,-8.46723531384594,1.8373376584022647,7.074512287829088e-08,-143.00594711853347
19,-4415.074920800177,1101.1334478393185,4550.316629228036,2.8971758413759208,16.819155646863777,4550.323983239383,False,0.003955768686042051,158.18616134656855,161.42014598910487,1.5183918546792898e-16,3.2339846425363135,2.6899779327781976,2.284238345868283e-08,-152.82479139853376
