User1_ID,User2_ID,h1,h2,P1,P2,R1_bitsHz,R2_bitsHz,R_sum_bitsHz,Mode,U1_Distance_2D_m,U1_Height_m,U1_Distance_3D_m,U1_LOS_Status,U1_Channel_Type,U1_PathLoss_dB,U1_PathLoss_Linear,U1_Shadowing_dB,U1_Fading,U1_LOS_Probability,U2_Distance_2D_m,U2_Height_m,U2_Distance_3D_m,U2_LOS_Status,U2_Channel_Type,U2_PathLoss_dB,U2_PathLoss_Linear,U2_Shadowing_dB,U2_Fading,U2_LOS_Probability,SIC_Margin_dB,SIC_Satisfied,Throughput_Mbps
311,304,7.724059478597307e-10,4.73703944650298e-07,0.9983720875721498,0.0016279124278501603,0.8238961548307282,0.8246852097979486,1.6485813646286767,NOMA,888.9597506591452,7.529378892627121,889.131408113473,False,NLOS,136.0493229457242,2.483520249736e-14,30.061695772345935,0.15609771481617418,0.020249115292960612,311.99111397888805,5.815828304355915,312.580369897784,False,NLOS,119.33496717047066,1.1654758609604984e-12,-2.8031347735347967,0.3177595567933334,0.06435375590070325,27.876613918454353,True,0.13188650917029413
493,94,9.023968805509112e-09,4.750170387498221e-07,0.9813570159043239,0.01864298409567618,3.1010530085974493,3.300963479948279,6.402016488545728,NOMA,906.7935865949098,13.4412558893679,906.8672522784552,False,NLOS,132.83741590949393,5.2030549080866714e-14,16.122441802850734,0.2531573092247567,0.020256978667174918,732.8096703725115,21.154110517786684,732.8197621907984,False,NLOS,124.59298408073647,3.472974478981913e-13,0.8430045962186027,0.8881956089699766,0.09181999626628905,17.213116025937815,True,0.5121613190836583
312,420,1.2348088820269258e-08,4.7511862105260356e-07,0.974668857236447,0.025331142763553097,3.345923812416109,3.7043516174833955,7.0502754298995045,NOMA,780.8850043259514,10.016153105436757,781.028748285811,False,NLOS,132.35709615685101,5.811528665530109e-14,18.99931725220361,0.45647859245099737,0.023054813012161345,792.4722064728381,20.08940949238098,792.4874206768598,False,NLOS,126.56033729625989,2.2078332542529134e-13,2.859954593668668,1.4054540337518673,0.06554117142556012,15.852023070903057,True,0.5640220343919604
6,109,2.13639410993905e-08,4.780189397236006e-07,0.9572193162405119,0.04278068375948807,3.546538845010098,4.422904201810444,7.969443046820542,NOMA,932.7439617057821,3.925141792107838,932.982018983796,False,NLOS,139.02892335304773,1.2505690167583411e-14,10.56683957290606,0.6448660571679087,0.019298264747701455,935.5306615205731,7.337011561827784,935.6973868755261,False,NLOS,137.0311260315433,1.9810133253566812e-14,-9.690588498462603,1.1129405876372775,0.019240765629640357,13.497637323131947,True,0.6375554437456433
41,22,2.256262107387853e-08,4.816044995183902e-07,0.9552477340303882,0.044752265969611744,3.551427567618989,4.495240581619336,8.046668149238325,NOMA,740.6686491724971,4.272109896969718,740.9586312980873,False,NLOS,134.90964296111565,3.22875955113231e-14,7.935732107610294,0.31308214684471425,0.024310011806988618,578.2400763627863,3.4572487151442033,578.6412325828173,False,NLOS,131.2019701187026,7.582335345211279e-14,-6.861856438563143,0.7937728124546032,0.031228969165283445,13.293009860455564,True,0.6437334519390661
70,291,2.428357198857999e-08,4.832916245981865e-07,0.9521576858919092,0.047842314108090735,3.547907161383423,4.592265046475149,8.140172207858573,NOMA,908.967177265142,2.9429879174098783,909.2347557849797,False,NLOS,139.18062732696382,1.2076393821729388e-14,19.23702319653053,2.023928172802249,0.019803226486060886,521.6869675461257,4.345251148594079,522.0956911884899,False,NLOS,128.92388445873902,1.2811841409072058e-13,-2.337624201084903,1.031626006420843,0.034748056481456166,12.988966993311648,True,0.6512137766286857
287,187,2.5512262721072495e-08,4.89142779458316e-07,0.9504284216996364,0.04957157830036361,3.549278694127061,4.658073182631872,8.207351876758933,NOMA,971.7680893263831,4.248789333523305,971.9896255501773,False,NLOS,139.5299037695199,1.114319224277518e-14,11.573664297826983,0.916067302331194,0.01852313423585519,349.0284503354191,17.94176486112649,349.0998106943339,False,NLOS,113.93477285849342,4.041315105498743e-12,9.54747438130641,0.7303785479791182,0.1549418894274958,12.826866684663496,True,0.6565881501407146
319,98,2.58258313631425e-08,4.898418838607786e-07,0.9499176880756864,0.050082311924313526,3.5480520657172883,4.674258042018896,8.222310107736185,NOMA,640.4085212531284,7.581184658113384,640.6453693124873,False,NLOS,130.45526946984765,9.004778884124604e-14,14.958702713420132,0.481673684572538,0.028144463181911685,384.65705076128285,17.277264052608196,384.73456739794165,False,NLOS,115.98310247529338,2.5216787138954245e-12,10.880592315757616,1.0795447661888506,0.12385446057194432,12.780016058100818,True,0.6577848086188948
264,216,2.6925980334030655e-08,4.934986589147998e-07,0.9482615189532628,0.051738481046737186,3.5446497176322396,4.729708886888908,8.274358604521147,NOMA,859.3590510452543,5.0507577028642565,859.5905716570127,False,NLOS,136.96302368642807,2.012322723523952e-14,2.7121792585375797,0.25937712463656626,0.020947009441920534,693.2331933920524,14.188237325109476,693.3174991536567,False,NLOS,127.83204737575068,1.6473855885524355e-13,-5.570325624557846,0.6402831374650517,0.030341143777313596,12.631144525496625,True,0.6619486883616917
496,23,2.6994195239566937e-08,5.032103922281687e-07,0.9490872092063716,0.05091279079362852,3.5595232977336795,4.734430288763875,8.293953586497555,NOMA,850.8547999278643,3.4203583714415524,851.1284106955325,False,NLOS,137.77335388450692,1.6698005953054894e-14,8.338036647380934,0.5455567220170287,0.021156530349330013,497.7412330007159,13.454699951722498,497.8751138410894,False,NLOS,122.65200687957014,5.429993529108777e-13,4.400454557642843,1.1333725068050844,0.038497150610772045,12.704792168560266,True,0.6635162869198044
