u,v
933,335
57,939
11,1070
582,77
327,790
794,33
599,1069
1055,37
828,245
677,369
1047,51
683,412
376,777
243,665
571,616
69,1043
373,780
827,322
478,1062
601,495
365,785
141,888
359,818
250,911
902,181
639,872
776,203
162,956
1052,543
274,868
871,211
470,1099
593,532
1082,22
663,447
510,354
829,241
286,469
970,100
742,758
503,714
727,706
734,345
667,444
562,1056
290,597
349,921
1075,0
1035,202
436,669
949,498
494,610
749,482
28,304
461,442
773,467
618,273
427,705
608,488
49,1046
1016,62
978,197
552,583
633,10
983,150
1096,18
1054,201
325,833
165,951
265,800
134,982
399,1038
308,856
985,70
730,356
491,312
332,822
964,779
897,222
429,782
149,975
120,521
368,781
604,472
6,666
999,89
380,764
445,744
859,213
518,576
563,309
881,219
449,952
578,1093
831,236
707,340
963,135
643,697
987,101
502,590
965,110
935,347
44,1042
670,439
406,649
1090,226
1089,270
736,640
1050,171
609,456
650,457
71,1028
208,1015
595,530
278,832
413,648
42,592
846,377
471,836
703,566
886,193
392,728
870,352
655,275
838,229
581,1000
717,366
1057,35
586,431
367,262
199,516
137,977
726,438
797,260
1066,357
690,524
739,237
21,1040
942,169
128,995
896,220
272,887
768,318
678,415
681,417
540,557
994,108
288,876
960,124
424,629
355,795
900,320
225,932
371,748
105,1025
857,214
522,657
351,802
940,132
486,1084
637,588
574,568
512,584
490,407
420,766
163,961
338,813
81,644
487,765
311,1097
23,1048
85,1041
596,34
425,710
1029,92
64,182
967,117
297,808
890,517
164,943
1045,36
746,234
635,156
769,483
205,926
115,1023
628,525
788,514
656,453
918,462
997,99
477,621
400,783
1044,40
207,617
1009,82
660,450
759,65
315,842
468,792
496,594
638,458
912,5
46,1059
554,553
500,591
740,343
174,835
1005,336
767,306
972,159
1081,75
569,43
403,685
1091,784
646,263
1095,9
606,492
882,121
684,402
1018,1083
418,679
704,389
852,233
903,180
774,295
786,31
1078,78
620,484
895,185
565,548
668,152
298,869
680,544
1022,1049
851,26
326,806
762,195
613,481
446,642
645,186
875,230
555,1061
605,662
934,145
821,384
865,558
283,867
370,1024
634,414
743,330
501,537
279,860
884,198
261,546
661,269
15,1079
228,796
623,404
526,575
247,922
1087,224
254,143
834,300
131,966
622,1073
957,123
699,264
505,1064
817,256
531,564
155,969
25,930
104,91
809,499
904,242
858,284
729,246
976,114
929,191
1031,59
204,946
391,763
850,154
861,303
441,382
731,310
980,111
914,175
119,996
68,1021
880,200
682,673
217,372
695,374
396,761
676,379
722,346
753,324
353,799
452,750
819,144
397,1098
580,536
328,711
215,941
1088,179
920,375
624,480
317,845
947,176
901,218
674,426
815,276
507,587
194,603
651,708
738,209
408,721
285,879
122,1001
772,854
612,874
405,432
534,573
910,177
600,527
988,96
824,253
293,873
238,925
675,148
1068,61
451,13
80,1012
917,166
1053,45
1014,126
463,908
435,422
1030,52
937,251
523,1020
160,968
984,103
700,344
672,1027
87,1011
713,381
625,924
268,906
519,259
257,915
153,974
1074,14
443,1051
691,240
316,183
959,814
321,545
112,551
732,506
631,460
508,807
689,410
277,883
709,388
944,142
395,866
898,184
556,173
561,907
778,249
885,348
805,239
1033,84
513,579
1003,88
1007,86
923,1008
863,212
1019,60
560,696
172,950
1076,423
428,647
411,725
485,611
755,206
350,804
1065,301
1077,266
440,877
1072,178
718,333
803,282
459,747
916,168
971,113
607,474
542,363
267,909
289,820
248,401
810,281
161,936
385,653
430,652
93,1039
109,1002
1010,73
129,989
816,378
497,589
67,358
694,361
567,1080
528,167
547,455
136,66
615,598
550,627
986,102
409,853
693,383
812,712
998,94
539,572
314,862
991,216
473,626
825,687
55,1034
509,585
342,319
1037,48
421,719
1067,58
252,919
465,636
433,702
398,735
116,1004
757,515
258,715
955,127
892,187
419,641
844,296
339,1026
771,302
754,231
1006,74
849,221
232,927
125,801
752,334
255,520
741,157
632,479
1060,32
434,671
190,948
139,973
756,313
954,130
787,291
688,416
280,878
393,337
837,386
394,454
990,98
1013,63
1086,53
271,905
341,811
993,90
686,1092
504,307
775,294
1071,27
489,602
1094,29
20,1017
791,894
723,360
147,981
716,235
1085,56
843,541
692,390
170,830
549,570
559,364
299,953
464,630
329,823
864,362
210,466
938,140
945,188
958,118
305,511
847,138
577,533
614,192
798,538
931,146
724,323
658,387
