User1_ID,User2_ID,h1,h2,P1,P2,R1_bitsHz,R2_bitsHz,R_sum_bitsHz,Mode,U1_Distance_2D_m,U1_Height_m,U1_Distance_3D_m,U1_Zone,U1_LOS_Status,U1_Channel_Type,U1_PathLoss_dB,U1_PathLoss_Linear,U1_Shadowing_dB,U1_Fading,U1_LOS_Probability,U2_Distance_2D_m,U2_Height_m,U2_Distance_3D_m,U2_Zone,U2_LOS_Status,U2_Channel_Type,U2_PathLoss_dB,U2_PathLoss_Linear,U2_Shadowing_dB,U2_Fading,U2_LOS_Probability,SIC_Margin_dB,SIC_Satisfied,Throughput_Mbps
442,242,4.365116430022697e-05,0.0006460672150042933,0.9367116121448833,0.06328838785511669,3.9814262945866106,15.319444652902169,19.30087094748878,NOMA,0.0,1.6692860574138182,23.330713942586183,0,True,LOS,68.97577752129925,1.2659666000874637e-07,14.073616430745712,0.6201054233842459,1.0,0.0,4.739001281787654,20.260998718212345,0,True,LOS,67.62789956666683,1.7266727826767117e-07,-3.0896515150642325,1.0894068599855378,1.0,11.702818710537956,True,0.9234866482052048
387,460,6.132431163103604e-05,0.0006522363205410841,0.9140587234411163,0.08594127655888367,3.5402547932337973,15.774556010344305,19.3148108035781,NOMA,0.0,4.870184199923034,20.129815800076965,0,True,LOS,67.56583650572952,1.751525035990926e-07,9.659307826050252,0.4455432808189499,1.0,0.0,8.217053291439415,16.782946708560587,0,True,LOS,65.82846162901704,2.613086805953339e-07,-3.0834051545971364,0.8946595518772814,1.0,10.267722974136772,True,0.9241536269654594
78,264,6.500844882840752e-05,0.0006538884057194729,0.9095719387042083,0.0904280612957916,3.466862453850804,15.851623659704119,19.318486113554922,NOMA,0.0,10.854170707725405,14.145829292274595,0,True,LOS,64.19518596947282,3.806110590856917e-07,13.667200385257596,0.5082637321861071,1.0,0.0,6.3694403709746705,18.630559629025328,0,True,LOS,66.82633069865415,2.0766673274744126e-07,-3.3423702641949307,0.9765661319644808,1.0,10.02533833403458,True,0.9243294791174604
226,286,6.584717601782187e-05,0.000656530438768579,0.9088465995208168,0.0911534004791831,3.4553412810641175,15.868966769138067,19.324308050202184,NOMA,0.0,3.0712835899534037,21.928716410046597,0,True,LOS,68.3836515321248,1.450891200581981e-07,9.98938191742661,0.5459952024014462,1.0,0.0,7.482134754585855,17.517865245414143,0,True,LOS,66.23794687447223,2.377964202619829e-07,-7.532117515467824,0.565648101812282,1.0,9.98717711971922,True,0.9246080406795304
449,306,6.703637875911324e-05,0.0006583979024389142,0.9075913828494496,0.0924086171505504,3.435617449160509,15.892795126272873,19.328412575433383,NOMA,0.0,7.806216727170258,17.19378327282974,0,True,LOS,66.05953274667098,2.4776886154704093e-07,16.341921044855685,0.8838595029395508,1.0,0.0,9.386445656076464,15.613554343923536,0,True,LOS,65.13840002902768,3.063091690058117e-07,-0.6078798516092726,1.109211714291623,1.0,9.921778925221595,True,0.9248044294465734
102,117,7.22160524968432e-05,0.0006640462949769396,0.9019153257739903,0.09808467422600978,3.349644773286611,15.991117991582826,19.340762764869435,NOMA,0.0,12.635147552752333,12.364852447247667,0,True,LOS,62.909517527140125,5.117386832144786e-07,22.21140917706715,1.3022071643334612,1.0,0.0,6.434587603805847,18.565412396194155,0,True,LOS,66.7928621027475,2.0927328411546925e-07,-7.0343199092805415,0.6458407853513246,1.0,9.635646127519587,True,0.9253953476014085
59,376,7.295295072232246e-05,0.0006691360593661051,0.9016924523466137,0.09830754765338644,3.3463726328061,16.005407993668225,19.351780626474326,NOMA,0.0,2.1252829015812558,22.874717098418746,0,True,LOS,68.78718698358799,1.322151742300336e-07,12.875325134400692,0.8834225248058297,1.0,0.0,6.742471160026993,18.257528839973006,0,True,LOS,66.63308478436765,2.1711584618468425e-07,-0.5848336040994797,1.3425392560984655,1.0,9.62471571935723,True,0.9259225180131258
389,187,7.32076304400999e-05,0.0006709496764594291,0.901623447406418,0.09837655259358206,3.3453610897596078,16.010325204627403,19.35568629438701,NOMA,0.0,7.9483517468507525,17.051648253149246,0,True,LOS,65.98022092365171,2.5233524074124085e-07,14.759443384834366,0.797149109733162,1.0,0.0,12.623069618473508,12.376930381526492,0,True,LOS,62.918845745287285,5.106406984791852e-07,0.13932395595249572,0.9541099674130681,1.0,9.621335978224437,True,0.9261093920759336
263,358,7.524016679099205e-05,0.0006716669473453686,0.8992643591593162,0.1007356408406838,3.311182729431515,16.04605394500078,19.357236674432293,NOMA,0.0,1.799412599871161,23.20058740012884,0,True,LOS,68.92233846111023,1.281640296882826e-07,14.306123680182063,1.0911208549842266,1.0,0.0,12.554565740052286,12.445434259947714,0,True,LOS,62.971582099107934,5.044774870824102e-07,-3.0109848258276664,0.6686268936735054,1.0,9.50704227626831,True,0.9261835729393442
251,428,7.585623509175458e-05,0.0006733923262023324,0.8987569159148772,0.10124308408512286,3.3039359120362515,16.05700418219183,19.36094009422808,NOMA,0.0,2.239541706163922,22.760458293836077,0,True,LOS,68.73934294331671,1.3367977492459342e-07,13.701225498283957,1.004661375521664,1.0,0.0,10.12366474586006,14.87633525413994,0,True,LOS,64.67627194294764,3.4070052728594295e-07,-5.154258066612926,0.6373365964675697,1.0,9.48276879045659,True,0.9263607700587599
