u,v
769,331
668,428
754,342
333,694
69,904
385,466
918,975
388,657
1029,546
201,660
705,440
414,633
496,595
195,765
14,186
54,735
841,202
1052,1078
10,957
985,759
1095,365
706,261
576,322
11,791
56,942
397,683
206,877
1031,66
695,269
1076,217
825,653
956,179
46,790
749,343
400,464
84,911
170,914
838,290
621,1088
615,361
20,737
1046,1002
722,353
1089,1058
62,846
33,1048
320,723
781,313
959,301
266,96
741,249
467,513
275,828
516,378
63,936
168,207
410,634
233,858
236,854
632,198
991,536
282,979
686,425
839,277
478,405
745,242
1070,289
1050,42
75,802
229,860
315,783
836,616
339,713
1037,1042
670,431
814,76
433,604
298,815
71,773
554,530
675,411
434,461
125,618
98,664
348,537
337,775
757,327
539,352
966,159
34,1039
1043,308
734,47
472,703
698,399
873,251
562,340
374,805
792,564
662,436
319,222
736,492
971,157
358,299
481,540
165,420
845,655
43,314
1060,91
335,571
684,356
60,223
799,306
111,961
650,601
380,350
908,231
834,291
690,417
856,50
1024,909
445,586
294,8
1001,395
310,788
347,685
1022,109
563,169
372,211
926,230
872,21
619,469
1023,1093
349,901
851,83
581,506
693,409
16,795
810,185
876,130
1085,789
93,260
642,448
952,116
212,644
915,225
401,678
1047,533
946,868
811,158
970,569
732,1006
460,822
142,921
1065,29
254,744
627,450
493,599
396,1084
78,518
114,175
947,131
390,375
44,879
930,87
756,218
981,147
152,588
1072,36
821,692
955,27
31,963
949,194
204,882
413,647
1091,296
623,429
329,486
1073,257
593,205
806,160
837,565
699,424
381,550
969,986
150,794
984,1087
933,209
938,324
1099,3
610,477
630,455
345,731
1092,1056
532,548
40,95
359,733
368,711
666,377
153,646
278,817
720,366
72,303
438,635
341,702
771,188
430,649
997,122
753,161
606,484
500,475
1080,1059
127,638
993,255
504,216
495,387
191,897
833,135
287,605
101,1003
164,543
665,416
447,441
391,689
1016,94
677,903
458,617
889,166
582,503
485,598
288,816
965,826
941,203
97,1019
1094,809
715,376
770,321
902,239
527,572
422,654
801,174
379,701
995,39
270,556
449,625
523,574
243,529
1063,30
797,307
762,200
13,747
354,393
462,609
1018,418
980,126
1005,875
1068,19
143,483
182,658
81,755
61,1033
215,862
4,935
663,64
920,107
86,717
183,906
364,652
121,931
362,728
1064,17
74,1017
1025,1090
842,480
766,332
968,156
1000,117
1083,1036
334,778
831,937
924,234
673,890
578,509
132,917
648,177
591,457
1055,1077
279,716
526,184
622,408
167,907
57,1035
1028,1086
104,976
120,426
99,641
864,444
742,338
645,823
268,189
108,573
55,719
549,544
1009,547
144,913
88,344
996,119
9,725
286,835
589,482
276,827
73,727
555,489
740,525
285,637
494,491
28,603
280,824
248,853
558,521
1015,110
470,557
738,317
764,226
382,700
667,284
346,881
714,392
857,273
892,240
476,600
978,154
597,490
454,432
718,371
412,435
1011,871
190,898
819,292
507,443
730,219
679,244
453,746
524,370
579,77
193,499
798,210
659,442
1066,24
596,502
1021,776
163,602
247,772
253,1
178,910
796,267
830,1074
1082,5
813,1012
541,553
41,514
323,748
682,281
1096,1071
944,138
1030,52
977,473
227,640
786,774
237,681
951,173
148,752
1054,18
65,983
620,162
26,79
58,724
197,891
585,497
437,900
12,208
112,960
1004,53
687,355
1061,35
1049,707
626,363
139,922
522,580
245,680
988,59
134,929
128,531
787,316
22,760
896,232
220,870
140,761
624,465
567,187
90,1007
538,389
309,804
213,867
106,704
102,999
994,129
325,510
568,515
712,123
709,383
37,726
643,456
262,844
51,782
265,751
708,256
962,172
421,608
869,884
743,241
974,155
419,656
451,636
145,691
800,384
7,330
982,141
283,508
697,404
459,612
146,628
849,272
196,894
6,1053
259,852
534,373
1079,423
115,2
940,274
1081,124
943,181
394,487
972,235
67,1032
785,238
367,488
696,407
1057,297
463,452
611,439
468,427
149,939
919,848
176,386
895,899
369,542
23,561
224,560
92,688
575,0
80,48
594,498
32,1051
192,613
934,221
302,511
258,850
767,300
501,577
629,357
967,474
777,768
100,916
587,607
133,446
505,592
793,312
89,1013
328,779
807,228
70,1027
519,584
669,263
883,250
45,948
304,552
512,590
784,631
964,171
674,103
360,721
855,264
812,293
68,958
832,271
1045,415
763,199
583,479
351,758
1010,305
739,336
859,252
214,105
85,885
137,923
566,520
136,954
1040,49
403,651
818,750
888,180
661,528
559,517
318,729
1075,15
614,471
998,326
311,671
932,780
886,246
950,676
151,551
545,865
38,1034
118,639
113,570
1067,25
710,398
402,672
406,535
82,829
863,887
808,295
