User1_ID,User2_ID,h1,h2,P1,P2,R1_bitsHz,R2_bitsHz,R_sum_bitsHz,Mode,U1_Distance_2D_m,U1_Height_m,U1_Distance_3D_m,U1_LOS_Status,U1_Channel_Type,U1_PathLoss_dB,U1_PathLoss_Linear,U1_Shadowing_dB,U1_Fading,U1_LOS_Probability,U2_Distance_2D_m,U2_Height_m,U2_Distance_3D_m,U2_LOS_Status,U2_Channel_Type,U2_PathLoss_dB,U2_PathLoss_Linear,U2_Shadowing_dB,U2_Fading,U2_LOS_Probability,SIC_Margin_dB,SIC_Satisfied,Throughput_Mbps
14,477,9.347100008264578e-07,1.2766666751041526e-07,0.8798291874102669,0.12017081258973296,2.9769989169175424,6.824320572979362,9.801319489896905,NOMA,669.3524010060764,12.650673865697886,669.4663117652528,False,NLOS,128.1604352481336,1.5274129738706393e-13,-4.096649638920502,1.4923344679658537,0.026915320026641,827.0221062376366,16.300881015904668,827.0678562710777,False,NLOS,129.55834012388686,1.1070468170878522e-13,11.390166127348225,1.4239765410448404,0.03353541884417804,8.64599367281228,True,0.7841055591917523
308,402,2.2181565857540064e-05,4.652686131361487e-07,0.9794554681035624,0.020544531896437544,5.464653659778832,8.835134212610225,14.299787872389057,NOMA,274.74487979222926,17.547383782555055,274.8459395016252,True,LOS,92.54132604144566,5.570156480808558e-10,2.7196338073947786,1.285405617015137,0.17604096248149936,998.8142918937066,20.040195547331912,998.8266062492204,False,NLOS,130.51731675864144,8.877043011188599e-14,4.571512042788812,2.643292332769828,0.035030097553844126,16.78288444771294,True,1.1439830297911247
139,444,4.078329752939726e-06,3.274739144826512e-07,0.9256721499180557,0.07432785008194438,3.696265778642353,8.248560843110573,11.944826621752926,NOMA,325.802103763136,7.033340906252172,326.297121739491,False,NLOS,119.33336187585132,1.1659067386317682e-12,-6.527158319899932,1.7815274380749626,0.06061092255276444,954.2764845359856,7.676722411457835,954.4337090048574,False,NLOS,137.16379211176326,1.9214132834816955e-14,-8.303368006372963,0.9082343360022823,0.018862716923472873,10.953056264923603,True,0.955586129740234
429,457,1.7161167069717041e-06,2.4439135970792005e-07,0.8753428441017187,0.12465715589828134,2.963258559840753,7.747697738266017,10.710956298106769,NOMA,413.76241517801884,19.914268813805062,413.79366944848914,False,NLOS,115.63671215154498,2.7310445515429675e-12,4.277999814315396,1.6993483635308009,0.18957527271939414,499.86789923782794,12.454279674547525,500.02531114626964,False,NLOS,123.3254000030914,4.650075450855162e-13,4.490629490536819,0.6010177832410074,0.03635481791242647,8.46460971681804,True,0.8568765038485415
425,78,7.046645140521166e-07,6.97855154448891e-08,0.9098902281788098,0.09010977182119007,3.2797886703278594,6.011163698760053,9.290952369087913,NOMA,375.84952812371245,12.757482141759086,376.04886256220306,False,NLOS,118.30741804098523,1.4765841282697203e-12,5.598366544060645,1.1047693852701004,0.05033349663703078,762.5480630870828,19.400613734691223,762.5686209413614,False,NLOS,126.32045324825303,2.333214545348016e-13,16.489933667627465,0.9644609237545992,0.06513896120175845,10.042171109665837,True,0.743276189527033
393,208,6.899657202344799e-07,6.736495237655456e-08,0.9110494862907088,0.08895051370929123,3.2894494644070282,5.96284524139269,9.252294705799718,NOMA,553.9520440972045,17.38637624855211,554.0043631832693,False,NLOS,122.10603041250674,6.157394206798403e-13,-4.113990400285469,0.5475572260959233,0.08280428439136366,707.2449335901554,3.8564569557091066,707.560912926519,False,NLOS,134.37625733100128,3.650684205712754e-14,2.8637545497594963,0.4902691893334938,0.025463854339529978,10.103935070001127,True,0.7401835764639775
366,254,1.086596592613959e-05,4.2953552980223846e-07,0.9619728675634593,0.038027132436540725,4.634455412917803,8.694189056161923,13.328644469079727,NOMA,741.9105374009911,22.41655087428434,741.9150353753538,False,NLOS,124.04487142065857,3.9401509287497697e-13,-17.95733366890242,2.1900056052899686,0.10477116200515561,582.5643296704542,16.876608910580092,582.620963995613,False,NLOS,123.26668461989433,4.713370051594733e-13,-3.394277960603446,0.42327188869123183,0.06902449144267028,14.030692457240526,True,1.0662915575263783
235,298,5.2466078678597255e-06,3.6908603313087473e-07,0.9342759702294726,0.06572402977052728,3.873058577661245,8.433911754595478,12.306970332256723,NOMA,490.64599202436517,17.384198490457756,490.70509465686837,False,NLOS,120.04810955063009,9.88983497632525e-13,-8.731748137617908,1.9306194485191626,0.09743781803668977,803.3486669316242,4.326157925994756,803.6146392437848,False,NLOS,136.2549357022165,2.3686802000996776e-14,-1.86577315864587,1.9345757439578126,0.0224090441766187,11.527509951520942,True,0.9845576265805379
195,445,8.329841637141629e-07,1.0808915513423384e-07,0.8851426844546991,0.11485731554530088,3.0236069878018,6.595060880081675,9.618667867883476,NOMA,558.9893937981561,16.931324392957734,559.0476240043255,False,NLOS,122.53286559081603,5.581018227523827e-13,0.5134327266087366,1.182909884368756,0.07423363663834982,708.388145315094,7.906569346148644,708.5943478425979,False,NLOS,131.9709607632983,6.351903969948242e-14,10.68946107871308,1.4682608348381063,0.025422548260797945,8.868546226464916,True,0.769493429430678
369,451,1.8364159497957638e-06,2.5421357730301153e-07,0.8784033354509295,0.12159666454907042,2.999555709413053,7.809299022857225,10.808854732270278,NOMA,540.8747817848869,12.038864463778179,541.0300551773786,False,NLOS,124.91233419262426,3.226759376583635e-13,-9.175843309716704,1.1240758055668845,0.03346003373746853,709.3934722549401,7.69568785167469,709.6044938533346,False,NLOS,132.12166741441192,6.135264048472034e-14,1.7968547098286705,1.2621903291367802,0.02538633702985021,8.58772313993078,True,0.8647083785816223
