Method,Time_ms,Time_s,Speedup_vs_GNN
Static,0.299299999824143,0.000299299999824143,2827.64× faster
Balanced,0.1938333334692288,0.0001938333334692288,4366.18× faster
Bipartite,32927.09489999985,32.92709489999985,38.91× slower
Blossom,44749.256799999785,44.749256799999785,52.88× slower
NOMA-GNN,846.3113666669718,0.8463113666669718,baseline
