Method,Throughput_Gbps,Sum_Rate_bps_Hz,vs_Blossom_%,vs_GNN_%
Static,40.78082997028987,8.156165994057973,55.638478698287344,57.64554919055179
Balanced,52.79545057336732,10.559090114673465,72.0303768764101,74.62875927933838
Bipartite,73.29608276758304,15.796569561979108,99.99998878647365,103.60733088884288
Blossom,73.29609098665954,15.796571333331794,100.0,103.60734250687955
NOMA-GNN,70.74410868302375,15.720913040671944,96.51825592704492,100.0
