User_ID,x_coord_m,y_coord_m,distance_m,angle_rad,ring_assignment,path_loss_dB,path_loss_linear,shadowing_dB,rayleigh_fading,h_linear,h_dB
0,614.298386912923,-88.39402022964526,620.6254997791971,-0.14291329493940474,0,131.08004970719622,7.798211850249817e-14,-7.29820590498376,1.4507951828307633,9.386721112207115e-07,-117.2558688547452
1,-30.18934619679835,1345.7456478714264,1346.0842267067376,1.5932257387254094,0,137.66198902360583,1.713172512596529e-14,8.348476374023045,2.563575702708992,1.2832842876363265e-07,-119.92906209767723
2,-806.289586715828,1378.3299084085645,1596.83945156047,2.1000953373058837,0,140.76674141827255,8.38157929703672e-15,13.924302958290776,0.6567968386733583,1.2102604323706006e-08,-119.99936392229006
3,-636.2454912935877,-189.7388208349278,663.9345941606354,-2.8517730191528363,0,125.66378817683604,2.714070860738867e-13,-4.08993954438201,2.6621451532169402,2.220952652045782e-06,-112.2675268646593
4,-534.7799694909639,37.001092821520324,536.0584824799838,3.0725133678337953,0,127.8095938794754,1.6559248062400734e-13,3.44118761193238,0.866684466694319,2.3731322340068472e-07,-119.7620549806323
5,1107.5912832996148,-1406.6772169221613,1790.3908074633216,-0.9037972376814676,0,151.09051708790741,7.779439204954879e-16,-8.465006697006272,1.3241101814326413,9.786977850359902e-08,-119.95859909520802
6,2013.4652707516425,696.1521095058041,2130.4154890753975,0.33288206584980323,0,142.29052723019507,5.901294345589374e-15,-10.944249825448098,1.5691739290933684,4.2496896358597196e-07,-119.27897728756543
7,-272.7764269909996,-1711.3508768543513,1732.9537797737519,-1.7288591581642578,0,145.20798538890338,3.0144040257102772e-15,7.715422270701549,0.46572887891123144,1.051871735578722e-08,-119.99951950833602
8,450.86732877851847,-1061.8573221502365,1153.6127256423397,-1.1692623695987179,0,142.46156658297556,5.673399181711227e-15,13.284663654135016,0.5244959326770455,8.559149514235084e-09,-119.99968185168349
9,-1702.9598918830434,-700.979864878968,1841.5876748957794,-2.751105570873893,0,145.49557001166588,2.821259268407569e-15,-0.26509753257743135,0.8074243593572281,4.421587498290283e-08,-119.99151764251444
10,-828.452581054666,-386.2141041428347,914.0541632173611,-2.7053591746599857,0,130.40699227558375,9.105436550984806e-14,-4.902375323422904,1.8997933338624862,1.0080347686580267e-06,-116.9548058596404
11,-98.73686275323968,110.85559827130486,148.45178252362285,2.2984383221674785,0,98.59704791107387,1.3813228909424905e-10,-2.895024931731491,1.6892276410955889,2.770684213710751e-05,-91.1426057625276
12,-240.4482968470048,91.66242366417073,257.3273855784014,2.7773846485339626,0,116.1353288313887,2.434821437483795e-12,-6.0590648705831205,0.6789537154864704,2.1282712151385702e-06,-112.57311124359012
13,-1476.698603899355,-1451.802661033307,2070.8379302450726,-2.36469554273942,0,148.5618941670839,1.3925493127553531e-15,0.701118235289798,0.23184323496839798,7.980751861344989e-09,-119.99972339622892
14,553.5398728829952,2026.372898047583,2100.617412289321,1.30413427300085,0,151.76052153953523,6.667266979195094e-16,15.61268445982125,0.4879893885836066,2.088094158014716e-09,-119.99998106420597
15,149.63364610129707,-1835.6897972036797,1841.7782873091037,-1.4894625690166514,0,148.94417761767318,1.2752115518158539e-15,1.3772626205293315,0.8230341864390714,2.508105860720703e-08,-119.99726888822576
16,1486.8967568010432,-63.6835400017212,1488.259909643679,-0.042803672996223584,0,144.04806533309127,3.9372543064770236e-15,2.5806640657522872,1.5251540200097373,7.110124965766487e-08,-119.97810004003789
17,1941.4206072166137,-874.6356983304571,2129.3429923146086,-0.42328065939870574,0,152.78064980874015,5.271509810876831e-16,7.84328969306502,0.05869504573165312,5.462663769655847e-10,-119.99999870403526
