u,v
151,462
42,613
626,158
39,55
688,176
32,86
576,527
993,583
620,832
90,145
178,209
129,799
431,98
331,602
164,104
624,791
678,1051
1006,242
51,713
23,961
638,712
181,1013
244,91
987,218
190,864
232,728
358,1025
28,325
515,449
801,621
1014,19
1000,1065
394,452
175,545
719,439
7,682
888,539
1058,617
31,336
458,514
817,411
816,754
288,154
566,432
141,414
275,478
147,1011
191,1029
878,612
622,746
1086,563
397,615
337,203
375,802
187,307
1007,320
751,150
163,646
143,123
409,100
697,709
535,448
1,924
668,1046
745,137
125,421
955,758
329,699
763,894
1030,1073
994,474
471,963
105,658
3,89
167,675
272,227
603,355
372,413
518,435
826,973
727,980
309,146
657,691
416,647
1002,1010
465,497
480,913
834,1022
213,906
933,72
1088,202
247,461
798,592
469,70
780,511
269,673
27,872
313,335
820,0
827,1017
500,1045
112,22
989,271
680,47
166,891
843,865
240,221
447,290
809,263
875,502
670,58
43,752
283,1083
424,986
417,455
660,510
160,684
204,482
453,600
954,153
681,561
196,363
874,1081
292,847
732,212
598,1041
643,772
508,914
84,192
542,836
733,538
102,220
562,889
142,1048
259,556
381,317
420,720
845,135
966,974
1060,128
797,601
346,557
551,639
909,1042
419,180
555,857
651,570
4,604
1064,48
981,305
696,526
710,473
328,1078
14,940
689,774
530,918
407,507
760,690
434,1053
806,99
207,1015
967,321
984,85
1075,324
386,833
768,536
1033,605
588,932
152,972
701,1092
1067,659
1080,893
1024,33
635,700
593,441
438,707
446,450
869,215
656,113
284,748
460,595
921,294
642,316
722,648
277,528
623,920
519,429
644,360
107,388
250,251
828,879
619,410
911,529
633,1035
342,810
977,249
717,1062
165,56
585,997
925,24
38,1009
849,885
494,216
428,440
812,796
1004,437
61,549
265,234
225,53
279,773
908,1071
470,318
915,580
912,979
118,65
405,466
1079,21
456,454
306,1018
412,901
947,838
205,302
168,423
811,650
504,716
998,430
698,863
77,1023
103,323
959,578
783,1087
944,67
731,444
161,887
902,702
778,779
281,157
40,254
59,512
219,185
367,78
312,1034
457,373
548,173
895,939
351,260
905,106
217,274
762,282
793,1094
1012,898
945,109
223,550
929,777
919,415
1095,200
577,348
371,805
952,97
1099,786
499,495
26,210
236,370
54,296
1016,171
262,759
800,400
983,739
245,677
1070,490
946,459
964,723
