User1_ID,User2_ID,alpha,R_sum_bitsHz,score
9,127,0.9885737895965576,13.183655292809345,0.9516246318817139
181,259,0.998789370059967,19.58106344527578,0.9215529561042786
312,167,0.9985155463218689,19.279956273369844,0.8966069221496582
57,101,0.9988995790481567,18.15806815598169,0.8734568357467651
21,108,0.9984108209609985,18.48678074233655,0.8610430955886841
377,321,0.9947275519371033,15.40538642432732,0.8534530401229858
461,10,0.9946407079696655,15.75614397632089,0.8521021008491516
266,288,0.9944857954978943,15.90560512921515,0.849205493927002
363,439,0.9985973238945007,19.38701203214056,0.8485474586486816
109,147,0.9942104816436768,15.948214173773621,0.846735417842865
176,213,0.9968963861465454,17.60095993925024,0.8416382670402527
72,151,0.9946986436843872,15.538306871565192,0.8347408771514893
270,386,0.992119312286377,14.012577966680134,0.834611713886261
452,342,0.9951022863388062,15.326697196022124,0.8300997614860535
465,222,0.9864442944526672,15.351002845724048,0.8298812508583069
467,126,0.989822506904602,15.519753549959773,0.8250926733016968
322,495,0.9944947361946106,15.944570445116035,0.8221895694732666
294,348,0.9975700974464417,18.401531502174734,0.821241021156311
188,145,0.9988151788711548,18.561844003366872,0.8184369802474976
62,45,0.991025984287262,15.63401370502682,0.8133559226989746
385,58,0.9813928008079529,14.127512209850165,0.813310980796814
216,459,0.9951707720756531,15.381771571553905,0.8119900822639465
146,379,0.999288022518158,19.079808437898123,0.8104915022850037
70,384,0.9960689544677734,15.680471006487558,0.8094286918640137
142,85,0.9959024786949158,15.948205116408015,0.8054883480072021
88,356,0.9960793852806091,15.74556744535479,0.8023694157600403
243,177,0.9863030314445496,14.858514070535408,0.8006981015205383
268,311,0.9971076846122742,15.405728543289886,0.8000016212463379
121,172,0.9974174499511719,15.721440180963334,0.7994003295898438
323,52,0.9909633994102478,15.934409840775166,0.799372136592865
238,86,0.99222332239151,15.008780375516693,0.7982769012451172
496,28,0.9940065145492554,16.370984357083067,0.7970544099807739
334,233,0.9947783946990967,16.744909893256455,0.796887993812561
198,124,0.9948543906211853,16.14319857579537,0.7966551184654236
225,347,0.9882091283798218,14.780144399204524,0.7965434789657593
32,343,0.9963780045509338,15.62191734334397,0.7951675653457642
338,460,0.9967262744903564,18.002215621643433,0.7946418523788452
390,163,0.9858616590499878,14.809814953424022,0.7940714955329895
161,269,0.9967228770256042,15.452747075416358,0.7939414978027344
200,476,0.9934198260307312,14.791144754692489,0.7924606204032898
345,187,0.9896799921989441,15.16107988469604,0.7920504808425903
179,388,0.9892427325248718,16.000814214326507,0.791571319103241
54,451,0.99406898021698,15.166523805593927,0.7913708090782166
369,175,0.9898166656494141,15.325885646096715,0.7906763553619385
201,221,0.9944056272506714,16.15967139973295,0.7906489372253418
478,454,0.9916561841964722,14.899458327659993,0.7906470894813538
249,389,0.9920995235443115,15.270757902529297,0.7904441952705383
230,371,0.9958348274230957,15.39282413507042,0.7900660037994385
236,331,0.9945953488349915,15.578431829703629,0.7877441644668579
320,168,0.9954181909561157,15.542858671023758,0.785415768623352
299,227,0.9960381984710693,16.157549129218342,0.7840827703475952
296,117,0.9954178333282471,15.709504762276062,0.78044193983078
30,408,0.9857236742973328,16.063541777632004,0.7801903486251831
183,253,0.9968659281730652,16.91512591457307,0.7800484895706177
316,349,0.9930598735809326,16.11156147484161,0.7789015173912048
153,453,0.9923850297927856,14.742535709946793,0.7777528166770935
81,240,0.9928079843521118,14.754517446127934,0.7770215272903442
413,149,0.9976638555526733,17.69427344741868,0.7768672704696655
474,7,0.9970104694366455,16.263579135235233,0.7767588496208191
220,64,0.9966267347335815,15.616381236743198,0.7755631804466248
291,144,0.9874035120010376,16.01359477619591,0.775365948677063
415,372,0.9940908551216125,15.799591281994688,0.7750246524810791
165,80,0.9922184944152832,14.672686382488205,0.7747949957847595
426,457,0.9943345785140991,15.73643187985316,0.7735355496406555
169,396,0.9910027980804443,15.912791507127288,0.7728250026702881
92,344,0.9960026144981384,15.996946918976338,0.7725982666015625
71,48,0.9937279224395752,14.888681445988663,0.7725323438644409
272,97,0.9912412166595459,17.371960684703673,0.7712488174438477
111,263,0.9963132739067078,14.736596621199457,0.7701526880264282
135,400,0.9952338337898254,16.66683598038684,0.7698231339454651
274,12,0.9940962791442871,15.45521732521112,0.7697717547416687
171,47,0.9935144186019897,14.275309999832608,0.7695310115814209
11,35,0.9924474954605103,16.499588979762795,0.7690370082855225
494,44,0.9914581179618835,15.014983375752127,0.7689105272293091
481,29,0.9920422434806824,16.07427685404888,0.7682262659072876
493,289,0.9970308542251587,16.803899448683207,0.7679399847984314
