Method,Time_ms,Std_ms,Pairs,Time_s
Static,0.5204666666334864,0.10776716675139668,1000.0,0.0005204666666334864
Balanced,0.388099999933426,0.12738696955506246,1000.0,0.000388099999933426
Bipartite,1753.297633333356,396.01678338433754,935.0,1.753297633333356
Blossom,,,,
NOMA-GNN,12113.925733333264,4084.1795546732765,870.0,12.113925733333264
