User1_ID,User2_ID,alpha,R_sum_bitsHz,score
1438,1043,0.9993535876274109,19.65181796951432,0.9805918335914612
1068,1229,0.9989823698997498,18.412971493417807,0.94449383020401
1171,1611,0.9990543723106384,18.381445817969336,0.9311439394950867
103,519,0.9994358420372009,19.747949426219172,0.9266888499259949
1413,1621,0.9994266033172607,20.51057264951826,0.9158290028572083
466,235,0.9993395209312439,18.70695660163834,0.915218710899353
1050,400,0.9991807341575623,17.607789862051572,0.9086722731590271
1824,1314,0.9995536208152771,18.106771360135635,0.9056844711303711
1430,60,0.9978072047233582,15.801898691486503,0.9048884510993958
1626,1133,0.9978101849555969,15.562385269910724,0.9012929201126099
624,1748,0.9960589408874512,15.827802782752151,0.8962533473968506
1253,1786,0.9976971745491028,15.891887412609242,0.893406867980957
1190,479,0.9971133470535278,15.89981652812423,0.8931059241294861
213,1977,0.9957444071769714,15.738577067820732,0.892873227596283
278,943,0.996542751789093,15.658635575077792,0.8909608125686646
719,27,0.9974271655082703,16.04637861067737,0.8908236026763916
651,188,0.9975458979606628,18.07452681095199,0.8906170725822449
1822,836,0.9976414442062378,15.659539962602004,0.8898057341575623
66,1184,0.9981327652931213,15.736793454899,0.8894765377044678
457,1242,0.9995961785316467,18.48541711980657,0.8892920017242432
991,1088,0.997913658618927,15.313573156774943,0.8886345624923706
1013,1486,0.9963924288749695,15.657397365441971,0.8876378536224365
1002,192,0.9990732669830322,18.486163767016194,0.8867561221122742
16,17,0.9979580640792847,15.956626979606492,0.8867138028144836
825,1367,0.9974901676177979,15.357244679734912,0.8867042660713196
68,1284,0.9973021745681763,15.751563939410616,0.8865537643432617
1117,1009,0.9941986799240112,15.33966208384183,0.8861432671546936
417,637,0.9967517852783203,15.70559559781821,0.8860718607902527
1397,1974,0.9976540207862854,15.499721562651732,0.8848991990089417
888,1073,0.9934093952178955,14.705935869913969,0.8845756649971008
375,526,0.9987232089042664,16.59311083211375,0.8843475580215454
1763,156,0.9976457953453064,16.10197984695943,0.8841443657875061
1726,185,0.9965344667434692,15.17546189599624,0.8838934898376465
1003,451,0.9990004897117615,16.11717015954929,0.8837974667549133
1872,1371,0.9948273301124573,16.701628820856335,0.8829062581062317
1248,74,0.9951028823852539,15.564853000057415,0.8826439380645752
1053,529,0.9979230761528015,15.645891634887182,0.8824068903923035
646,745,0.9983053207397461,15.784553289572617,0.882091224193573
1336,367,0.9982611536979675,16.09477522677315,0.8812536597251892
208,1798,0.9971823692321777,16.620843369819074,0.8807482123374939
1183,1470,0.9919096827507019,16.013782252769616,0.8805027604103088
