User1_ID,User2_ID,alpha,R_sum_bitsHz,score,h1_dB,h2_dB,h_diff_dB,sic_ok,missing_h
1438,1043,0.9993535876274108,19.65181796951432,0.9805918335914612,-96.8873793363352,-60.80796289100032,36.07941644533488,True,False
1068,1229,0.9989823698997498,18.412971493417807,0.94449383020401,-95.57768990447464,-68.66809807183517,26.909591832639464,True,False
1171,1611,0.9990543723106384,18.381445817969336,0.9311439394950868,-95.640735672311,-68.81951645719629,26.82121921511471,True,False
103,519,0.9994358420372008,19.74794942621917,0.9266888499259948,-95.00256663520078,-60.29635884103023,34.70620779417055,True,False
1413,1621,0.9994266033172609,20.51057264951826,0.9158290028572084,-95.75175009851884,-55.64128050982503,40.11046958869381,True,False
466,235,0.999339520931244,18.70695660163834,0.915218710899353,-95.77116913574216,-66.62882484503511,29.142344290707044,True,False
1050,400,0.9991807341575624,17.607789862051572,0.9086722731590272,-95.68602863112702,-73.41826634674976,22.267762284377255,True,False
1824,1314,0.9995536208152772,18.106771360135635,0.9056844711303712,-95.7318196570234,-69.93213577462426,25.799683882399137,True,False
1430,60,0.9978072047233582,15.801898691486503,0.9048884510993958,-101.50390212591398,-84.47148864108465,17.032413484829334,True,False
1626,1133,0.9978101849555968,15.562385269910724,0.90129292011261,-101.9254168435654,-85.90261018373083,16.022806659834572,True,False
624,1748,0.9960589408874512,15.827802782752151,0.8962533473968506,-101.07199561780952,-84.49919922318568,16.572796394623836,True,False
1253,1786,0.9976971745491028,15.891887412609242,0.893406867980957,-100.52678515521605,-83.98993634626154,16.536848808954502,True,False
1190,479,0.9971133470535278,15.89981652812423,0.8931059241294861,-100.16250113598608,-84.02082940335524,16.14167173263084,True,False
213,1977,0.9957444071769714,15.738577067820732,0.892873227596283,-101.10867552300591,-85.05289989925997,16.055775623745944,True,False
278,943,0.996542751789093,15.658635575077792,0.8909608125686646,-101.64511209459464,-85.47529187147651,16.169820223118123,True,False
719,27,0.9974271655082704,16.04637861067737,0.8908236026763916,-99.16418759240108,-83.13894434112095,16.02524325128013,True,False
651,188,0.9975458979606628,18.07452681095199,0.8906170725822449,-95.45327633716091,-70.98634667807892,24.466929659082,True,False
1822,836,0.9976414442062378,15.659539962602004,0.8898057341575623,-101.8004624822672,-85.34746445411986,16.45299802814735,True,False
66,1184,0.9981327652931212,15.736793454899,0.8894765377044678,-101.0639526099402,-84.82625971765727,16.237692892282936,True,False
457,1242,0.9995961785316468,18.48541711980657,0.8892920017242432,-95.33661831543183,-67.58428736996363,27.752330945468202,True,False
991,1088,0.997913658618927,15.313573156774943,0.8886345624923706,-103.4639862146522,-87.30116842630585,16.162817788346345,True,False
1013,1486,0.9963924288749696,15.657397365441971,0.8876378536224365,-101.8274158092141,-85.48713734444854,16.34027846476556,True,False
1002,192,0.9990732669830322,18.486163767016198,0.8867561221122742,-95.51887163695524,-68.18451581028067,27.334355826674567,True,False
16,17,0.9979580640792848,15.956626979606492,0.8867138028144836,-100.0073058917717,-83.58077836452881,16.426527527242882,True,False
825,1367,0.997490167617798,15.357244679734912,0.8867042660713196,-104.10602463202927,-87.08121823745456,17.02480639457471,True,False
68,1284,0.9973021745681764,15.751563939410616,0.8865537643432617,-102.78897076170448,-84.79014634158206,17.998824420122418,True,False
1117,1009,0.9941986799240112,15.33966208384183,0.8861432671546936,-103.54816206193551,-87.46021457480295,16.087947487132567,True,False
417,637,0.9967517852783204,15.70559559781821,0.8860718607902527,-101.65245284288616,-85.17476384827974,16.477688994606424,True,False
1397,1974,0.9976540207862854,15.499721562651732,0.8848991990089417,-103.15737685283474,-86.24240008724607,16.914976765588676,True,False
888,1073,0.9934093952178956,14.705935869913969,0.8845756649971008,-108.06656981323928,-91.18392626355744,16.882643549681845,True,False
375,526,0.9987232089042664,16.59311083211375,0.8843475580215454,-96.31715597745936,-79.73163360912778,16.58552236833158,True,False
1763,156,0.9976457953453064,16.10197984695943,0.8841443657875061,-99.10923591397275,-82.78110965857837,16.32812625539438,True,False
1726,185,0.9965344667434692,15.17546189599624,0.8838934898376465,-104.50491934500296,-88.2898015987432,16.215117746259764,True,False
1003,451,0.9990004897117616,16.11717015954929,0.8837974667549133,-98.90144933718004,-82.34494989110152,16.55649944607852,True,False
1872,1371,0.9948273301124572,16.701628820856335,0.8829062581062317,-96.64681078052924,-79.34893351581829,17.297877264710948,True,False
1248,74,0.995102882385254,15.564853000057417,0.8826439380645752,-102.51604996890258,-86.0933196803966,16.422730288505974,True,False
1053,529,0.9979230761528016,15.645891634887182,0.8824068903923035,-101.78203747008092,-85.38193494009958,16.40010252998134,True,False
646,745,0.998305320739746,15.784553289572615,0.882091224193573,-100.5263383986238,-84.52615245245272,16.000185946171086,True,False
1336,367,0.9982611536979676,16.09477522677315,0.8812536597251892,-98.78493337311971,-82.74500080450211,16.0399325686176,True,False
208,1798,0.9971823692321776,16.620843369819074,0.8807482123374939,-97.3038130703977,-79.73993832559934,17.563874744798355,True,False
1183,1470,0.991909682750702,16.013782252769616,0.8805027604103088,-101.0809508157483,-83.4836795382958,17.597271277452492,True,False
505,552,0.9967026114463806,14.965981108390135,0.88039231300354,-106.43508528605996,-89.43966477324128,16.995420512818683,True,False
772,790,0.9920811653137208,15.636135875499114,0.880290150642395,-102.0201896872924,-85.7460893041207,16.2741003831717,True,False
