Method,Total_Throughput_Mbps,NOMA_Pairs,OMA_Users,Avg_NOMA_Rate_bitsHz,Avg_OMA_Rate_bitsHz,NOMA_Percentage
Static,87.30084936261818,4,12,3.660198701364545,4.599990390386363,40.0
Balanced,90.89741191230056,3,14,4.1046806935155,4.639197003207784,30.0
Blossom,93.29713685897798,7,6,4.811292437993137,4.494015315397289,70.0
