u,v
255,1022
259,229
618,1083
1023,494
88,109
1065,82
245,977
674,596
851,140
711,654
866,537
201,31
974,228
682,694
46,633
498,784
139,693
691,541
1048,946
352,428
129,676
1096,437
94,151
964,565
225,482
332,617
776,612
205,769
400,599
558,380
516,801
185,683
317,174
959,77
20,216
53,402
967,337
311,944
275,869
68,390
345,128
1026,517
699,122
289,1041
793,669
1050,483
441,110
447,288
947,336
604,491
281,902
685,992
208,262
752,8
446,728
307,1058
470,429
1045,480
448,499
316,636
783,358
588,915
445,857
576,56
299,821
997,58
721,123
41,126
108,543
842,431
1084,44
404,47
675,928
642,751
349,925
823,18
972,1062
504,817
416,268
1097,1
433,119
986,161
871,839
630,624
407,884
112,698
1054,48
882,103
988,350
1066,22
457,305
663,410
702,667
1086,940
367,924
1092,1072
29,538
1095,750
706,655
727,458
635,622
535,773
1099,976
170,760
640,709
104,1071
877,658
1032,114
459,252
755,641
998,386
520,594
450,279
651,696
966,1098
287,401
330,1037
5,813
235,372
488,827
89,425
792,573
1079,355
417,879
899,891
708,39
1047,637
49,739
412,800
718,327
628,1089
653,368
321,938
1000,76
354,468
193,761
452,872
290,950
644,1033
296,463
736,649
257,782
258,369
1080,50
169,269
585,620
115,1070
273,335
15,723
338,1093
157,1081
639,712
981,314
222,890
894,440
873,744
342,610
523,118
479,179
26,462
297,953
333,232
631,740
105,1039
1031,45
903,97
309,945
1088,1064
79,748
835,246
67,136
406,886
713,476
52,730
397,1021
824,572
415,562
970,308
218,771
836,564
226,1068
360,729
71,236
227,474
432,116
614,758
1056,69
766,626
272,756
72,703
371,887
898,373
13,910
681,286
362,896
647,153
91,829
230,359
527,209
381,918
490,834
743,206
529,673
852,549
994,889
982,506
1030,555
460,12
456,32
271,243
293,908
805,64
393,623
832,566
411,820
426,818
1051,223
927,166
904,24
439,357
525,787
560,238
568,767
853,234
544,391
280,876
347,1024
830,98
936,363
180,883
1011,146
983,465
348,192
686,187
613,212
382,608
124,331
301,629
956,84
285,19
774,156
848,142
1010,451
991,181
160,778
231,75
714,547
1055,202
190,797
734,650
43,616
473,1094
322,553
1003,438
1046,80
962,95
1053,250
1043,605
340,704
524,534
199,356
615,661
732,163
770,455
955,101
453,92
705,582
621,323
590,762
726,552
715,375
215,574
597,496
385,329
183,1036
295,948
1002,154
1029,418
282,102
765,70
916,239
251,389
93,1007
57,267
735,578
707,668
60,430
855,512
334,935
421,9
42,745
777,449
1075,789
149,233
398,34
662,638
598,217
434,878
132,656
388,1018
980,664
563,870
934,270
405,442
892,133
81,619
28,720
61,241
90,942
200,158
414,127
968,1040
33,1082
11,240
51,87
318,168
690,677
570,221
1059,687
284,291
881,528
515,25
325,319
424,14
1069,746
196,16
632,717
353,646
509,256
678,186
1015,384
856,220
841,320
808,143
383,107
211,409
6,943
733,652
117,2
519,799
826,569
36,413
374,152
503,37
511,804
137,999
399,492
502,993
979,420
763,634
165,688
361,254
344,659
627,737
85,435
135,692
507,811
392,601
954,484
1044,387
518,30
324,326
40,814
436,1052
328,701
214,679
454,548
791,556
864,159
779,609
184,171
379,657
933,249
978,162
952,775
1077,806
1035,571
1091,951
408,540
489,147
207,788
191,542
695,224
38,467
62,177
606,21
1073,130
266,995
475,849
423,1049
298,798
850,219
929,283
753,304
461,532
106,722
513,579
292,351
294,949
1076,167
99,719
880,530
837,559
144,443
861,260
197,607
533,175
600,759
822,134
17,780
495,831
531,1019
365,303
244,4
747,643
941,508
172,900
313,131
1085,885
593,203
422,74
419,795
66,546
1034,263
343,931
274,660
700,670
875,522
1074,493
1087,939
59,125
497,845
370,1042
672,697
395,312
500,96
247,581
469,526
310,1027
957,182
478,611
1061,276
984,65
242,749
213,960
665,684
539,78
210,378
121,477
63,472
1020,341
810,141
971,485
625,742
648,716
300,802
812,577
54,917
403,567
248,364
1078,86
35,0
772,150
595,764
921,111
561,195
840,550
73,786
83,580
1067,741
932,278
514,803
1060,55
602,754
603,731
666,253
1028,1005
471,23
164,689
815,888
768,148
178,444
396,505
847,557
261,963
466,865
586,27
10,725
486,843
198,376
501,819
394,189
188,377
724,589
113,710
816,583
1038,138
204,339
3,587
1016,464
854,173
265,1090
738,645
926,427
521,796
145,536
1006,554
1063,194
790,575
680,551
912,510
1057,120
785,591
862,545
481,844
237,987
264,366
895,825
176,757
584,155
346,930
1025,306
315,277
989,487
592,671
302,990
961,7
1008,100
