u,v
799,484
375,184
916,520
642,128
388,904
482,166
974,210
929,68
1039,47
478,806
379,922
562,387
318,939
356,538
265,289
748,532
306,955
736,548
605,641
797,146
257,34
621,347
509,771
646,111
1016,211
898,332
1011,218
762,151
1051,25
247,1063
843,243
502,767
82,657
220,1045
90,679
528,743
186,1061
462,834
250,1018
951,64
947,219
302,966
937,254
829,74
411,891
1038,77
1084,291
978,62
523,403
714,129
1097,19
917,70
260,38
880,408
421,886
1021,118
1029,131
522,709
486,786
1090,7
938,358
344,931
599,663
274,49
611,637
293,983
603,651
724,294
865,428
242,776
29,412
626,240
517,760
731,540
203,1058
135,258
568,680
162,1035
381,179
793,371
919,376
602,269
618,640
668,241
157,1086
911,84
281,69
169,1069
1033,109
759,373
1042,176
755,510
409,529
826,143
723,307
733,491
989,286
541,424
727,551
750,525
85,391
926,104
856,454
557,139
1068,35
468,812
855,327
266,835
1089,94
742,535
1037,65
158,524
691,331
395,180
1036,115
890,397
606,638
413,899
164,1070
903,259
493,361
39,410
770,251
110,461
417,887
969,326
429,879
339,549
957,333
1099,8
488,785
961,340
695,580
775,460
168,20
234,231
586,673
816,470
676,594
288,458
196,622
707,572
958,154
888,355
740,102
370,923
1083,32
672,596
962,160
328,935
1094,78
238,224
464,823
1012,17
991,52
1023,121
833,140
511,763
248,133
389,914
237,1027
614,367
187,550
687,589
315,946
292,990
195,383
598,669
244,28
830,256
751,201
575,631
883,91
308,952
583,653
997,122
1060,300
716,108
875,290
790,75
1091,3
354,277
453,399
163,1073
692,263
268,1009
625,627
820,466
988,41
659,607
563,670
27,430
472,808
892,171
267,1013
617,628
965,170
749,527
194,817
400,913
447,845
495,229
287,200
183,1064
624,132
153,227
378,336
1052,30
788,100
543,1065
644,226
338,556
1026,386
221,1032
677,516
348,178
858,438
972,33
652,199
689,337
881,40
795,98
747,198
1071,11
910,341
874,418
757,498
629,578
193,1072
678,592
518,756
76,285
802,106
739,86
272,44
207,225
959,345
4,0
467,813
1066,80
1022,141
514,754
768,490
783,222
809,369
1001,301
708,713
964,172
574,633
533,205
530,734
298,976
905,95
717,560
697,313
792,483
683,576
362,1006
588,671
971,323
37,419
643,616
864,435
368,924
14,664
124,554
995,280
953,36
975,311
920,88
537,732
1028,48
832,649
943,346
494,779
728,439
715,329
547,144
505,156
662,597
456,501
571,357
645,126
150,1096
119,852
223,24
271,1004
735,303
908,374
209,1047
423,314
744,787
573,658
1074,6
405,531
310,949
506,595
50,92
982,161
396,320
422,885
699,766
896,377
1081,23
319,463
305,992
402,906
359,545
1053,59
380,915
426,882
647,612
840,360
726,87
239,228
590,980
249,31
127,1088
147,639
1078,26
521,746
433,862
22,635
619,634
125,99
544,729
600,648
457,828
559,705
758,685
1010,232
264,42
297,970
632,536
805,473
825,451
1043,45
686,116
262,481
718,105
474,382
993,282
191,21
877,107
465,818
690,927
1077,159
504,764
942,352
893,60
839,89
846,366
261,1015
1044,894
273,998
343,932
442,407
43,819
441,847
278,66
83,492
476,167
591,208
981,321
711,469
489,780
445,844
1003,61
189,500
725,471
985,309
564,136
317,933
284,994
569,214
46,448
112,384
212,480
334,613
5,437
977,63
185,215
781,515
213,570
534,149
202,304
1041,56
394,901
312,948
503,1055
499,774
665,815
142,155
831,246
539,730
204,233
789,496
681,581
385,909
393,114
406,623
507,773
113,325
449,283
1085,103
838,253
950,67
719,134
656,609
850,236
353,342
854,206
432,873
459,836
688,579
821,276
866,427
230,1031
81,404
365,181
1080,145
798,414
1079,9
452,841
71,979
811,96
800,859
666,123
363,351
567,684
765,519
871,137
585,674
1056,295
842,335
804,479
245,1019
807,475
177,79
174,330
487,650
1067,53
722,553
558,710
350,928
526,745
960,192
398,986
436,851
152,1092
316,944
1098,1087
1025,190
173,477
372,296
1002,54
299,967
694,584
392,777
860,217
608,252
853,101
615,138
1057,120
73,349
721,561
216,416
275,996
791,485
889,401
444,279
620,630
667,324
322,546
1020,182
455,837
675,175
1008,235
868,72
1024,737
508,165
987,270
1030,12
925,197
415,364
1048,57
1017,51
848,130
778,434
117,963
188,587
