Method,Total_Throughput_Mbps,NOMA_Pairs,OMA_Users,Avg_NOMA_Rate_bitsHz,Avg_OMA_Rate_bitsHz,NOMA_Percentage
Static,51.91795540339561,125,250,2.1988643545774766,2.7944144779659346,50.0
Balanced,58.75650720287549,167,166,3.209424511973713,2.6645900688449826,66.8
Blossom,62.54827560780331,236,28,3.27434834771894,1.8889652843333575,94.39999999999999
