User1_ID,User2_ID,alpha,R_sum_bitsHz,score,h1_dB,h2_dB,h_diff_dB,sic_ok,missing_h
1677,235,0.998428225517273,18.78058526504493,0.9526097178459167,-95.2231142774368,-66.62882484503511,28.594289432401695,True,False
1269,1242,0.9992862343788148,18.53648857765557,0.9440009593963624,-97.25415336243154,-67.58428736996363,29.669865992467905,True,False
640,1621,0.9992669224739076,20.53950621410208,0.943597137928009,-95.86178258050508,-55.64128050982503,40.22050207068005,True,False
1555,1412,0.9981520771980286,17.850263586135966,0.9424113631248474,-95.04289305401753,-72.28887109016243,22.754021963855095,True,False
1070,1131,0.9983850717544556,18.39878520441214,0.935511827468872,-96.25542336928292,-68.90117414604103,27.354249223241894,True,False
1365,519,0.9992270469665528,19.775393132946466,0.9287233352661132,-95.65570688606012,-60.29635884103023,35.35934804502989,True,False
1251,195,0.9992411136627196,18.3739900970843,0.9225168228149414,-95.100224787891,-68.78159843337487,26.318626354516127,True,False
676,1229,0.9993215799331664,18.38383140522193,0.9039376378059388,-94.9169128832662,-68.66809807183517,26.248814811431032,True,False
1635,1399,0.9980316758155824,15.616371778787736,0.8903588652610779,-101.81187382937736,-85.53691599204316,16.2749578373342,True,False
1575,867,0.9979240894317628,15.77327863834594,0.8900961875915527,-100.98795342782472,-84.65095293539177,16.33700049243295,True,False
252,1381,0.9961976408958436,15.672603181187847,0.8894314765930176,-101.70912289628868,-85.41132083178375,16.29780206450492,True,False
373,484,0.99907124042511,17.781998431946228,0.8850626349449158,-97.52066255098109,-72.30484885280583,25.215813698175253,True,False
1253,287,0.9952672719955444,15.957407666785134,0.8845760226249695,-100.52678515521605,-83.76316738037325,16.7636177748428,True,False
807,745,0.9970617890357972,15.814538544889048,0.8845458030700684,-100.60806577565316,-84.52615245245272,16.08191332320044,True,False
467,1810,0.9945558309555054,16.09327786310494,0.8832142353057861,-101.2729146187813,-82.94940520330965,18.323509415471648,True,False
1248,790,0.9973020553588868,15.596025539275576,0.8818508386611938,-102.51604996890258,-85.7460893041207,16.769960664781877,True,False
1436,1398,0.9967361092567444,16.41081486114281,0.8806249499320984,-98.30615298157863,-81.01135471174081,17.294798269837827,True,False
472,726,0.9985291957855223,16.433689974271758,0.8799854516983032,-96.92064639318106,-80.7191524110462,16.201493982134863,True,False
135,232,0.9971022009849548,15.84091385501798,0.8788745403289795,-100.39331837004131,-84.37044227566324,16.022876094378077,True,False
1095,1136,0.9968478083610536,15.70480417096545,0.8779874444007874,-101.28908363267152,-85.18467928593878,16.104404346732736,True,False
562,90,0.998641550540924,18.334445519806557,0.8778546452522278,-98.2088669570031,-69.12935032122701,29.079516635776088,True,False
1409,1353,0.9980266690254213,15.6934874359469,0.8777765035629272,-101.61693330385596,-85.08081285740064,16.536120446455314,True,False
66,1855,0.992338001728058,16.02470769983541,0.8774315714836121,-101.0639526099402,-83.41220286851062,17.651749741429583,True,False
1645,1464,0.996978998184204,15.59157591619218,0.8767600059509277,-102.0087188365957,-85.83156532767667,16.177153508919034,True,False
356,750,0.9995346069335938,18.709198521206105,0.8767351508140564,-97.25760944688234,-66.13337504039077,31.124234406491567,True,False
571,1187,0.9976416826248168,15.461242939055396,0.8763207793235779,-102.72726548725151,-86.50267087070988,16.224594616541637,True,False
602,266,0.9969869256019592,16.147586507429487,0.875499963760376,-98.9859716867317,-82.56848003684958,16.417491649882123,True,False
1500,302,0.9977720379829408,15.96571548992688,0.8752524852752686,-100.6144755692764,-83.52739611975905,17.087079449517347,True,False
