Method,Total_Throughput_Mbps,NOMA_Pairs,OMA_Users,Avg_NOMA_Rate_bitsHz,Avg_OMA_Rate_bitsHz,NOMA_Percentage
Static,83.49823174473255,125,250,3.9459320193740197,4.289401371167932,50.0
Balanced,91.41083360547577,170,160,5.283468578096876,3.8130568513367606,68.0
Blossom,96.51733826808163,229,42,5.164818354315045,2.977774533199069,91.60000000000001
