Method,Total_Throughput_Mbps,NOMA_Pairs,OMA_Users,Avg_NOMA_Rate_bitsHz,Avg_OMA_Rate_bitsHz,NOMA_Percentage
Static,86.85028201300406,129,242,4.214607905518692,4.410695502187249,51.6
Balanced,104.00163203350407,250,0,5.200081601675203,0.0,100.0
Blossom,106.7309420017302,250,0,5.33654710008651,0.0,100.0
