Method,Total_Throughput_Mbps,NOMA_Pairs,OMA_Users,Avg_NOMA_Rate_bitsHz,Avg_OMA_Rate_bitsHz,NOMA_Percentage
Static,47.825780675672306,119,262,1.9211423073658738,2.604828959141293,47.599999999999994
Balanced,53.9992866764434,149,202,2.836558004512413,2.5992095965308533,59.599999999999994
Blossom,55.70497579872055,231,38,2.929302171602796,1.9095558645406723,92.4
