User_ID,x_coord_m,y_coord_m,distance_m,angle_rad,zone_assignment,path_loss_dB,path_loss_linear,shadowing_dB,rayleigh_fading,h_linear,h_dB
0,0.0,-0.0,0.0,5.347478687194203,0,61.096208345495036,7.769251234181258e-07,-10.785538134443891,1.1013908951574554,0.0033605315062888875,-49.47184018672756
1,-0.0,-0.0,0.0,3.67314333075982,0,65.54473048624298,2.789503761535411e-07,-4.189336147537231,1.044359876298589,0.0008934710006514922,-60.97838533582184
2,0.0,-0.0,0.0,6.116256435464309,0,64.89684421148954,3.2382888079283583e-07,-1.875056032615059,0.9548441334812714,0.000674284342708108,-63.42312894368327
3,0.0,0.0,0.0,0.3798585355471234,0,52.24304093152258,5.966173885849126e-06,9.751588962547453,0.7828567810925241,0.00062222982357502,-64.12097232134951
4,0.0,-0.0,0.0,5.580440126850115,0,66.20815769716764,2.394331230448866e-07,4.695544940362257,0.7566828522495687,0.00021563972054205812,-73.32533139864891
5,-0.0,0.0,0.0,2.756299372314775,0,62.74171898006665,5.318976872856547e-07,2.3336107603178182,0.8482469068148734,0.00047288528232642535,-66.50486462661364
6,-0.0,-0.0,0.0,4.046225309657343,0,62.656489533835554,5.424391748039849e-07,6.7007034565443595,1.0220428943123312,0.0003480242238925186,-69.16777467086132
7,0.0,0.0,0.0,0.04043184759048145,0,68.41387577040909,1.4408289398963805e-07,10.296288697130489,0.8938203886455824,0.00010369123177631404,-79.68475542203335
8,0.0,0.0,0.0,0.12417826161598466,0,65.20786320810596,3.014488831638915e-07,-7.164890800748405,1.335239275868212,0.0016726708106126595,-55.531788883745634
9,0.0,0.0,0.0,0.8322388731250865,0,50.865466602527064,8.193195914079879e-06,7.450250456351583,0.8586110441686746,0.0010423429119462814,-59.63978365289761
10,-0.0,0.0,0.0,3.0542528253799563,0,60.70152745418386,8.508387376553233e-07,-1.6619507813402874,0.6925605187124243,0.0007735330892402311,-62.230414818964704
11,-0.0,-0.0,0.0,3.792242405224473,0,62.86062518797476,5.17532325299071e-07,-10.347553168262117,0.9325363843784397,0.0022080666813847068,-53.11975541903912
12,0.0,0.0,0.0,0.9814119079213222,0,67.24883874195048,1.8841528249110806e-07,-10.912307009207028,1.0898670653362819,0.0016616782762618112,-55.589059582935874
13,-0.0,-0.0,0.0,4.188412181439835,0,61.52390951714179,7.040589899976197e-07,11.104641978274774,0.9069503569072319,0.00021191219076306255,-73.47678446537378
14,-0.0,-0.0,0.0,4.108915986392526,0,51.954329795730125,6.376274722649014e-06,12.648216646124379,0.9108496149566702,0.0005361907986745398,-65.41359775453112
