Method,Total_Throughput_Mbps,NOMA_Pairs,OMA_Users,Avg_NOMA_Rate_bitsHz,Avg_OMA_Rate_bitsHz,NOMA_Percentage
Static,48.89760619040207,120,260,1.9499350165409914,2.6733165985873875,48.0
Balanced,55.95385936126887,210,80,2.833431994570481,2.7038780234824715,84.0
Blossom,58.50486549343226,239,22,3.023187813082885,1.8612094255673506,95.6
