User1_ID,User2_ID,h1,h2,P1,P2,R1_bitsHz,R2_bitsHz,R_sum_bitsHz,Mode,Throughput_Mbps
190,336,7.811776405251661e-11,1.3324437107521038e-05,0.9999941372903455,5.8627096544778954e-06,0.10851411322076676,0.1085141610952147,0.21702827431598146,NOMA,0.011422540753472708
454,152,2.0185784607598504e-10,3.5324748631044265e-06,0.9999428598023479,5.714019765207192e-05,0.26524962612433445,0.2652524207858012,0.5305020469101356,NOMA,0.027921160363691345
29,404,2.0636220798629678e-10,2.638754529475026e-06,0.9999218017180032,7.819828199677794e-05,0.27063985792757095,0.270643840097582,0.541283698025153,NOMA,0.028488615685534364
342,24,2.084875360549214e-10,2.6085020010980924e-06,0.9999200802323741,7.991976762591238e-05,0.2731785553136933,0.2731827020978935,0.5463612574115868,NOMA,0.028755855653241413
292,422,2.5303352430940644e-10,6.372083069743654e-07,0.9996030605964098,0.0003969394035902833,0.3252801182517499,0.32530936754421114,0.6505894857959611,NOMA,0.034241551883997946
19,299,3.1214521240173e-10,4.539198482079581e-07,0.9993128066342238,0.0006871933657761123,0.39161795803000504,0.39169152372355603,0.7833094817535611,NOMA,0.04122681482913479
325,40,3.2648282990158354e-10,3.290338704343393e-07,0.9990087367023205,0.0009912632976794605,0.40713917682386513,0.40725397490589854,0.8143931517297637,NOMA,0.04286279745946125
484,328,3.3577958927952143e-10,2.0133933466676906e-07,0.9983350469862473,0.0016649530137526664,0.41687565137552246,0.4170780446881536,0.8339536960636761,NOMA,0.04389229979282506
115,93,3.4422405510711466e-10,1.841593667131391e-07,0.9981343232742853,0.001865676725714744,0.42584740943240995,0.4260842058081011,0.851931615240511,NOMA,0.04483850606529005
483,423,3.4920201419845467e-10,1.6283694443492214e-07,0.9978601001261628,0.0021398998738372164,0.43102871537045273,0.4313071173022759,0.8623358326727286,NOMA,0.045386096456459406
288,100,3.585776567146714e-10,1.5000373026637068e-07,0.9976152423990586,0.0023847576009414155,0.44086388145197886,0.44118868065158295,0.8820525621035618,NOMA,0.0464238190580822
113,349,3.6919523123222234e-10,1.3922700977628604e-07,0.9973552631232895,0.002644736876710499,0.45192017758465974,0.4522989659811241,0.9042191435657838,NOMA,0.04759048124030441
381,416,3.751972872921493e-10,1.1568880772795739e-07,0.9967673243117635,0.0032326756882364387,0.4578898323527397,0.45836562006968706,0.9162554524224268,NOMA,0.04822397118012772
