u,v
343,197
171,799
456,259
678,951
701,722
1005,962
818,451
9,437
969,184
813,522
150,519
645,696
30,112
872,323
12,619
759,832
36,70
431,812
141,236
157,902
332,766
252,50
15,57
173,1037
548,594
407,819
827,926
1013,96
683,139
1033,566
901,941
900,196
1036,971
119,855
313,105
520,134
221,359
336,924
172,223
498,34
240,939
1042,970
636,873
234,1060
471,709
124,718
748,362
383,693
526,67
271,1016
266,481
856,1046
91,670
214,643
60,315
149,545
569,1081
267,859
300,104
17,136
635,949
703,1015
14,892
308,280
540,1064
1002,220
692,472
865,222
355,379
18,191
954,1054
358,299
319,344
88,964
126,821
131,597
411,282
979,458
916,309
273,614
702,581
713,65
983,857
751,1043
955,675
138,684
1087,980
202,796
871,462
356,438
491,396
228,660
166,583
201,624
685,27
423,984
408,767
586,76
814,494
249,851
37,587
874,726
1074,661
93,260
372,211
599,1009
547,836
681,699
840,830
577,542
768,421
369,237
803,630
912,140
455,777
289,1070
761,493
492,736
880,426
802,864
120,148
444,588
384,623
782,800
987,348
152,79
847,705
905,665
461,646
429,406
1041,603
537,303
990,615
26,212
820,760
925,463
452,81
755,434
416,86
440,71
535,51
1069,959
69,806
153,998
791,904
160,952
28,182
644,11
116,367
72,638
361,227
893,447
688,287
927,394
158,285
773,1
717,946
352,400
1038,667
22,719
488,762
432,756
945,454
253,706
326,708
427,918
1020,763
861,801
658,730
866,811
301,977
256,118
637,98
605,270
843,842
640,58
487,99
199,695
441,682
641,771
127,534
953,468
1014,831
724,20
322,243
281,570
747,478
1071,385
464,869
795,516
405,163
480,1022
39,1085
284,495
868,164
188,146
219,325
269,539
1089,965
639,753
200,92
55,329
218,576
373,374
261,337
664,78
602,302
737,23
135,41
975,919
174,995
1055,930
387,593
1025,648
473,632
744,504
510,380
556,1094
486,833
875,3
628,620
466,712
937,77
1023,64
826,103
161,920
107,340
529,716
87,917
986,147
113,52
378,633
205,948
884,1010
109,327
543,1001
177,991
789,338
1099,489
725,950
1012,652
879,59
511,557
848,942
350,553
805,24
775,936
746,53
794,694
561,651
1052,544
518,209
881,497
727,634
216,657
1028,788
514,457
1080,850
676,530
536,425
750,817
809,1017
198,482
823,828
21,129
395,366
1092,312
305,1073
297,439
257,156
123,66
162,1034
562,1057
579,448
279,913
414,1082
1030,231
132,392
663,625
144,450
364,181
674,442
787,517
45,398
183,404
956,867
591,225
742,1007
555,428
933,672
549,521
1066,862
5,877
208,931
1004,155
981,721
757,860
275,49
333,898
248,1003
589,778
63,894
611,929
720,1027
1040,293
715,321
541,316
258,179
554,580
985,436
686,728
988,25
1065,509
56,689
262,897
470,1086
403,409
668,758
1061,907
206,159
328,502
585,584
410,371
838,277
559,331
1068,484
797,572
793,376
994,1048
142,1039
74,700
298,612
532,999
276,477
213,194
496,1093
102,617
997,13
697,1090
215,858
690,19
974,961
278,815
32,600
360,264
388,1035
310,574
419,307
229,417
167,923
523,1077
982,783
111,824
527,251
769,346
968,910
505,1051
849,922
1083,154
770,882
1000,230
459,506
582,290
61,272
89,854
886,891
391,654
401,465
966,1056
101,246
943,853
578,711
1067,306
90,122
610,870
402,649
38,110
1075,399
512,976
1031,29
6,44
839,73
908,609
1063,1059
662,292
1050,1032
568,353
288,239
606,592
754,1053
596,469
334,342
382,906
485,733
714,1078
883,852
749,1096
781,250
627,16
698,844
368,203
349,503
558,656
834,960
137,453
33,779
915,115
204,1058
642,490
233,590
808,35
476,295
1072,914
190,254
659,816
449,42
739,80
422,804
710,921
351,291
121,598
430,515
978,117
934,595
2,75
996,94
