u,v
780,213
25,976
434,270
57,276
101,333
724,1040
601,957
205,670
748,460
334,881
776,853
114,820
448,214
323,835
865,706
287,917
800,852
83,96
5,605
354,731
177,760
876,765
546,1088
566,303
895,994
644,253
1009,953
657,1087
912,530
98,747
102,1069
72,942
592,454
1017,248
1045,631
109,733
16,378
826,740
847,796
24,458
763,803
863,528
199,975
1085,548
808,667
751,282
685,1090
184,658
846,355
173,742
704,368
152,1061
610,821
564,885
941,650
849,838
443,174
963,637
217,1053
674,229
281,523
554,977
956,729
373,1029
971,1086
501,897
741,277
639,90
13,642
1047,839
655,165
292,391
777,363
419,611
164,352
20,8
861,370
193,807
1091,1051
518,330
28,714
269,225
187,36
840,519
81,316
916,584
14,111
896,1059
1054,1043
407,690
1023,462
453,604
251,216
618,495
735,719
1080,878
376,817
683,332
45,384
822,116
762,1068
689,40
725,887
1083,314
638,42
819,268
510,180
29,910
485,671
1076,718
301,490
713,129
754,60
361,153
752,1041
786,1064
909,415
993,699
700,406
707,673
837,160
851,950
221,278
889,1044
43,988
630,705
715,732
356,266
606,157
533,206
854,578
926,402
126,557
625,736
516,919
463,17
1007,362
979,431
285,264
1075,91
408,1081
249,128
421,195
413,158
436,321
981,255
414,545
882,529
743,432
954,59
210,11
286,983
400,890
870,996
966,143
447,240
970,701
711,246
478,720
511,987
526,148
694,1073
69,661
597,105
588,340
575,322
984,318
178,620
388,115
681,844
569,931
367,401
805,442
257,319
1065,1001
77,182
532,834
326,271
22,660
377,877
1079,934
138,565
799,782
451,161
728,923
640,146
659,211
1004,746
884,1052
0,586
416,679
1084,163
258,1026
828,198
1063,813
44,1055
381,972
387,894
1014,74
995,1062
226,280
1025,772
1082,273
766,824
353,745
343,404
929,693
1039,958
63,691
369,139
874,484
54,34
583,836
622,236
360,676
254,809
666,633
466,899
698,522
310,289
27,825
243,49
150,702
324,843
496,50
1005,794
795,781
191,171
862,901
230,815
156,212
937,461
908,424
159,567
738,617
930,149
10,204
945,753
189,759
999,688
464,542
284,961
459,293
382,470
498,600
582,260
465,756
585,891
89,1070
553,1099
93,903
51,364
1096,867
562,687
12,755
1012,6
418,549
423,279
79,992
241,508
818,76
1049,787
234,539
646,85
1000,288
325,47
985,933
811,309
922,1024
880,179
645,112
829,623
560,471
70,914
317,1037
46,52
855,203
793,426
768,871
64,879
563,675
474,1003
1019,938
238,816
866,200
410,712
951,1072
921,641
1013,609
635,379
202,898
396,1078
850,858
1034,804
812,757
577,473
791,245
497,873
1095,242
998,267
218,358
1066,256
444,41
371,488
928,502
918,97
127,468
550,830
512,717
489,888
551,21
186,864
32,974
944,192
823,978
328,110
525,629
982,65
558,785
1021,389
893,886
771,87
1056,677
135,649
1038,764
572,827
439,911
134,608
469,624
162,524
595,411
648,616
726,305
697,122
665,185
1027,810
390,297
722,486
170,561
142,841
1074,131
669,892
491,151
626,538
168,67
1058,636
868,672
337,374
904,503
440,136
905,428
1098,219
520,541
144,1092
420,147
449,1033
509,505
573,750
351,678
581,960
481,739
55,394
385,295
555,26
155,492
61,634
668,190
4,833
652,686
517,75
1006,1028
730,615
654,1002
619,784
71,306
1060,183
18,181
30,537
294,197
84,593
398,476
531,386
802,513
166,962
989,590
130,902
392,283
534,860
445,936
452,37
1093,108
435,107
932,176
409,758
643,1031
121,915
949,527
327,1042
235,798
261,907
621,955
15,215
656,263
417,814
662,775
627,349
252,412
664,935
920,262
749,695
427,430
169,535
875,304
395,104
117,366
347,653
228,247
31,574
472,797
680,372
598,346
208,943
315,1
3,568
23,425
696,298
274,1071
95,172
335,913
940,437
375,1008
1030,571
348,716
602,132
231,393
265,973
123,883
403,789
1048,39
612,73
842,312
450,770
