User1_ID,User2_ID,h1,h2,P1,P2,R1_bitsHz,R2_bitsHz,R_sum_bitsHz,Mode,Throughput_Mbps
146,371,1.8033573480822605e-10,2.716396569617921e-05,0.9999933612588227,6.638741177298824e-06,0.23919555107700918,0.23919581496242315,0.47839136603943233,NOMA,0.026503676788888215
262,57,2.294036498775947e-10,1.2546952161649596e-05,0.9999817167187162,1.828328128382506e-05,0.29795262227746877,0.2979537513626776,0.5959063736401464,NOMA,0.03301420352576988
46,395,4.2150770682760287e-10,9.603996714008241e-06,0.9999561131453153,4.388685468471134e-05,0.5073952330730821,0.5074031462443421,1.0147983793174242,NOMA,0.05622151685969109
20,172,4.634986360884229e-10,4.414781464093585e-06,0.9998950231210271,0.00010497687897295518,0.5493512062378341,0.5493734354389774,1.0987246416768115,NOMA,0.060871171284033875
131,143,4.666779085628549e-10,2.264985144996154e-06,0.9997940022807617,0.00020599771923840335,0.5524133949192125,0.5524575154341403,1.1048709103533527,NOMA,0.061211684784119265
86,52,5.11572570454445e-10,2.210146192085816e-06,0.9997685880742675,0.00023141192573242474,0.5958794623873043,0.5959372502408105,1.1918167126281147,NOMA,0.06602862673839971
163,278,5.171619977092338e-10,1.1802654629093157e-06,0.9995620176086603,0.0004379823913397737,0.6010483954294262,0.6011597339456096,1.2022081293750357,NOMA,0.0666043284972319
437,428,5.494648713875248e-10,1.1351288524817985e-06,0.9995161791301359,0.00048382086986401983,0.631386568518996,0.6315225020614463,1.2629090705804424,NOMA,0.06996726152800234
377,19,5.904773876188397e-10,1.0154690004833e-06,0.9994188554897827,0.0005811445102172006,0.6689648809507411,0.6691485591502472,1.3381134401009884,NOMA,0.07413370859285255
102,74,5.972121389528161e-10,9.868919945206432e-07,0.9993952216035119,0.0006047783964880186,0.6750349617756903,0.6752296651246975,1.3502646269003877,NOMA,0.0748069045374176
23,148,6.570599263317999e-10,8.584884210228106e-07,0.9992352169208806,0.0007647830791193964,0.7279009933267026,0.7281882096093633,1.4560892029360657,NOMA,0.0806697619355161
69,121,6.653701616980859e-10,8.532583330798355e-07,0.999220808417459,0.0007791915825410517,0.7350951080398689,0.7353936814877788,1.4704887895276477,NOMA,0.08146752296552065
56,321,8.068641734811895e-10,8.307098021643545e-07,0.9990296476232583,0.0009703523767416224,0.8523589538621553,0.852862781412084,1.7052217352742394,NOMA,0.0944721182977418
344,82,8.328564539404213e-10,7.28186673418439e-07,0.9988575663342157,0.0011424336657842615,0.8727217534587864,0.873344666168434,1.7460664196272204,NOMA,0.09673498169679892
171,411,8.610606102265604e-10,7.272665557929243e-07,0.9988174317374747,0.0011825682625252975,0.8946567457583713,0.8953354673068348,1.7899922130652062,NOMA,0.09916854366012222
341,50,9.678890012159929e-10,5.778989176088555e-07,0.998327959056965,0.0016720409430350518,0.9743159493942585,0.9754619179334594,1.9497778673277177,NOMA,0.1080209344779899
168,466,9.753992595154378e-10,5.405512774838499e-07,0.9981987973974222,0.001801202602577765,0.9796118393419037,0.9808605911616454,1.960472430503549,NOMA,0.1086134310528282
30,110,1.0379919479201611e-09,4.900159195453127e-07,0.9978861955406002,0.0021138044593999035,1.0239863845196338,1.0255943022738145,2.0495806867934485,NOMA,0.11355017655365365
352,351,1.0666228884163299e-09,4.629875962829796e-07,0.997701512357067,0.0022984876429329015,1.0437425430158775,1.0455626793482864,2.089305222364164,NOMA,0.11575098184843013
151,454,1.0905234269311066e-09,4.4935039684378277e-07,0.9975789867708384,0.002421013229161562,1.060060267463873,1.0620410453723155,2.1221013128361887,NOMA,0.11756793976931794
245,415,1.1486619049296995e-09,4.27034097267104e-07,0.9973173560113657,0.0026826439886342883,1.098999731855903,1.101367999606559,2.200367731462462,NOMA,0.12190402944390372
277,364,1.1829718644979705e-09,4.2062810596630973e-07,0.9971954936068026,0.0028045063931973627,1.1215150980034074,1.1240992791720974,2.245614377175505,NOMA,0.12441076881858752
494,475,1.2228619025821122e-09,3.905693837682682e-07,0.9968788001393742,0.0031211998606257615,1.146922330984542,1.1499389932690396,2.2968613242535816,NOMA,0.12724993486169425
75,300,1.3134833983185694e-09,3.8210484548156874e-07,0.9965742811457247,0.003425718854275331,1.2035897208253112,1.2072580345205535,2.4108477553458645,NOMA,0.13356497259533873
253,189,1.3296354418781363e-09,2.685427219625328e-07,0.9950730950933012,0.0049269049066986955,1.2106839546331574,1.2160416035083017,2.426725558141459,NOMA,0.13444462925991463
25,122,1.3324571153541884e-09,2.328592229088161e-07,0.9943103994334186,0.005689600566581482,1.2109545203999337,1.2171537497043223,2.4281082701042562,NOMA,0.1345212338007898
99,369,1.3379264130510301e-09,2.255065991951051e-07,0.9941020114571241,0.005897988542875929,1.2138897897661425,1.2203518356269951,2.4342416253931374,NOMA,0.13486103187773613
93,226,1.3976561364386017e-09,2.1838058576483976e-07,0.9936406073488093,0.0063593926511907005,1.2488583931222565,1.2562666792731314,2.505125072395388,NOMA,0.13878809265348407
32,331,1.4040984135880244e-09,2.181181206611011e-07,0.9936038437498197,0.006396156250180311,1.2525971865969208,1.260096482263136,2.5126936688600567,NOMA,0.13920740547701146
345,433,1.4084253663665266e-09,2.1426514388767918e-07,0.9934696431684333,0.0065303568315666785,1.2548816511162908,1.2625701717651319,2.517451822881423,NOMA,0.13947101511808435
358,182,1.4436223927355669e-09,2.1425198413789625e-07,0.9933071312116385,0.006692868788361492,1.2751489921628671,1.2833057062734414,2.5584546984363086,NOMA,0.14174264257264868
130,65,1.4704893312972004e-09,2.1100962209318677e-07,0.9930794024841247,0.0069205975158753465,1.290189204721678,1.2988416707360106,2.5890308754576887,NOMA,0.14343661359876392
3,405,1.5270973568842167e-09,1.9739172945702319e-07,0.9923230124501344,0.00767698754986549,1.3206661737986787,1.3307728376926875,2.651439011491366,NOMA,0.1468941280604635
127,446,1.5418996350244055e-09,1.923811285417956e-07,0.9920489090464362,0.007951090953563769,1.3283274799538296,1.3389320005433947,2.6672594804972243,NOMA,0.14777060833779634
51,59,1.6163049886705353e-09,1.8920491040296703e-07,0.9915297416728361,0.0084702583271638,1.3679134634213301,1.3799616173623834,2.7478750807837136,NOMA,0.15223684658081515
199,73,1.6396595012949347e-09,1.834946611080754e-07,0.9911434060637812,0.00885659393621879,1.379551979703541,1.3923931020465372,2.7719450817500784,NOMA,0.15357036463989351
435,260,1.6412296713758564e-09,1.8270222855787567e-07,0.9910968922513388,0.008903107748661227,1.380281566159766,1.3932061935768745,2.7734877597366405,NOMA,0.1536558315643568
412,400,1.7087745010216132e-09,1.71364867487524e-07,0.9901268934923395,0.0098731065076605,1.4135037506995496,1.4286267401624135,2.842130490861963,NOMA,0.15745875295634143
243,55,1.726182397474899e-09,1.7119308367590868e-07,0.9900174084896802,0.009982591510319855,1.422233658920275,1.437734097655438,2.8599677565757133,NOMA,0.15844696712330822
9,481,1.785161267127255e-09,1.6943246493832626e-07,0.9895737296054721,0.010426270394527846,1.45115543375268,1.4680873163762858,2.9192427501289657,NOMA,0.1617309002841532
241,359,1.796961602247341e-09,1.6451964548325848e-07,0.9891955371520806,0.010804462847919308,1.4561186713564565,1.473811011238572,2.9299296825950285,NOMA,0.16232297410498772
