Method,Total_Throughput_Mbps,NOMA_Pairs,OMA_Users,Avg_NOMA_Rate_bitsHz,Avg_OMA_Rate_bitsHz,NOMA_Percentage
Static,87.17911696053652,126,248,4.206508275740353,4.4364090500756,50.4
Balanced,102.54604720783688,236,28,5.231525694136421,4.248848547401838,94.39999999999999
Blossom,106.18866781003766,247,6,5.361906223561692,3.1493017628730846,98.8
