Method,Total_Throughput_Mbps,NOMA_Pairs,OMA_Users,Avg_NOMA_Rate_bitsHz,Avg_OMA_Rate_bitsHz,NOMA_Percentage
Static,83.13072313609146,276,548,3.8811340883634315,4.295242308063253,50.18181818181818
Balanced,93.46619124157877,413,274,5.165002622708186,3.9321809706925226,75.09090909090908
Blossom,98.65591338702697,518,64,5.165999254209073,3.045304154409161,94.18181818181817
