User1_ID,User2_ID,h1,h2,P1,P2,R1_bitsHz,R2_bitsHz,R_sum_bitsHz,Mode,U1_Distance_2D_m,U1_Height_m,U1_Distance_3D_m,U1_LOS_Status,U1_Channel_Type,U1_PathLoss_NoShadow_dB,U1_PathLoss_dB,U1_PathLoss_Linear,U1_Shadowing_dB,U1_Fading,U1_LOS_Probability,U2_Distance_2D_m,U2_Height_m,U2_Distance_3D_m,U2_LOS_Status,U2_Channel_Type,U2_PathLoss_NoShadow_dB,U2_PathLoss_dB,U2_PathLoss_Linear,U2_Shadowing_dB,U2_Fading,U2_LOS_Probability,SIC_Margin_dB,SIC_Satisfied,Throughput_Mbps
1089,839,5.861514846726862e-10,1.0982170434129917e-08,0.9493313300937811,0.05066866990621892,0.6233071657848869,0.6382610565632589,1.2615682223481457,NOMA,4483.45363552912,3.247064036704514,4483.506405946389,False,NLOS,166.07834587821964,172.09789574713932,2.466978770376616e-17,6.0195498689196905,0.235996008003069,0.00401476215954572,4750.398403364891,17.07699006097357,4750.405010604696,False,NLOS,158.76180019654655,163.22926313397303,1.3299030448375003e-16,4.467462937426479,1.5927636512273278,0.003789155873393256,8.25970270040185,True,0.04335285987450673
185,432,1.9052010736179208e-08,1.8858659842869736e-09,0.9099304093980268,0.09006959060197317,1.302669430048825,1.4414870954266104,2.7441565254754354,NOMA,2597.299821317847,15.623019327536468,2597.31674802752,False,NLOS,149.38718300576954,157.11165455177832,1.1515470826726429e-15,7.72447154600876,1.3662291434388876,0.006930890073686818,3222.787649590489,11.463609216627493,3222.8160773194036,False,NLOS,155.54503953709477,167.57448043260663,2.7893052630796287e-16,12.029440895511872,0.45106055377530024,0.00558522681514161,8.050181426541968,True,0.09430091152836548
260,444,4.069184053894339e-08,5.310559190380623e-09,0.8845590834037418,0.11544091659625817,1.9679714862451105,2.5103298727768664,4.478301359021977,NOMA,3871.835630809125,13.083740329095344,3871.8539679651713,False,NLOS,157.686989996545,154.29029831787705,1.7033386474736122e-16,-3.3966916786679775,2.1087361822171773,0.004648957683776346,3271.4251816680526,3.2938987562824638,3271.4971915138567,False,NLOS,160.70131687778454,153.36547670011237,8.508799932800085e-17,-7.335840177672167,0.2474081995136095,0.0055021891073241845,8.00549589782243,True,0.15389351749216415
975,835,3.0034245971960855e-08,3.5838596088734087e-09,0.8933949564690352,0.10660504353096484,1.7297452091421397,2.071008214095953,3.800753423238093,NOMA,2027.1051887254698,13.287192807929069,2027.1390273017885,False,NLOS,146.582053747642,146.07901549755238,2.1968207662329836e-15,-0.5030382500896073,0.6047383464281504,0.008880265912194332,4589.0152592909535,20.136973415318067,4589.01783598983,False,NLOS,156.33918449807086,171.53853158099517,2.323172992134605e-16,15.1993470829243,1.3529369803560076,0.003922410157893756,8.052246358799298,True,0.1306100832727867
256,74,2.5881333175582683e-08,2.9638348903255507e-09,0.8972502124600732,0.10274978753992675,1.603362981893724,1.8715682823224764,3.4749312642162007,NOMA,2653.659825350392,15.864533206658773,2653.6755501440275,False,NLOS,149.60661388786357,158.82152831386216,1.0948096360069723e-15,9.21491442599859,2.2597638624886742,0.006783588814738845,4928.43489093687,14.205745428054618,4928.446711707014,False,NLOS,161.10902297639532,165.84162708313045,7.746360465227444e-17,4.732604106735131,0.5806779840457539,0.003652275093195947,8.025020214829224,True,0.11941344550571137
895,973,1.3906392127297168e-07,1.5887018305894806e-08,0.8974706552340157,0.10252934476598431,2.6833913631306663,3.931506512638635,6.6148978757693015,NOMA,2731.6456049266585,11.853050395184546,2731.677241769064,False,NLOS,152.50519099490518,139.6796308862332,5.61669576594293e-16,-12.82556010867195,1.3402814770842584,0.00658943457655565,4587.856976358614,13.509350797830567,4587.8713659540945,False,NLOS,160.31151738287585,153.67358663494957,9.307826122153975e-17,-6.637930747926284,0.7668699633289359,0.003923400422911129,9.127333401193097,True,0.22731607820513064
1032,570,8.382837787371018e-08,1.1373214881881622e-08,0.8805354558396966,0.11946454416030347,2.3911590462295287,3.4613345828398745,5.852493629069404,NOMA,3988.852885560048,17.076270502348635,3988.8607556707057,False,NLOS,155.7967726633659,145.29055781608338,2.632223327612055e-16,-10.506214847282537,1.541412772048896,0.0045125758122615215,4210.5488210938,7.205725176613632,4210.58642127565,False,NLOS,162.6372340251754,162.625050372176,5.448495511792838e-17,-0.0121836529993876,1.5386355525186415,0.0042749771502053335,8.26172375988662,True,0.2011166195556496
955,368,7.20504516212696e-08,1.0202957418144111e-08,0.8759570267384892,0.12404297326151087,2.305911262622481,3.31286150436368,5.618772766986162,NOMA,4359.991982067692,8.413348502936545,4360.023532127143,False,NLOS,162.5045753894282,147.751783208575,5.617491980007648e-17,-14.752792180853183,1.7588381123555,0.004128447959086301,3545.1577260866893,10.539867001667954,3545.1872162522636,False,NLOS,157.71733962911418,162.56682005374182,1.691476767404293e-16,4.84948042462763,1.3710935153332784,0.005077348143793094,8.028488238703718,True,0.19308497481052103
1096,981,4.049267131351285e-08,5.221720044375251e-09,0.8857751379976705,0.11422486200232947,1.9624458837001122,2.4919222909132976,4.45436817461341,NOMA,1890.3353831068387,6.433413007718114,1890.426560006556,False,NLOS,149.50927047252745,148.7429556450708,1.119625942334805e-15,-0.7663148274566461,1.1079603288316449,0.009522119810607675,4352.140393845667,1.5570939352350415,4352.203531268716,False,NLOS,166.587859944368,163.67471544801313,2.193885741380659e-17,-2.9131444963548727,0.7971670813129955,0.004135895989351281,8.04556558130467,True,0.15307107129255704
579,364,2.4598593298805798e-08,2.7674270650014346e-09,0.8988736020725366,0.10112639792746331,1.5575936538250759,1.8022209885606253,3.359814642385701,NOMA,4776.199196330121,21.19577942781037,4776.200711351927,False,NLOS,156.38244002523896,158.23890151257504,2.3001491463910823e-16,1.8564614873360712,2.0084237473284796,0.003768687043209336,4818.043361583481,4.945385748680037,4818.08509904624,False,NLOS,166.28086358556678,174.6941349661226,2.3545810337888414e-17,8.41327138055581,1.5023908579983396,0.0037359564140751495,8.020863221181871,True,0.11545754784830588
