User_ID,x_coord_m,y_coord_m,distance_m,angle_rad,height_m,distance_3D_m,LOS_status,LOS_probability,path_loss_dB_no_shadow,path_loss_dB,path_loss_linear,shadowing_dB,rayleigh_fading,h_linear,h_dB
0,-1781.5370143588834,-1023.8240303387723,2054.7724396219382,3.6631907742424574,10.330249800661578,2054.824805232992,False,0.008760094136422132,148.58645018113435,160.63005945002024,1.3846977352334955e-15,12.043609268885875,0.0441928967827331,4.1100726388419154e-10,-187.70190254161827
1,-692.0327249492576,2500.9119159355005,2594.893004281462,1.8407536164670841,6.360295336607136,2594.9599500298286,False,0.006936702195543622,154.92940985605654,149.19383920281743,3.2140972587100423e-16,-5.735570653239099,1.520054918254778,5.2743302413723484e-08,-145.5564889438936
2,-1184.0927159852688,3452.812864988136,3650.2044108072837,1.9011639529914823,9.850611382676957,3650.2358478120873,False,0.004931230685795785,158.6264958397021,155.60563774145064,1.371988325925345e-16,-3.020858098251456,0.52936497209814,8.779571372368378e-09,-161.12954445228144
3,-2479.9701500746387,532.9179564444672,2536.5830350221486,2.929922726282587,20.43122605142868,2536.5871495490883,False,0.007100359032378215,146.10070696999406,143.11034696637603,2.454309356312813e-15,-2.9903600036180484,1.414412196329285,9.886865913144795e-08,-140.0987392627832
4,-3080.552954750872,-1794.1165485517809,3564.9208542142533,3.6689710539405676,18.388365343862453,3564.9269853006117,False,0.005049205849911104,153.1024806652943,144.466403834097,4.894991403852428e-16,-8.636076831197299,2.913848805356314,1.7423958238980027e-07,-135.17701371959728
5,2705.670828634266,-40.01672369644568,2705.966735031647,6.268396440082369,12.89763486156928,2705.9937986513896,False,0.006651966473560321,151.7181111962944,154.95946500993648,6.732694063211697e-16,3.2413538136420983,1.2979614953539222,2.318934909862323e-08,-152.693854272204
6,1715.1450954138197,-2136.0405196312286,2739.414499455774,5.388929349949298,11.027909736511528,2739.4501307990367,False,0.006570747144536167,153.04850067435217,156.93180650123136,4.956212658357815e-16,3.8833058268791834,0.7496754070204956,1.0672912256821803e-08,-159.4335274313133
7,-804.1862967176248,3706.435428431698,3792.674410618722,1.7844549409136135,5.276221355584293,3792.7256969633445,False,0.004745991364195049,162.02105012062603,165.4074882088051,6.279065131571841e-17,3.3864380881790566,1.3499750871690803,7.2435480196308026e-09,-162.7997740912361
8,-877.8486140385332,-4453.299513262854,4538.997107731679,4.517761106388265,5.469671097266223,4539.039124940828,False,0.003965633723215861,164.9537084655807,178.39770637899548,3.196164720656494e-17,13.4439979134148,0.8364608744841633,1.0059127494879673e-09,-179.9401632017894
9,-905.7357353756561,-1200.2522668931474,1503.6498018217605,4.065936895506844,9.10732424197824,1503.7337874974312,False,0.011970872501180837,144.02080738155777,140.70722647715462,3.962043704508962e-15,-3.313580904403156,0.2844970576076967,2.6225057871432112e-08,-151.62533969589342
10,-3155.7620308384176,-1662.1130958492772,3566.7147262817475,3.62636476299749,11.71280808041736,3566.7394757879624,False,0.005046660969929816,157.11644189991782,147.71289108250673,1.9424766636123888e-16,-9.403550817411078,0.20494067875060065,8.433029432942467e-09,-161.47929775449
11,144.82145385620524,-3936.9482207113815,3939.6109637957325,4.749157608504291,20.255465719527447,3939.613820752623,False,0.004568979907205223,153.67841018910465,137.71212572434646,4.2870542679470013e-16,-15.96628446475818,0.3553307725955259,4.62409272222184e-08,-146.6992814828694
12,268.93278202613294,3775.060041483881,3784.6272152031825,1.499677136400981,15.951019268999687,3784.63803316894,False,0.004756083263210097,155.57994090145954,154.68641384925246,2.766979298048653e-16,-0.8935270522070675,1.237847605763497,2.28216209890157e-08,-152.83268963858126
13,4061.9925189976366,1477.0109583432516,4322.192105339467,0.34875421103873006,4.498344153502215,4322.240728297218,False,0.0041645534398537035,164.70586021415113,164.0736074236018,3.3838724031638116e-17,-0.6322527905493237,2.3933504953503455,1.4973589836256763e-08,-156.4929012876744
14,2204.6365249964147,1793.0438140719496,2841.729812373082,0.6828017780984972,4.39546969283281,2841.8045100251234,False,0.006334170096547108,157.6505403744335,172.1992412367121,1.7176946483099915e-16,14.548700862278636,0.4045149645332845,9.93053235190192e-10,-180.05180713840667
15,-3249.053899499314,-3765.9666472527088,4973.817048311237,4.000544446435867,4.928639659390918,4973.8575461685095,False,0.003618950963649045,166.83095292390325,164.10906026415586,2.0744582922874315e-17,-2.721892659747398,0.03429340082020267,2.1367688423034655e-10,-193.36429433173834
16,-3517.691269445143,2354.91516860784,4233.17579583814,2.55166623984014,15.13265981207625,4233.187295983047,False,0.004252126762811097,157.97193027901196,162.72695985732014,1.5951699953431073e-16,4.755029578308174,0.7428160805623397,5.426668642478583e-09,-165.3077334749834
17,-3319.361667402589,-866.4258091276326,3430.5765640405357,3.396917588401664,2.0286206294585196,3430.6534721557573,False,0.005246931430907808,162.26671590494158,170.08983532487824,5.933738588422108e-17,7.8231194199366705,1.055471751667876,3.3033519568871562e-09,-169.61827401642023
18,4629.938236076442,214.49335357161223,4634.90404092782,0.04629437562532791,3.9898501640813535,4634.951660482034,False,0.0038835755478546525,166.19649756004392,169.89915724512045,2.4007682779516064e-17,3.7026596850765285,0.6677459939512337,2.136256656396936e-09,-173.40286643305032
19,172.35397436698452,-1531.4410689374874,1541.1092239385532,4.824461051386772,13.191475260913025,1541.1544638241178,False,0.011684786057178626,141.9875039962294,136.94362377730894,6.327754194438704e-15,-5.04388021892047,1.7411727921115614,2.4754871899669745e-07,-132.1267512463351
20,-258.3609361099061,-2812.832524369445,2824.6729338913156,4.620795176073092,7.581700613240724,2824.72663820974,False,0.006372419186671253,155.63649922815802,145.01335343702803,2.7311784508981544e-16,-10.623145791129986,1.0233724182425425,5.746005480884341e-08,-144.81252811910713
