u,v
369,104
1098,12
873,806
587,839
241,1096
868,193
512,427
532,265
352,972
753,898
106,660
712,317
639,1007
822,207
851,252
368,540
736,292
811,453
210,838
393,313
329,548
953,128
444,269
978,975
46,763
68,772
845,720
49,777
582,346
710,779
958,108
655,336
668,1038
1039,69
507,437
896,160
818,497
606,1081
1060,259
97,282
733,529
674,321
872,553
775,373
848,205
682,819
987,143
891,175
717,813
558,649
675,807
268,959
906,331
177,957
438,333
66,690
895,172
441,905
732,294
324,994
735,705
278,618
831,520
1075,880
1023,223
471,622
1034,70
286,594
454,825
298,797
809,217
1090,7
956,254
40,785
61,1015
767,256
1092,25
843,907
480,428
96,740
630,125
435,932
650,341
798,365
640,547
830,546
501,407
209,635
833,551
320,75
65,1017
1074,30
808,396
755,250
113,1012
105,681
1079,72
644,1047
289,581
530,1071
585,360
539,491
879,312
624,589
678,569
921,156
535,377
17,918
941,390
1088,1083
731,297
601,834
448,475
231,626
979,776
248,795
472,460
559,855
119,165
271,946
481,517
216,628
1021,229
426,465
704,302
565,861
827,629
273,344
580,361
609,824
555,1091
1026,200
363,939
118,595
805,488
85,665
367,500
420,911
400,951
52,762
283,942
933,111
9,1
99,721
966,306
405,913
910,402
973,22
849,782
1018,173
288,584
1002,94
1036,245
1025,77
725,450
899,764
430,789
1058,101
194,670
684,314
616,417
83,201
573,455
893,155
794,469
518,1050
870,171
1035,266
470,466
71,757
722,309
482,449
874,168
408,109
178,986
468,914
801,220
467,442
161,924
92,663
8,1069
190,969
643,277
14,743
633,730
316,556
1095,19
774,458
842,751
667,332
1080,641
814,122
82,752
632,1048
243,669
237,793
612,1057
590,642
835,339
648,345
412,492
709,617
889,166
1009,91
1077,73
221,1073
149,657
170,698
146,1006
769,240
672,954
183,637
303,562
604,828
439,599
86,749
384,919
817,410
738,1020
485,1087
965,403
967,107
186,683
495,386
560,372
917,353
334,545
325,716
462,474
147,700
802,232
26,1066
326,550
355,1022
929,592
432,689
804,350
381,494
998,301
1072,110
169,989
524,399
1078,28
1086,41
741,931
926,150
571,340
1024,218
418,912
203,847
768,387
1011,392
728,323
138,894
115,990
950,116
867,1003
692,257
614,832
258,401
578,253
605,356
445,892
1059,59
63,836
157,992
572,853
67,708
519,859
791,235
1052,38
133,6
719,713
1094,538
247,275
1097,18
436,928
397,964
537,858
613,359
429,916
1089,50
299,568
34,5
291,564
1053,222
487,875
771,783
799,198
226,184
901,358
174,676
188,202
852,191
567,854
786,236
39,734
647,343
970,322
653,246
759,404
1040,36
180,984
718,3
974,81
615,646
348,531
78,707
1065,47
499,44
415,877
588,796
815,182
631,349
318,554
623,744
943,862
888,508
1046,60
536,376
421,664
552,311
810,881
526,695
934,4
204,909
511,413
745,729
290,841
1019,84
687,666
330,505
1054,32
977,370
602,829
961,362
212,634
176,995
11,760
509,866
1061,58
1084,23
24,43
724,534
935,80
391,483
114,1010
1085,15
502,597
134,714
263,837
76,754
1070,142
158,900
662,335
922,411
586,434
940,145
187,981
1045,737
102,1004
1062,152
510,579
850,260
723,305
863,199
284,388
523,395
140,999
234,625
374,937
1014,242
206,715
903,127
996,593
1051,389
74,654
549,380
938,103
414,857
443,902
952,770
406,498
378,516
398,503
270,821
422,479
780,425
506,274
364,608
949,871
126,62
293,575
576,366
375,1041
1027,1056
1032,88
976,98
765,790
489,883
651,1043
1042,308
544,440
124,659
151,338
135,897
276,784
557,379
694,1031
711,37
1063,196
920,287
688,328
451,739
944,123
1093,224
541,385
823,638
447,476
778,239
409,620
93,383
685,542
144,703
1028,121
382,504
856,680
980,319
139,1033
600,583
611,354
281,955
1082,214
285,598
1067,463
87,699
307,464
697,1055
56,702
820,213
758,238
55,904
1013,208
424,478
878,419
179,656
726,300
574,840
945,603
948,120
31,686
185,982
885,189
742,280
844,148
264,619
915,864
13,0
645,347
748,696
923,310
812,195
983,95
679,596
423,908
54,773
295,570
255,543
527,876
1000,251
652,337
117,1005
988,304
846,211
627,42
100,525
621,129
162,985
16,800
761,261
788,233
473,459
563,371
27,787
514,515
521,136
930,164
1029,197
566,296
890,137
927,433
671,327
869,181
610,357
315,561
947,756
960,219
490,431
1001,89
35,781
1076,21
167,677
673,1037
701,727
1016,244
993,90
279,607
766,865
693,750
272,577
746,249
591,860
513,154
228,826
457,887
522,1044
803,886
215,963
691,416
792,230
477,456
1064,262
48,706
153,997
658,486
461,884
968,163
493,446
925,112
342,533
528,394
1049,227
816,452
484,882
132,1068
20,747
351,636
10,962
661,267
225,496
