Method,Total_Throughput_Mbps,NOMA_Pairs,OMA_Users,Avg_NOMA_Rate_bitsHz,Avg_OMA_Rate_bitsHz,NOMA_Percentage
Static,82.71001437348741,139,222,3.874476294542864,4.298934930180134,55.60000000000001
Balanced,97.41237160851666,250,0,4.870618580425834,0.0,100.0
Blossom,102.24739021418982,250,0,5.112369510709491,0.0,100.0
