User1_ID,User2_ID,h1,h2,P1,P2,R1_bitsHz,R2_bitsHz,R_sum_bitsHz,Throughput_Mbps,Mode
264,208,5.002509517458475e-11,2.1664242814385212e-06,0.9999769094445184,2.309055548164965e-05,0.07042214166419575,0.07042222105588603,0.14084436272008177,0.007760019984577508,NOMA
483,205,6.320807629393311e-11,1.6344324080028151e-06,0.9999613286963439,3.867130365608387e-05,0.08842044227326674,0.08842065191290639,0.17684109418617314,0.0097433109744448,NOMA
73,128,7.06299341471189e-11,1.5014519476321763e-06,0.9999529611241267,4.703887587331275e-05,0.09845510205175276,0.09845541824254424,0.196910520294297,0.010849064479024628,NOMA
247,407,7.101519831671334e-11,1.2939757370941422e-06,0.9999451216131172,5.487838688278217e-05,0.09897333043968831,0.0989737032251446,0.1979470336648329,0.010906172653709802,NOMA
273,456,8.673222430044287e-11,1.0079106739271925e-06,0.9999139559052721,8.604409472796579e-05,0.11998573112070277,0.1199865903251823,0.23997232144588507,0.013221615506660333,NOMA
426,171,1.0829248338357099e-10,9.567885498165569e-07,0.9998868295111903,0.00011317048880972959,0.14832098450102038,0.14832271193141586,0.29664369643243627,0.01634400531308189,NOMA
159,470,1.1045397660979363e-10,7.567773882497797e-07,0.9998540682377921,0.0001459317622078493,0.15112634657196194,0.15112865929051458,0.30225500586247656,0.016653168367078596,NOMA
34,72,1.1071550705177992e-10,6.822648653820064e-07,0.9998377498988058,0.00016225010119431612,0.15146342380004665,0.151466006671117,0.30292943047116366,0.016690326747722518,NOMA
441,244,1.183190206932245e-10,6.498431034901099e-07,0.9998179599333201,0.00018204006667989269,0.16130072811517726,0.16130401515817555,0.3226047432733528,0.017774366020570403,NOMA
435,356,1.1955603657356477e-10,3.2110415827806025e-07,0.9996278106775875,0.00037218932241242134,0.16286254561904231,0.16286939849593024,0.3257319441149725,0.017946663587601788,NOMA
411,332,1.3868394000992822e-10,3.1335764421933455e-07,0.9995576218042993,0.0004423781957007091,0.18727885175405315,0.1872896269111998,0.37456847866525295,0.020637381744642035,NOMA
33,98,1.4460032003733203e-10,2.7967834051821903e-07,0.999483243512472,0.0005167564875279976,0.19473611669055335,0.19474972858556075,0.3894858452761141,0.02145927522182447,NOMA
126,377,1.5779013265075468e-10,2.257151695378574e-07,0.9993014208833101,0.0006985791166898897,0.21121474834902124,0.2112364060932922,0.4224511544423134,0.02327554569930101,NOMA
116,312,1.6711084669231617e-10,2.0350699303629997e-07,0.9991795184389847,0.0008204815610153308,0.22274379160238394,0.2227720911701273,0.44551588277251125,0.024546329629339465,NOMA
349,237,1.6908138807778982e-10,1.9678065679804595e-07,0.9991414998078444,0.000858500192155638,0.22516596841088465,0.22519622947818238,0.45036219788906706,0.024813344236312235,NOMA
265,371,1.7063139990503115e-10,1.8195783559635612e-07,0.9990631261399212,0.0009368738600788529,0.2270562708427466,0.2270898555273789,0.4541461263701255,0.025021825144359532,NOMA
30,145,1.7094029314441112e-10,1.7213983376072975e-07,0.9990079535415993,0.0009920464584005956,0.22742288143189993,0.22745856138406795,0.4548814428159679,0.025062338447160763,NOMA
252,10,1.7236604537060099e-10,1.6449985346100022e-07,0.9989532779366957,0.0010467220633042632,0.22916282310428215,0.22920105145338976,0.4583638745576719,0.02525420796461002,NOMA
445,334,1.786749977106159e-10,1.5451522363015132e-07,0.9988449770850987,0.0011550229149014074,0.23686826760013768,0.23691334822666338,0.47378161582680106,0.02610367029348766,NOMA
47,472,1.8161540554757965e-10,1.307436541655058e-07,0.9986128315325026,0.0013871684674975342,0.24039712669868882,0.24045291224849158,0.48085003894718037,0.02649311509350856,NOMA
67,290,1.8518435892014216e-10,1.1757084822974509e-07,0.9984273896220076,0.0015726103779923656,0.24469140745760865,0.2447569502576637,0.48944835771527234,0.026966851664753298,NOMA
38,424,1.8587176359205645e-10,1.1302182950046905e-07,0.9983581349897874,0.0016418650102125452,0.24550780062431546,0.24557669394035925,0.49108449456467473,0.027056996945712106,NOMA
401,285,1.8861630050215628e-10,1.0592463615878746e-07,0.998222500054133,0.0017774999458669782,0.24879946633726222,0.24887608185151647,0.4976755481887787,0.02742014039607596,NOMA
390,29,1.941828583962374e-10,1.052188519531469e-07,0.998157885704141,0.0018421142958591078,0.2555077952988365,0.255591553760724,0.5110993490595606,0.028159743749838047,NOMA
256,335,1.9541180129107374e-10,1.0216495082967273e-07,0.9980909426630737,0.0019090573369262573,0.2569695900688877,0.2570573981418853,0.514026988210773,0.028321046182411734,NOMA
462,148,2.063136341851603e-10,9.120573904659827e-08,0.9977430368519826,0.0022569631480174757,0.2699334244792595,0.2700480538955205,0.53998147837478,0.02975104564048375,NOMA
112,42,2.1045395752110074e-10,8.302809490378986e-08,0.9974716767603463,0.0025283232396536783,0.2747807564933093,0.27491387964478453,0.5496946361380939,0.030286205847828863,NOMA
199,58,2.1227855290735893e-10,6.708316036073458e-08,0.9968455729491597,0.0031544270508402374,0.2767555039334319,0.2769241232585506,0.5536796271919825,0.0305057645835803,NOMA
69,83,2.1915976573363689e-10,6.649228680274942e-08,0.9967148101711653,0.0032851898288348024,0.2848488575379794,0.285034954353938,0.5698838118919174,0.03139855712903126,NOMA
412,486,2.2547407377578624e-10,5.843487029512688e-08,0.996156277700011,0.0038437222999890158,0.2920901785624169,0.2923193226330449,0.5844095011954618,0.03219887058928164,NOMA
233,6,2.260394873468601e-10,5.8138034389423283e-08,0.9961270783149216,0.003872921685078387,0.29274301432456085,0.2929749445019101,0.5857179588264709,0.032270961918813824,NOMA
336,347,2.281731312795055e-10,5.633161017756257e-08,0.9959658061270572,0.004034193872942841,0.295186564494422,0.295432266195389,0.590618830689811,0.03254098240715212,NOMA
358,440,2.333804091887626e-10,5.1654472017998185e-08,0.9955022149063452,0.0044977850936548215,0.3011042406843794,0.3013894766501757,0.602493717334555,0.03319524613413526,NOMA
402,311,2.3493487672169237e-10,4.7486376116268176e-08,0.9950769400120587,0.004923059987941313,0.3027673097854996,0.30308315166860617,0.6058504614541058,0.03338019071372483,NOMA
413,476,2.361278257281437e-10,4.523627299907122e-08,0.9948072276491862,0.005192772350813864,0.3040600489277443,0.30439616796911595,0.6084562168968602,0.03352375850671406,NOMA
481,291,2.4849239620185937e-10,4.376684328882376e-08,0.9943544132440548,0.005645586755945123,0.3181645172926193,0.3185650194441449,0.6367295367367642,0.0350815171755793,NOMA
296,370,2.489485681068602e-10,3.849097768570548e-08,0.9935738502320365,0.006426149767963525,0.31840791614124664,0.31886493219516376,0.6372728483364104,0.035111451698975775,NOMA
302,100,2.4942937087318434e-10,3.829196904365548e-08,0.993528273982421,0.006471726017579031,0.31894237316008006,0.31940421029393573,0.6383465834540158,0.03517061065862346,NOMA
118,333,2.494791163151226e-10,3.7759883162393714e-08,0.9934363772144931,0.006563622785506974,0.31896632652915424,0.319434845394698,0.6384011719238523,0.03517361828781555,NOMA
383,77,2.527876575183809e-10,3.7359417082729616e-08,0.9932791055652241,0.006720894434775805,0.3226929041911683,0.3231840757904258,0.6458769799815941,0.0355855085389308,NOMA
258,409,2.5350123402272403e-10,3.456165484346859e-08,0.9927186529493511,0.007281347050648944,0.32330290067015277,0.32383742488694794,0.6471403255571007,0.03565511435576312,NOMA
81,372,2.5760084645937233e-10,3.1750446568662484e-08,0.991951997473683,0.008048002526316916,0.32768623451261614,0.32829382867769114,0.6559800631903072,0.0361421522418902,NOMA
289,439,2.644189058691389e-10,3.14197805826019e-08,0.9916545498974858,0.008345450102514133,0.3352944318303162,0.33595448570929226,0.6712489175396085,0.036983411434689174,NOMA
498,354,2.661745392596806e-10,3.11040335937822e-08,0.9915150534503684,0.008484946549631656,0.33722167134960374,0.3379006563905115,0.6751223277401153,0.037196822465020124,NOMA
278,56,2.6804217836163456e-10,3.094576160497236e-08,0.9914127038081546,0.008587296191845431,0.33928581570868727,0.33998156586769795,0.6792673815763852,0.037425200086853176,NOMA
187,449,2.731540855991138e-10,3.042298529891812e-08,0.9911013537507949,0.008898646249205186,0.3449045283191699,0.34565001308443305,0.690554541403603,0.03804708217099741,NOMA
226,299,2.7485425349907806e-10,3.023463829949317e-08,0.9909911889546613,0.009008811045338789,0.3467644654858352,0.34752749501388164,0.6942919604997169,0.038253000578496794,NOMA
321,458,2.7625666443403e-10,2.7873269429622176e-08,0.9901860989236205,0.009813901076379465,0.3480124165728724,0.34885051377785115,0.6968629303507236,0.03839465180995722,NOMA
219,79,2.767660714060103e-10,2.7677802713171173e-08,0.9900994333506333,0.00990056664936663,0.348546437748252,0.3493946413143401,0.6979410790625922,0.03845405394284254,NOMA
203,90,2.7749646773740244e-10,2.5589994215759803e-08,0.9892723855153667,0.010727614484633333,0.3490309589199948,0.3499535514260122,0.6989845103460071,0.03851154326975245,NOMA
55,497,2.7885913560706514e-10,2.5376725511873916e-08,0.989130665333154,0.010869334666845925,0.35049114817711124,0.35143398446812507,0.7019251326452363,0.038673561027285745,NOMA
488,37,2.821551891788058e-10,2.4496201927204577e-08,0.9886128370878856,0.01138716291211436,0.35394302081019585,0.3549511125727977,0.7088941333829936,0.03905752801008228,NOMA
276,68,2.8736647505609967e-10,2.2897421249165417e-08,0.9876053868392384,0.012394613160761585,0.3592933482942145,0.3604257239432331,0.7197190722374476,0.03965394337396405,NOMA
192,123,2.880880041194166e-10,2.2537223042840766e-08,0.9873785726938524,0.01262142730614764,0.3599949206877631,0.3611528904473683,0.7211478111351315,0.039732661770530656,NOMA
94,32,2.971063977326975e-10,2.245490009505017e-08,0.9869415298458647,0.013058470154135294,0.36971035111618944,0.3709751348955934,0.7406854860117829,0.0408091176865996,NOMA
485,429,2.9830948648904614e-10,2.2349105421163384e-08,0.986828099908734,0.013171900091266005,0.37097665145104813,0.37226142616577285,0.743238077616821,0.040949756342524575,NOMA
161,436,3.048875059577466e-10,2.1902814911983494e-08,0.986271091884254,0.013728908115746046,0.3778992478016128,0.3792901726058771,0.7571894204074899,0.04171842536680385,NOMA
156,209,3.065270411763961e-10,2.1800954156829367e-08,0.9861346917619884,0.01386530823801161,0.3796183909918253,0.3810362924711115,0.7606546834629369,0.041909348951125996,NOMA
438,206,3.2117979196424316e-10,2.1631441231898393e-08,0.9853694102578859,0.014630589742114107,0.3950633908407326,0.39668641743895516,0.7917498082796878,0.04362257896857784,NOMA
473,433,3.2398992171617e-10,2.127815095224712e-08,0.9850019531116627,0.01499804688833734,0.3978987509013557,0.3995875206867771,0.7974862715881328,0.043938637553065166,NOMA
212,369,3.288708662846814e-10,2.0444515901713053e-08,0.9841686447204017,0.015831355279598443,0.4027090523465104,0.40453738393462824,0.8072464362811387,0.044476387673891934,NOMA
385,259,3.384913254538239e-10,2.032154441006582e-08,0.9836161306888799,0.016383869311120052,0.4126289983699789,0.41461782441981426,0.8272468227897931,0.04557833734379026,NOMA
467,374,3.403685906164422e-10,1.999021687291174e-08,0.9832582986246489,0.016741701375351067,0.4144321389384497,0.41648333742893767,0.8309154763673874,0.04578046701748691,NOMA
420,222,3.4152373380238187e-10,1.745958035736217e-08,0.9808144634145534,0.01918553658544667,0.4144504194697576,0.4168088535491208,0.8312592730188784,0.04579940898175638,NOMA
70,294,3.4294005265788095e-10,1.7282001169765962e-08,0.9805423434705379,0.019457656529462096,0.415800053197049,0.41820856429019804,0.834008617487247,0.04595088801582627,NOMA
87,459,3.458709052135599e-10,1.5872625035655983e-08,0.978674292210908,0.021325707789092083,0.41793785241890724,0.42061171024901906,0.8385495626679262,0.04620107783294359,NOMA
127,109,3.4669489738318123e-10,1.3372850291834571e-08,0.9747298549185398,0.02527014508146015,0.41683858691523484,0.4200068065102277,0.8368453934254625,0.04610718421076928,NOMA
489,40,3.480564557471078e-10,1.2861188071536765e-08,0.9736505403448174,0.026349459655182584,0.41771012056010903,0.42103243332082113,0.8387425538809301,0.046211710957627,NOMA
378,4,3.516198337542697e-10,1.2179014183166567e-08,0.9719391825441988,0.02806081745580129,0.420524495634027,0.4241192146500369,0.8446437102840638,0.0465368435418217,NOMA
308,99,3.5392968556558183e-10,1.1895389943314855e-08,0.9711061759927371,0.028893824007262866,0.4224741931886108,0.42621461892472084,0.8486888121133316,0.04675971416602378,NOMA
1,152,3.5524306820632034e-10,1.1825675106952288e-08,0.9708361009327858,0.029163899067214175,0.4236818087636379,0.4274804492714971,0.851162258035135,0.04689599217824435,NOMA
405,300,3.5815519748454877e-10,1.1769648916818092e-08,0.9704682567339484,0.029531743266051506,0.4264691713491508,0.43036904872219817,0.8568382200713489,0.04720871735930297,NOMA
396,15,3.6093285011568544e-10,1.1530869702586497e-08,0.96964860049466,0.030351399505339955,0.42887736454962866,0.4329359317514837,0.8618132963011124,0.04748282624248553,NOMA
139,342,3.6656268405018386e-10,1.1267860491897219e-08,0.968493265329389,0.031506734670611145,0.43398515548154765,0.43830721545184986,0.8722923709333975,0.048060185726357986,NOMA
154,460,3.7058559554449353e-10,1.103852975713187e-08,0.9675184636065968,0.032481536393403294,0.43753012391208645,0.44206597071546616,0.8795960946275526,0.0484625947453197,NOMA
338,434,3.7182443289539255e-10,1.0866109591930545e-08,0.9669134529466014,0.033086547053398606,0.43845555180954837,0.4430995466042616,0.88155509841381,0.04857052883822644,NOMA
376,181,3.7946729488617817e-10,1.0729687616889563e-08,0.9658419296607393,0.0341580703392606,0.44553138305639295,0.4504911866427705,0.8960225696991635,0.049367634694168785,NOMA
361,179,3.873835247170096e-10,1.046122213893876e-08,0.9642918604724666,0.03570813952753343,0.45254699147008054,0.45791024740831504,0.9104572388783956,0.050162933271536946,NOMA
314,164,3.9071203255139283e-10,1.0359802313197076e-08,0.9636564335448835,0.03634356645511651,0.4554817267349351,0.46101735865989285,0.9164990853948279,0.0504958173771255,NOMA
475,117,3.910362603065374e-10,1.0068061747102754e-08,0.9626128123066133,0.03738718769338664,0.45522088435559893,0.46091710674877745,0.9161379911043763,0.050475922374896766,NOMA
221,353,4.003747235644282e-10,1.001094404934718e-08,0.961544283457526,0.038455716542474115,0.46376945475469067,0.46986308743322314,0.9336325421879138,0.051439809486937396,NOMA
325,5,4.0152670445328274e-10,9.855765359787942e-09,0.9608545118986055,0.03914548810139447,0.46449937851899614,0.4707281660017525,0.9352275445207486,0.051527688403347024,NOMA
453,317,4.019168468908964e-10,9.0679482546732e-09,0.9575583345084279,0.04244166549157217,0.46299879672567007,0.46973891442559,0.93273771115126,0.05139050750144683,NOMA
76,254,4.037904648108262e-10,8.841535778580897e-09,0.9563249090209831,0.04367509097901691,0.4641065838395518,0.4710884634183715,0.9351950472579234,0.05152589792054674,NOMA
119,26,4.0379619813594076e-10,8.684386050331603e-09,0.9555690910353355,0.04443090896466443,0.4636795111254377,0.47077649110550573,0.9344560022309434,0.05148517918627787,NOMA
446,430,4.097113227614104e-10,8.619820848928218e-09,0.9546254097143613,0.045374590285638706,0.46882561785699356,0.4762477446589261,0.9450733625159197,0.05207015771437574,NOMA
275,400,4.099731655259195e-10,8.384084271559647e-09,0.9533806586483032,0.04661934135169675,0.4683541326824937,0.4759777143319721,0.9443318470144658,0.052029302865810784,NOMA
408,14,4.1091002228253647e-10,8.03806227091073e-09,0.9513656799876623,0.04863432001233776,0.4680789985394918,0.47604534903440976,0.9441243475739016,0.052017870389746645,NOMA
191,168,4.15659624458993e-10,7.961458942732003e-09,0.9503815517083731,0.04961844829162677,0.4720224140030612,0.48030156528696416,0.9523239792900253,0.0524696407322328,NOMA
245,31,4.1584049977669224e-10,7.745687601676184e-09,0.9490486959540498,0.05095130404595021,0.4714108021273331,0.479906093529794,0.9513168956571272,0.05241415403069571,NOMA
389,61,4.166723672436724e-10,7.340505564792619e-09,0.9462855730660938,0.05371442693390613,0.4705727674064755,0.4795317465008985,0.950104513907374,0.052347356138147325,NOMA
182,468,4.2235644611343573e-10,7.240596124095257e-09,0.9448833276411713,0.055116672358828556,0.4750836661242585,0.4844759471082232,0.9595596132324817,0.052868298249723514,NOMA
286,262,4.2528545740043544e-10,6.994078717979315e-09,0.9426789887451955,0.057321011254804426,0.47650301025518027,0.4863618695688857,0.962864879824066,0.05305040660187692,NOMA
43,175,4.309707207669562e-10,6.892699193985383e-09,0.9411537213195756,0.058846278680424406,0.4808621902558971,0.49119604998330785,0.972058240239205,0.0535569278368708,NOMA
115,21,4.3614626422050645e-10,6.866426529000126e-09,0.9402749857385326,0.059725014261467445,0.48510328025252214,0.49579484057760104,0.9808981208301232,0.05404397359945582,NOMA
134,234,4.3736437020453463e-10,6.590455973998646e-09,0.9377667116141792,0.06223328838582076,0.4846825665028413,0.4958442817237159,0.9805268482265572,0.05402351780862574,NOMA
235,380,4.4075819822964436e-10,6.530010330234682e-09,0.9367705014978106,0.06322949850218944,0.4871719340796552,0.4986484127564644,0.9858203468361195,0.054315170624579585,NOMA
366,158,4.424168128129962e-10,6.5220111719286216e-09,0.9364747810182993,0.06352521898170076,0.48850103038677684,0.50010060828015,0.9886016386669269,0.054468409843907814,NOMA
280,466,4.427896340541823e-10,6.408293961353642e-09,0.9353694013672557,0.06463059863274437,0.48815399581680685,0.4999574723750898,0.9881114681918967,0.0544414032061651,NOMA
351,213,4.4870492717805597e-10,6.337014341569567e-09,0.9338751119215002,0.06612488807849978,0.49258094646788175,0.5049095268891216,0.9974904733570034,0.05495815280203875,NOMA
310,190,4.4923753972756356e-10,6.192871585865097e-09,0.9323652274852562,0.06763477251474381,0.4921118750117442,0.5047255956588129,0.9968374706705572,0.054922174692592675,NOMA
471,151,4.496336359527811e-10,6.042650389183967e-09,0.9307433818034,0.06925661819659998,0.491447965178562,0.5043595711544978,0.9958075363330599,0.05486542899906666,NOMA
25,66,4.505530112373797e-10,5.93061765301355e-09,0.9293933613527215,0.07060663864727854,0.4914228432237446,0.504611217679452,0.9960340609031966,0.054877909691636174,NOMA
465,167,4.555202534746673e-10,5.850494706500553e-09,0.9277641654252502,0.07223583457474977,0.4948275038583173,0.5085456534477374,1.0033731573060547,0.0552822676201683,NOMA
279,44,4.562420713958323e-10,5.7758626575446085e-09,0.9267916552690216,0.07320834473097837,0.49485039134492803,0.5087748015773192,1.0036251929222473,0.055296153880013625,NOMA
326,108,4.6332946980672187e-10,5.3058637605019075e-09,0.9196890360037506,0.08031096399624936,0.49654600228347096,0.5120944037906721,1.008640406074143,0.05557247416386462,NOMA
421,155,4.680917712432235e-10,5.207885948336628e-09,0.9175310766938893,0.08246892330611064,0.49929782304730896,0.5154992629122243,1.0147970859595332,0.055911685176833786,NOMA
113,22,4.688501954823381e-10,5.094271717467443e-09,0.9157217471019369,0.08427825289806308,0.49877825108056073,0.5153454197954762,1.014123670876037,0.055874582417412506,NOMA
364,124,4.700696437273822e-10,5.050874777738671e-09,0.9148570230303898,0.08514297696961022,0.4992688910446176,0.5160620740606852,1.0153309651053029,0.05594110000580181,NOMA
232,422,4.717873060810214e-10,5.009985784657127e-09,0.9139352727171177,0.08606472728288228,0.5001476979118782,0.5172082165931761,1.0173559145050541,0.056052667465843205,NOMA
261,189,4.733373426744279e-10,4.8966589192548576e-09,0.9118551820919943,0.08814481790800566,0.500117147975085,0.517643674676572,1.017760822651657,0.05607497645463675,NOMA
292,149,4.742310639918751e-10,4.894075581364308e-09,0.9116609584137476,0.08833904158625243,0.5007553766040251,0.5183719227292163,1.0191272993332414,0.056150264426073904,NOMA
450,84,4.743941471897808e-10,4.835689287436275e-09,0.9106616396841628,0.08933836031583717,0.5002387327292175,0.518044138228606,1.0182828709578233,0.05610373944671203,NOMA
249,236,4.759660608379779e-10,4.803177205384793e-09,0.9098402833877756,0.09015971661222442,0.5010407828781563,0.5190920635072998,1.0201328463854562,0.05620566646751825,NOMA
75,309,4.780809198249244e-10,4.700468209323752e-09,0.9076805282904561,0.09231947170954388,0.5014153713844219,0.5199894297839839,1.0214048011684058,0.056275746620848804,NOMA
391,57,4.786745734284984e-10,4.5708824519038536e-09,0.9052046405205232,0.09479535947947691,0.5002824591185357,0.5193390426301205,1.0196215017486563,0.056177493209292356,NOMA
8,111,4.806465172530848e-10,4.523275112040806e-09,0.9039460341586305,0.09605396584136937,0.5011127067192428,0.5205263582970342,1.021639065016277,0.05628865371990507,NOMA
260,201,4.823274792708206e-10,4.4174807986900985e-09,0.9015619689773773,0.09843803102262273,0.500942379588753,0.5208980262378583,1.0218404058266113,0.056299746877499245,NOMA
150,180,4.834541532018695e-10,4.389812379083785e-09,0.9007946415409541,0.09920535845904581,0.5013749786554121,0.5215462056290119,1.022921184284424,0.05635929389996826,NOMA
469,225,4.852852025314643e-10,4.382890381385361e-09,0.9003147700475884,0.09968522995241158,0.5025840704892253,0.5229691355343518,1.025553206023577,0.05650430887182242,NOMA
381,132,4.878436198059276e-10,4.3817114460914e-09,0.8998176192271826,0.10018238077281731,0.5043824348148016,0.5250367999966408,1.0294192348114424,0.05671731321275164,NOMA
266,348,4.886418767784734e-10,4.300742583062865e-09,0.8979739712116029,0.10202602878839696,0.5038077539034991,0.524853717789965,1.0286614716934641,0.05667556317870325,NOMA
241,131,4.893225852671159e-10,4.2385434446772276e-09,0.8965024427156038,0.10349755728439629,0.5033827864851861,0.5247446245884514,1.0281274110736374,0.05664613835116459,NOMA
393,110,4.908136942809776e-10,4.183344555552395e-09,0.8949942068609948,0.10500579313900517,0.5035986041749112,0.5253426858886198,1.028941290063531,0.05669098016878959,NOMA
478,386,4.91406408025298e-10,4.108636685775261e-09,0.893173520768194,0.10682647923180599,0.5028597690790169,0.5249775528738341,1.027837321952851,0.05663015547949592,NOMA
178,102,4.936691767646273e-10,4.091145788832031e-09,0.8923251689612337,0.1076748310387663,0.5041418461246473,0.5265831124696054,1.0307249585942526,0.05678925391703871,NOMA
51,23,4.986554589213741e-10,4.01503776833798e-09,0.8895238480298427,0.1104761519701573,0.5063033125429027,0.529636991968933,1.0359403045118358,0.05707660079955018,NOMA
431,250,5.047384734963232e-10,3.945670327177446e-09,0.8865860427428806,0.11341395725711947,0.5092038636427981,0.5335574536716509,1.042761317314449,0.05745241417710463,NOMA
423,375,5.058775151600535e-10,3.888277751673214e-09,0.8848749112307486,0.11512508876925139,0.5089386723510664,0.533701203792859,1.0426398761439253,0.05744572320352205,NOMA
313,122,5.128877990143093e-10,3.846916066420649e-09,0.8823598916729846,0.11764010832701549,0.5127832570550264,0.5385894370228108,1.0513726940778372,0.057926870197126015,NOMA
140,339,5.192632905111125e-10,3.794244985448529e-09,0.8796192664321271,0.12038073356787292,0.5158964492772742,0.5427572668229668,1.058653716100241,0.05832802843527498,NOMA
242,487,5.220457496808043e-10,3.7010896425342164e-09,0.8763843208429573,0.12361567915704286,0.5157909966569102,0.5435084640507493,1.0592994607076593,0.05836360665055974,NOMA
162,166,5.22631436451671e-10,3.5957196675805158e-09,0.873096920770069,0.12690307922993116,0.5139215298195803,0.5423154075696619,1.0562369373892422,0.05819487258342932,NOMA
194,223,5.286699859006327e-10,3.5941384224890578e-09,0.8717694509342666,0.12823054906573347,0.51764682433839,0.5468360407173457,1.0644828650557359,0.05864919366698269,NOMA
346,329,5.307341509805493e-10,3.5131380177534556e-09,0.8687559525041308,0.13124404749586918,0.5170772505176862,0.5470336459823303,1.0641108965000163,0.058628699531681344,NOMA
