User_ID,x,y,theta_rad,distance_m,shadowing_dB,path_loss_dB,fading_rayleigh,h_linear,h_dB,h_normalized
0,3935.860572768631,-1642.2897910236934,5.88788600343278,4264.752537483888,5.516735506324787,175.88615284889352,1.6261275909973818,2.6112411208673603e-09,-119.99997038738344,0.003443176708114529
1,2844.236541310069,-3005.945914229116,5.470152414881183,4138.28374355773,-0.9233260406725846,168.98851630652786,0.7670340984915928,2.7251402333693245e-09,-119.99996774772086,0.0035933638233938
2,754.6609316083344,3858.7654903065536,1.3776634481512207,3931.8677789158596,-3.9106536623615074,165.22344108306476,0.8348861428303681,4.575675303119299e-09,-119.99990907356532,0.006033475232023789
3,298.54657651826716,-2447.6585227735286,4.8337617673207385,2465.7985121369243,-2.975474430256072,159.06617415952977,0.1896700776498519,2.111981521230815e-09,-119.99998062848574,0.0027848541154463593
4,-164.23916442876273,-1890.8759200265777,4.625747656579158,1897.9953235107337,7.302290869300351,165.3657537734103,1.0112107062788238,5.4519764400192575e-09,-119.99987091202213,0.00718896395336638
5,1238.9227257831105,1118.5357679157141,0.734376067314098,1669.1470230535863,4.238496949823994,160.34894075039335,0.9495614733124252,9.121705530122455e-09,-119.99963865808631,0.01202786053291189
6,-4084.4220526415993,-2688.28769765783,3.723697313794673,4889.723330566204,-16.20418911627323,156.24389398944746,2.147994944563691,3.3100804971335333e-08,-119.99524419969477,0.043646647483586674
7,4585.261794050127,-1313.997107124862,6.004094970189759,4769.823279484083,17.135795475620554,189.2065086587197,1.7326974563209632,6.003400331867187e-10,-119.99999843476756,0.000791607026520249
8,-1128.7280102384502,-4588.946087693975,4.47120993456871,4725.72249681027,-2.1705013103817357,169.75901930404,1.6138262310268954,5.246936460278827e-09,-119.99988043888865,0.006918598694167328
9,-2722.2937698442397,-864.1217800861812,3.4489572682354805,2856.1494744064207,-6.017870650279302,158.25759504871382,1.2202442483888671,1.491306864257129e-08,-119.99903423812702,0.01966433899430879
10,1450.8715819115764,-3283.9448742286913,5.128409199126101,3590.1702305282815,-1.9881344270282075,165.76402509694168,0.3215806197911547,1.6561078397493534e-09,-119.99998808865121,0.0021837400975275516
11,4300.912555019607,-472.56950799484855,6.173747739017135,4326.7968228022655,4.139754015344655,174.72871466295553,0.6192341597496054,1.1361068355162854e-09,-119.99999439439648,0.0014980679350974733
12,-1593.0343090661752,-310.1172758799537,3.3338587782865496,1622.939011380634,-7.5352489295844425,148.1484611339693,1.1571293457088132,4.52854670389397e-08,-119.99110272377906,0.05971331566376851
13,-4000.5557194597623,1593.797244904752,2.762471557935627,4306.348304813278,13.054516995692964,183.57147043733698,1.031060677718667,6.834562231821976e-10,-119.99999797135706,0.0009012038489556259
14,-2978.7892431691653,152.0090600289248,3.090606395766199,2982.6652694446298,0.15783382349015132,165.09212500067306,2.229746721546461,1.2406500117926684e-08,-119.99933157996642,0.016359183337721035
15,-3495.7273159495553,-3180.832587086998,3.8798615237638203,4726.288757000618,9.680325304123222,181.61166718778358,0.5437926927450609,4.516999141681883e-10,-119.99999911389685,0.0005956104976642788
16,3967.323796966068,-1002.1631558597303,6.0357570191913705,4091.941971843686,17.324495716723607,187.06516011094334,1.096941411505504,4.863236911483241e-10,-119.99999897284707,0.0006412653326361472
17,1917.9118393371991,3133.7785401883116,1.0215908488671235,3674.092236514291,12.560927470554194,180.66431246454414,1.4428233839276543,1.3365879736587957e-09,-119.99999224147754,0.0017624219159505677
18,2135.406545814456,-3793.48377606806,5.225093161794496,4353.214935561856,-15.265932792714391,155.41555414907546,0.5004562121633648,8.483760057642734e-09,-119.99968743133567,0.011186667058155459
19,1123.7806521387204,-1564.170507035844,5.335391462990113,1926.0094312339431,13.622347141728323,171.90852454503843,0.8945687640177806,2.2708450556052872e-09,-119.99997760463233,0.0029943312169502
20,-689.4781487303727,1427.8617646524644,2.020649977146217,1585.6132367425266,7.901753557141715,163.23179082324367,1.0719425603085473,7.388937163731423e-09,-119.99976289735287,0.009743036036224468
21,2249.6864268168038,1412.714034286131,0.5607253250398517,2656.4732187004547,-8.045745374794155,155.12807816536954,1.9453547096058783,3.4087479710283935e-08,-119.99495661755206,0.04494767459000125
22,2462.468683580515,930.6731727611976,0.3613484667505551,2632.471191126723,9.933913861233787,172.9697738832005,1.4845460300241526,3.3350701534924767e-09,-119.99995169502702,0.0043976160534033425
23,829.6596474537223,-4304.313535362685,4.90280448665298,4383.54310362285,-1.8724852306488615,168.91453268976446,2.250422006867035,8.063755138575747e-09,-119.99971761289885,0.010632849510220773
24,-650.9164268805887,-3622.712908988425,4.534609393749725,3680.725609948991,-13.813730635269987,154.31707294099152,1.2165380412697828,2.3403027711165458e-08,-119.99762201286771,0.030859180054455388
25,1286.244264264012,2631.296020785054,1.1161283149149939,2928.846710968556,5.307604716032592,169.9651202700183,0.7362810986174287,2.3376938707799764e-09,-119.99997626668514,0.00308247791529037
