Method,NOMA Pairs,OMA Users,Total Rate (bits/s/Hz),Avg Pair Rate (bits/s/Hz),Avg User Rate (bits/s/Hz),Total Throughput (Mbps),Throughput Gain (%)
Static,114,272,199.5506006056354,0.5169704678902471,0.3991012012112708,47.002815570999545,0.00%
Balanced,162,176,421.78487920739207,1.2478842580100358,0.8435697584147841,53.47347252585335,+13.77%
Blossom,225,50,647.9597611997091,2.3562173134534876,1.2959195223994182,54.47036388299084,+15.89%
