u,v
89,724
459,672
603,289
777,838
199,861
342,25
840,647
915,799
940,981
695,786
79,554
193,310
488,353
1003,682
311,958
75,785
997,77
129,685
971,842
886,865
837,106
1057,631
135,426
880,818
890,72
372,375
484,189
336,461
30,754
125,534
22,423
265,657
556,330
21,562
937,430
564,581
983,128
376,390
712,815
654,236
282,1020
102,406
783,228
1011,510
348,565
1074,13
328,992
560,332
168,881
424,816
702,263
319,232
494,749
1049,980
649,363
888,645
412,298
592,921
859,847
132,927
260,447
152,734
519,698
697,67
317,411
61,76
391,387
1085,166
808,266
663,275
935,743
53,86
1063,901
978,704
1061,339
315,369
871,169
1055,655
868,420
889,879
9,955
549,136
628,200
688,71
768,845
477,296
313,54
201,487
321,552
91,346
1065,421
924,710
1050,706
733,770
325,805
538,522
528,337
1024,671
139,1059
963,512
732,252
676,119
413,383
1028,659
802,204
234,259
188,957
995,720
952,1033
612,192
184,258
301,416
144,185
17,428
585,849
70,254
14,502
639,1076
1079,835
1040,773
934,764
877,895
243,590
825,866
58,950
767,196
755,240
591,775
60,730
830,1066
155,101
762,791
205,456
989,919
855,848
917,414
66,288
846,381
945,741
633,246
687,464
784,415
1,307
386,643
404,112
974,148
366,396
359,397
81,434
990,111
186,209
1094,568
33,470
18,579
177,514
753,530
64,475
0,985
962,304
399,959
1078,610
726,469
1026,828
616,444
474,351
27,714
651,667
15,569
138,905
435,377
738,244
737,1093
1086,600
999,693
576,776
511,619
969,451
95,570
269,457
274,810
127,620
817,182
23,401
273,167
812,979
758,114
1006,36
290,256
165,759
373,281
173,116
362,1035
854,850
1009,873
1031,641
536,680
531,211
1000,918
931,1084
883,769
1045,660
507,100
496,338
187,495
306,357
836,684
400,648
161,613
31,912
172,384
1096,589
993,524
546,222
478,832
322,176
99,903
309,395
922,967
1007,526
953,716
666,394
253,323
635,7
329,965
899,1090
513,646
988,948
441,797
300,120
760,788
50,521
908,277
929,498
1051,860
1008,898
916,644
8,124
862,673
1088,509
223,448
308,245
572,611
370,238
425,839
1067,544
68,681
37,285
87,542
450,365
1089,599
1039,580
160,108
745,947
998,975
110,683
811,721
293,884
195,736
515,588
12,233
1053,636
1056,543
622,696
537,719
213,268
557,715
156,371
1021,679
334,405
843,938
567,765
85,594
78,573
154,74
637,280
94,270
145,492
991,939
202,379
121,162
1012,333
1029,1087
190,926
463,932
621,713
523,150
630,133
107,757
98,272
1080,607
674,813
505,147
491,221
69,748
393,827
606,553
63,790
970,740
180,728
596,795
29,577
652,278
250,634
555,763
41,789
525,344
316,499
225,479
6,1069
956,558
481,804
80,887
104,427
996,761
249,445
229,723
327,364
548,750
1015,878
1010,772
16,844
1097,529
604,358
297,872
284,286
517,219
462,283
1017,694
717,262
869,158
941,793
217,708
149,326
780,705
241,418
617,598
350,352
625,291
930,747
55,803
35,834
864,1058
46,602
20,473
1098,587
801,382
826,402
264,689
248,443
1013,664
146,432
608,853
302,819
1042,727
388,212
909,45
1047,653
83,897
215,113
206,949
550,103
863,343
287,821
422,210
857,766
711,56
392,178
305,973
442,533
131,820
1001,2
841,678
814,194
1081,925
1072,718
251,593
271,809
961,231
665,43
28,920
1043,669
751,3
32,563
153,960
1046,692
874,976
279,547
378,242
1014,489
1041,744
1048,640
490,65
44,900
224,867
928,794
90,360
966,668
355,551
787,446
267,438
1002,389
468,675
906,174
907,618
885,51
1052,237
824,858
1019,725
197,207
208,482
779,1075
703,460
97,650
141,595
540,164
1005,520
218,122
984,735
566,320
93,774
1073,26
235,449
629,605
829,968
398,354
627,34
1054,506
1004,914
324,261
349,345
656,380
994,1022
419,516
385,374
518,913
331,403
597,312
942,575
118,933
52,341
436,623
175,439
486,691
910,1037
1036,368
798,823
11,852
115,891
856,257
582,771
1023,541
532,294
943,5
303,709
1032,626
181,1030
578,10
896,347
1025,559
214,142
1092,658
437,318
407,137
299,851
638,982
1070,746
977,39
831,986
42,1082
586,126
408,632
84,410
19,24
216,62
951,4
545,893
117,870
800,198
159,40
731,1038
729,1068
1083,1062
1077,601
48,361
892,964
1095,807
151,453
609,105
239,1060
954,130
417,191
936,756
1044,707
876,314
170,179
96,806
409,699
1071,571
561,82
429,677
57,796
433,171
458,722
1034,778
782,59
292,946
455,833
700,255
38,163
875,781
583,1018
539,701
140,686
88,923
247,431
183,904
1064,662
792,203
220,157
226,466
902,1027
227,452
356,584
230,454
535,1099
739,987
335,143
911,47
822,109
882,123
615,295
1091,642
894,134
440,690
752,944
73,497
527,340
92,367
1016,742
661,276
624,614
972,574
49,670
