u,v
419,599
333,29
66,1006
1078,21
261,427
182,799
495,612
771,278
432,583
467,550
614,560
93,699
809,259
28,597
732,295
795,1007
479,1027
450,573
203,714
132,263
832,238
813,252
1086,20
34,1036
762,277
708,315
219,434
860,220
247,789
256,352
1095,989
777,298
971,163
485,535
348,709
395,641
890,193
376,655
703,357
769,339
1034,57
595,433
387,642
52,670
421,235
615,109
993,88
304,756
634,253
626,389
327,730
296,761
930,907
351,724
879,196
945,141
868,205
622,400
891,179
728,301
227,773
402,625
285,616
411,603
262,749
793,147
310,1045
1072,47
217,445
245,436
1092,946
497,526
1073,313
605,446
770,275
405,546
538,1075
234,255
731,1061
1024,294
127,290
384,190
121,881
12,80
26,643
689,426
183,474
1094,987
916,306
200,801
797,135
360,97
136,618
617,1080
332,700
89,1031
149,1082
620,429
280,766
698,385
67,1058
288,212
175,829
688,331
69,838
834,1059
437,1005
836,1001
443,518
284,116
145,824
90,888
464,559
861,258
507,511
354,189
103,845
503,568
140,992
598,567
710,1010
249,782
338,729
963,134
489,629
322,223
6,404
337,522
931,1081
669,330
40,882
441,579
161,772
520,305
406,621
48,486
391,578
155,905
1025,59
11,958
311,743
1085,366
370,640
158,748
501,742
900,320
557,475
1029,870
800,242
857,111
1049,43
472,544
685,926
1071,49
976,77
440,582
228,601
659,379
980,65
244,792
524,837
602,119
948,118
488,124
192,638
250,570
712,106
381,653
680,986
827,102
1063,449
581,455
561,458
814,257
697,248
233,540
968,998
171,821
1002,84
393,632
644,375
54,281
1097,995
841,224
302,751
1067,78
1051,61
739,231
349,701
240,794
982,492
921,225
447,580
1066,72
153,627
619,435
1035,112
847,168
785,104
201,798
586,105
394,609
8,403
624,397
1079,1057
835,199
990,82
399,571
565,45
465,363
413,600
15,819
51,903
58,1028
144,811
939,1033
950,139
336,316
23,130
585,428
1089,1084
32,346
649,412
610,439
226,760
607,442
576,473
1055,62
631,418
654,401
321,350
502,523
647,380
536,494
390,309
1044,919
954,122
768,270
120,543
1030,99
674,342
915,154
981,108
806,265
818,230
50,1014
430,588
1053,87
1098,0
509,508
454,572
859,221
790,279
207,471
368,663
662,377
918,172
170,269
27,1016
967,195
504,532
539,499
157,973
209,126
525,344
123,840
407,608
883,70
977,83
31,613
706,114
1070,1046
929,24
934,148
289,737
138,852
266,781
44,906
1000,996
129,1050
150,844
152,606
292,775
808,264
1074,1048
909,194
932,964
551,68
933,133
371,537
1020,528
268,664
1065,60
856,444
181,534
3,1022
774,243
324,717
291,778
477,541
18,1019
422,880
76,633
453,211
383,650
991,1018
493,531
481,529
63,1054
364,865
901,96
1,297
1026,594
1015,1021
36,938
191,174
1042,71
754,162
312,711
719,293
1077,38
7,740
10,409
33,896
46,912
42,725
95,889
635,345
547,461
408,693
564,303
267,416
1096,1039
925,165
323,734
679,369
1056,850
898,184
887,156
1011,79
596,456
516,1012
459,478
81,1093
468,545
908,206
651,410
300,988
566,213
17,556
858,232
41,913
722,308
577,469
187,549
780,169
347,705
944,137
362,675
1088,1062
527,500
512,637
75,874
1099,177
558,851
671,392
820,1009
86,1041
776,274
947,1068
358,682
902,517
425,592
146,1037
917,160
755,107
451,519
757,287
98,462
101,885
13,949
953,91
173,483
997,143
892,188
695,317
398,628
318,367
873,202
554,476
684,186
128,862
236,1060
803,115
110,575
25,733
843,215
941,94
272,372
176,822
22,727
515,498
1083,452
999,718
374,657
542,470
356,590
1076,4
378,636
514,417
604,283
752,218
686,334
210,652
812,92
117,848
804,237
260,747
687,335
871,16
314,736
927,164
343,1047
355,365
125,815
723,779
37,720
1087,1064
943,1038
64,328
14,974
246,741
388,645
1090,828
273,340
555,166
198,673
783,271
491,648
185,721
19,936
131,750
39,914
763,716
490,530
142,1043
373,521
282,510
788,251
611,438
386,100
480,382
484,254
646,414
448,569
866,1091
208,853
53,552
1013,216
167,574
513,415
584,466
361,677
1052,55
823,241
463,563
178,839
353,691
113,548
864,1023
667,329
506,1040
299,738
562,56
656,1003
533,496
1069,229
639,276
922,457
359,707
9,765
74,894
214,1017
5,1032
994,589
876,197
830,239
713,319
690,326
899,180
325,341
842,222
787,286
396,630
591,460
30,423
431,587
904,151
678,482
505,2
872,204
424,593
1004,85
553,487
307,35
911,159
1008,73
623,420
