User_ID,x_coord_m,y_coord_m,distance_m,angle_rad,zone_assignment,path_loss_dB,path_loss_linear,shadowing_dB,rayleigh_fading,h_linear,h_dB
0,-812.2165635010733,581.3276865571764,998.818114164642,2.5203875299944745,0,136.95245516168882,2.0172256594962686e-14,-6.661846192603814,0.6820408064733683,2.0858348089485092e-07,-119.81504604767085
1,493.46216459988017,-167.17096846228745,521.0096357921016,5.95654832126546,0,98.65241545747212,1.3638243942537012e-10,-9.252388424858557,0.740403265228387,2.5088053880619297e-05,-92.003765980862
2,-342.96816692733745,-905.3902596192687,968.1728594310754,4.350284851962593,0,133.74523122827696,4.221598017030906e-14,1.3701510613716759,1.0160891276956416,1.7830465846557294e-07,-119.86407611732295
3,618.5363629135588,512.5510684649446,803.3030748297246,0.6919688415949343,0,132.90274675067593,5.1253712084047055e-14,4.370784571648481,1.7200324982207074,2.354290696481665e-07,-119.76571862893232
4,-115.88854492770713,756.1817354323086,765.0104390443828,1.7228680060658366,0,125.5484447217351,2.7871191020282546e-13,-2.1434744969350104,0.8523035638527592,5.75898295554284e-07,-118.75607021351416
5,-459.92536983008216,687.8215359438924,827.4235983591193,2.1601843135409835,0,138.4466315692691,1.4300026526253444e-14,-1.1455297996002847,0.7568971178218331,1.0327180387334105e-07,-119.95392745809593
6,-324.4120676068248,-447.60839422943786,552.8078004095012,4.085233127184085,0,121.1273368744405,7.713763376841903e-13,-1.440539079853409,1.1844134317861448,1.227901229181551e-06,-116.0071724531751
7,993.7416767013722,-99.72798993952533,998.73329372292,6.183164141834122,0,135.42403724935016,2.8681131128146146e-14,10.36731765905396,3.018314464879824,1.5495184067800135e-07,-119.89695771293603
8,-439.20226832257856,-57.808757330628204,442.99038920027346,3.2724625402948497,0,123.58088740430378,4.384411009025676e-13,16.747591287290344,1.6599404169974195,1.5983377795038893e-07,-119.8904450067728
9,947.8134045143887,-194.98127514263206,967.6610705373049,6.080298779817314,0,140.61184170923764,8.685920080352763e-15,-0.4784809394991395,1.1900333144536004,1.1719014212446349e-07,-119.94076188903065
10,637.6033253278299,728.6779024335666,968.2507350702549,0.8519584297304038,0,135.37545045790375,2.9003803505208226e-14,-7.517426459887767,0.5264209236405473,2.1302567148852606e-07,-119.80725839285512
11,-788.4566766915494,-4.895728216059876,788.4718759564275,3.1478018283539013,0,129.62966504196342,1.0890140824162955e-13,-1.3337347705532727,1.3669943003041385,5.259811620218358e-07,-118.93926047150521
12,-509.920349965882,491.42356970910527,708.1778647874893,2.374664345096844,0,135.51393353633372,2.8093551598817325e-14,8.829377877218265,1.166839878171265,7.076942916848708e-08,-119.97830346316792
13,-170.59237218282476,-323.3957625140062,365.63175006962797,4.226981493100199,0,120.07258661300168,9.834252134202486e-13,-4.443058861963701,1.1951449087758592,1.97671554777555e-06,-113.0914815585656
14,-18.244837173860716,542.0913741658603,542.3983149204388,1.6044400144835507,0,129.0329242862028,1.2494174619379109e-13,-4.946838763300789,0.7605343301831043,4.7513229050676694e-07,-119.11597852374739
15,-344.8789127170255,-216.33454337260835,407.1143562847086,3.701827548703056,0,117.00093540314643,1.9948326126020617e-12,-16.436235178593734,0.6791711210831474,6.3642055774392215e-06,-103.81919331042849
16,410.9818150560762,-452.0815928911519,610.9695728412242,5.450202282958705,0,128.61571914095634,1.3753970417261444e-13,-8.616281216813718,2.3119111220601223,2.3120607338473307e-06,-111.97525607627597
17,-394.65891279823376,-531.7074449928277,662.1695134267999,4.0738674883170365,0,134.6505649320876,3.427232020685422e-14,7.599402698146915,0.5450779552036166,4.2068810893696664e-08,-119.99232071539302
18,576.2176739402876,-670.461550941229,884.050620186239,5.422334724569859,0,127.69020121166074,1.7020796480316e-13,-3.385910508394054,0.4642653819162765,2.828471235042117e-07,-119.66575241103104
19,-697.6323831134621,436.5443301488374,822.9592299462139,2.582453301713856,0,130.88017190113408,8.165500502807235e-14,-6.752427859591584,1.73027032714584,1.07578815445709e-06,-116.660853994125
20,534.9493117570182,-77.39462202986245,540.5189114808591,6.139505687352511,0,127.42980454563289,1.807255459769063e-13,8.7635506978837,1.643511236724639,2.5474455823745005e-07,-119.72693297765665
21,-331.8771006546605,785.2720282569633,852.5224737810427,1.9706552404382323,0,128.06078676240764,1.562864490433421e-13,1.7819812481024377,0.6396450783170948,2.0596843165558705e-07,-119.81956017075406
22,-34.80195193519847,-585.8167860911414,586.8496253084379,4.653051150651248,0,127.6705992690475,1.7097793718321041e-13,-1.5576728514310587,0.9084062563700867,4.4940075297446595e-07,-119.20109610360156
