Method,Total_Throughput_Mbps,NOMA_Pairs,OMA_Users,Avg_NOMA_Rate_bitsHz,Avg_OMA_Rate_bitsHz,NOMA_Percentage
Static,198.37167646358665,150,200,10.965007197882706,9.133766292151805,60.0
Balanced,222.81728354939972,250,0,11.140864177469986,0.0,100.0
Blossom,222.84976967269412,250,0,11.142488483634704,0.0,100.0
