User1_ID,User2_ID,h1,h2,P1,P2,R1_bitsHz,R2_bitsHz,R_sum_bitsHz,Mode,U1_Distance_2D_m,U1_Height_m,U1_Distance_3D_m,U1_Ring,U1_LOS_Status,U1_Channel_Type,U1_PathLoss_dB,U1_PathLoss_Linear,U1_Shadowing_dB,U1_Fading,U1_LOS_Probability,U2_Distance_2D_m,U2_Height_m,U2_Distance_3D_m,U2_Ring,U2_LOS_Status,U2_Channel_Type,U2_PathLoss_dB,U2_PathLoss_Linear,U2_Shadowing_dB,U2_Fading,U2_LOS_Probability,SIC_Margin_dB,SIC_Satisfied,Throughput_Mbps
448,278,1.0340527267524893e-07,1.493276128177669e-08,0.8738126637527246,0.1261873362472754,2.465690496332243,3.812337611352218,6.278028107684461,NOMA,3984.4828025653783,15.615297757599828,3984.4938545034083,3,False,NLOS,156.65476537707863,2.1603467420306866e-16,-15.427659121609938,1.190962253010684,0.0045175249701592006,3157.549808540059,13.989209977447869,3157.5690065156587,1,False,NLOS,153.6825442996629,4.2829753021149265e-16,-7.234095315605889,0.3137347115622751,0.005700627695967646,8.404025617370841,True,0.502242248614757
248,351,7.532262441411554e-08,1.1829353140274916e-08,0.8642675304425265,0.13573246955747348,2.2997457772324004,3.4884797670348715,5.788225544267272,NOMA,2390.4930831495626,8.796708792826138,2390.547997265867,1,False,NLOS,152.07501665510136,6.201522653784268e-16,-7.785649078804344,1.2342235312213479,0.007529827267387202,3753.1746086094786,2.7465817196780704,3753.24058079629,2,False,NLOS,163.36121409846345,4.6118862825749664e-17,-8.953261155995811,0.621381964884751,0.004795939938075212,8.03964446502539,True,0.4630580435413818
100,437,1.1386687408417659e-07,1.6469079336987024e-08,0.873641317651091,0.1263586823489091,2.503327761388613,3.943740221099327,6.44706798248794,NOMA,1306.1904279807939,5.530233984119712,1306.3355257885942,0,False,NLOS,143.77863964374853,4.189247658822283e-15,0.7743538682291576,1.9233001877499396,0.013780533749053846,4151.026744588985,15.474979619855084,4151.0376727158555,3,False,NLOS,157.43393596757383,1.8055370440724873e-16,-3.9146837403855836,0.7809656513798645,0.004336276612376922,8.397280767067386,True,0.5157654385990352
78,434,7.385124431336498e-08,1.1529220702721247e-08,0.864966527172825,0.13503347282717504,2.2928681371273134,3.455805900884166,5.74867403801148,NOMA,2209.9667273652085,14.23712810353926,2209.9929356160283,0,False,NLOS,147.47787982776777,1.7873599290270666e-15,-5.7045308070332545,0.9057852997983075,0.008146829153610988,4234.300314090849,13.886643446080349,4234.31489813922,3,False,NLOS,158.72406042135876,1.341510134333629e-16,3.999281367027926,1.577491552763006,0.0042509974941805796,8.065578641810742,True,0.45989392304091836
84,450,6.109930798187023e-07,3.062528345539478e-08,0.952268692406,0.04773130759400004,3.683301838682467,4.914731869791246,8.598033708473713,NOMA,352.3514546168066,21.812399054381952,352.365872879835,0,False,NLOS,111.77044071211729,6.652056492271799e-12,9.161463076700356,0.6801919391022242,0.290484831908345,4453.324678938354,5.015078224499362,4453.36952128832,3,False,NLOS,164.9030696183629,3.233650198832861e-17,-19.397613466519175,0.5772353568172782,0.004041924022546475,12.9995617435124,True,0.687842696677897
353,254,3.5678920966485396e-06,5.1567225948876645e-08,0.9857527820172128,0.01424721798278719,4.921414239926943,5.695786089032423,10.617200328959367,NOMA,3751.970551570961,3.801104701072231,3752.030438711498,2,True,LOS,117.51522065251054,1.772058009687249e-12,-6.6742583296287785,1.2429676559275498,0.004797479018715471,2945.6377526582182,3.530663674344551,2945.7159914505714,1,False,NLOS,158.7789419763535,1.3246642091889436e-16,-9.499052083273309,1.500957045962006,0.006110731023784694,18.40037942355387,True,0.8493760263167494
21,272,1.6625818384675486e-07,2.2666719740438013e-08,0.8800225946391612,0.11997740536083872,2.669681397364857,4.388687264989469,7.058368662354326,NOMA,1841.962429608745,17.272713565544034,1841.9786380535988,0,False,NLOS,142.56505449573686,5.539805924871571e-15,-4.126621731529675,1.3890077544860784,0.009871217539835822,2582.19665075556,2.5428483330779006,2582.294302908602,1,False,NLOS,157.13683609286895,1.9333763006972015e-16,-0.8393458323004396,1.4800050180833175,0.0069708091344372015,8.653943572109608,True,0.564669492988346
273,264,1.916762322401356e-06,4.440085415066228e-08,0.9773599388967088,0.02264006110329116,4.5008740190611904,5.472345317779254,9.973219336840444,NOMA,2322.0095344957867,19.5025842814606,2322.016042121355,1,True,LOS,112.9303956351536,5.092844739631717e-12,2.9092326725172644,1.187270506103817,0.007763946343259316,2486.278513796599,14.566722699452544,2486.3004045050257,1,False,NLOS,149.2795619798691,1.1804396862714629e-15,2.020983875999599,1.6308672726222782,0.007240282055435309,16.35176939081688,True,0.7978575469472354
215,366,3.698708243619087e-08,5.774704624419912e-09,0.8649564243834147,0.1350435756165853,1.9284131175244579,2.583727954752271,4.512141072276729,NOMA,3023.4064616486135,9.083712604889072,3023.4483558584284,1,False,NLOS,155.88917316300575,2.5768116998308827e-16,-0.7115527637761486,2.1229076165878222,0.005953549490724082,3452.6622552250387,5.826891150194156,3452.715490271189,2,False,NLOS,160.09654999542926,9.780138397044479e-17,2.6114559122363348,0.7887331064829033,0.005213368313903264,8.065203002388653,True,0.36097128578213833
170,160,2.4615628787922456e-08,3.888126068685318e-09,0.863592495506466,0.13640750449353406,1.6754013975412032,2.1235855828712746,3.7989869804124776,NOMA,3045.885536642464,14.531183835025528,3045.9035274347816,1,False,NLOS,152.7462774879143,5.313396816411957e-16,0.3081566945122277,1.1064521654806925,0.005909630420892145,2466.7775628972217,9.998246526028607,2466.823179196363,1,False,NLOS,151.88716681516144,6.475649266231362e-16,10.088334369824945,0.48810740610875875,0.007296969240655443,8.01470595923494,True,0.3039189584329982
