u,v
658,643
928,238
932,110
272,684
1037,1066
1091,381
383,780
240,633
37,799
963,52
984,422
415,750
125,768
219,457
320,607
916,632
281,795
306,452
223,683
1061,80
588,296
914,317
731,461
1018,1021
453,736
1008,998
290,629
456,14
944,717
190,883
115,740
341,387
1004,987
847,137
608,758
616,771
95,749
51,962
119,877
526,316
718,239
489,443
298,70
98,521
304,626
179,891
347,615
1078,38
774,264
702,672
934,1067
186,499
839,250
596,352
0,754
318,435
1072,708
756,261
752,367
773,170
645,649
587,577
273,786
1030,100
288,784
1000,724
559,591
882,103
212,794
213,857
210,464
71,544
91,522
245,818
979,1042
602,674
417,372
845,166
688,1033
1085,431
280,412
171,743
1090,1022
134,703
966,986
426,722
3,530
209,864
293,1086
997,156
852,165
392,985
466,376
637,276
218,939
15,1034
390,502
648,797
363,405
730,198
374,432
538,284
956,1035
410,763
162,509
74,823
414,581
828,867
12,848
104,931
757,178
556,701
19,972
197,493
720,772
484,434
82,790
116,941
628,289
302,524
77,433
269,454
1029,242
497,336
20,838
990,107
1094,582
1038,592
1026,438
753,441
802,163
713,225
1050,813
945,620
236,825
827,265
896,117
745,442
62,547
86,922
154,895
858,593
1052,68
1015,595
601,568
425,473
1043,257
1071,993
952,237
529,710
286,812
921,249
40,747
659,258
393,395
652,646
1088,26
241,764
449,564
888,1011
378,760
691,326
884,641
1053,32
11,338
436,612
99,698
586,300
468,937
56,983
947,297
148,739
880,118
482,337
469,654
400,411
746,630
644,344
725,189
266,816
999,172
687,342
158,505
788,254
416,373
504,495
364,573
782,332
976,45
278,399
996,41
898,1065
833,252
112,879
294,779
88,531
216,460
775,585
358,791
485,594
122,1081
1060,565
597,664
28,525
23,1084
1014,49
48,759
459,330
578,668
1027,1025
177,589
396,386
950,167
204,472
22,980
220,843
555,1062
199,869
893,145
8,682
862,575
671,617
64,1089
1064,557
481,712
663,222
140,846
1040,47
686,214
1024,102
834,625
807,333
248,635
420,738
346,798
439,370
458,850
16,523
234,840
821,1045
487,611
854,157
913,639
353,796
1056,139
661,256
60,552
203,479
467,180
247,653
44,553
960,1092
755,183
492,447
33,836
228,666
711,634
398,421
994,65
527,315
1028,188
889,268
709,319
30,766
446,354
207,737
283,476
1016,735
109,696
6,832
723,357
262,1054
235,673
463,546
910,1095
1059,580
160,606
733,388
670,875
584,305
350,605
669,650
929,61
282,488
955,208
844,368
501,532
114,751
933,58
936,231
380,907
1074,155
901,93
407,375
135,810
656,271
903,53
129,516
59,964
465,721
511,450
622,385
613,327
853,973
690,192
133,513
842,982
727,187
533,312
403,382
978,1098
194,873
719,191
1096,1099
270,868
310,437
343,471
1041,494
1093,959
331,78
899,935
1031,1002
445,356
1058,34
253,689
120,7
174,127
537,704
600,662
106,517
677,217
1087,362
355,175
665,233
811,427
72,1009
734,351
226,448
815,159
765,567
29,1
732,408
874,83
785,182
89,787
54,866
251,486
274,451
946,1020
348,409
132,1032
989,195
164,81
535,510
153,1073
205,455
680,92
39,971
128,918
96,715
440,366
819,152
906,31
131,681
246,528
598,543
837,169
1070,142
534,406
101,518
1082,391
4,860
783,323
201,480
87,885
147,908
232,705
667,642
988,221
85,951
912,73
572,401
287,915
94,609
334,618
474,741
321,428
46,965
2,800
660,230
792,678
275,141
477,675
897,75
949,503
992,303
97,1046
90,778
579,1055
627,574
923,69
761,299
1023,583
991,105
981,1080
123,402
9,655
394,389
150,514
206,692
610,651
13,1048
830,138
1001,365
744,196
566,693
571,570
876,361
917,789
143,748
498,329
322,369
126,695
1036,108
558,307
359,781
57,43
624,1075
679,215
255,809
519,900
943,1057
831,349
762,905
927,66
726,314
599,371
1076,27
590,560
540,541
478,328
805,67
244,826
50,970
707,309
676,340
536,418
267,419
301,808
729,184
124,995
345,576
25,742
260,1044
890,1068
63,872
706,313
1069,136
551,308
554,871
173,496
292,444
113,967
475,1063
121,324
36,1039
200,491
259,824
24,930
716,483
76,958
977,295
569,311
829,149
377,397
694,1007
404,360
1049,161
430,507
17,1003
243,424
769,229
339,806
1006,968
168,506
820,1097
512,325
697,636
770,193
948,227
685,500
621,79
562,429
961,700
942,21
974,1047
520,548
18,975
5,1005
563,1013
335,413
863,151
111,614
470,714
801,176
10,55
957,1079
793,181
462,728
561,423
638,545
211,490
279,881
631,277
603,285
1019,767
1010,291
35,776
263,878
1017,604
1083,549
384,777
969,146
224,657
911,550
892,42
202,647
144,1051
623,640
508,1077
542,185
699,379
84,539
130,515
1012,619
