u,v
504,814
739,479
594,222
657,171
988,127
272,949
1078,48
809,241
811,323
1025,521
399,1071
700,254
481,713
994,152
581,1075
919,158
815,320
38,647
850,287
627,624
978,207
777,321
0,373
743,1082
863,253
802,768
157,194
575,707
1089,25
787,370
528,784
643,771
47,331
415,727
933,195
87,651
846,294
679,544
330,1043
543,778
115,349
1094,14
1061,493
690,540
754,970
683,263
1006,148
584,675
874,239
613,302
921,198
730,478
530,313
553,189
1080,191
880,1069
760,366
1066,274
244,184
680,495
61,755
385,977
136,687
516,670
408,957
808,262
963,145
580,691
45,923
759,406
1018,108
1047,144
620,574
292,1056
781,299
948,58
1064,489
715,344
1036,427
380,1016
744,389
318,1041
437,903
417,934
475,875
600,1046
947,196
233,862
816,252
175,601
572,566
278,595
1083,623
664,658
559,465
798,329
961,216
958,192
829,307
702,779
780,213
928,200
1009,283
413,941
630,619
112,931
952,261
791,316
742,460
1065,156
753,716
388,969
1050,185
1010,387
999,210
609,290
870,245
989,44
1081,29
492,1035
786,987
749,449
476,309
395,473
775,367
661,583
706,353
433,603
1072,855
364,997
982,162
463,887
68,208
1037,88
104,149
474,487
280,240
877,230
1034,293
920,182
677,550
326,890
965,190
1068,35
866,327
138,668
770,368
902,286
666,805
558,714
26,188
788,273
570,688
1092,19
817,556
1012,1051
43,951
849,279
382,911
765,1039
738,146
803,266
729,573
497,852
562,972
833,154
36,386
508,1019
183,832
348,234
420,906
611,446
455,891
732,336
602,910
379,981
414,301
502,822
308,310
689,258
673,542
998,110
360,985
1042,772
662,560
1011,147
924,807
968,176
577,1099
746,401
422,835
597,925
405,346
225,159
930,585
598,660
992,160
764,400
741,407
1093,248
959,257
587,376
220,1077
1063,76
378,867
142,102
491,1073
1040,358
976,166
1033,291
352,1003
12,10
859,282
500,758
431,905
606,605
636,529
839,300
946,197
557,721
939,167
704,511
391,954
652,1004
322,711
685,534
536,783
857,451
769,384
517,806
28,767
795,265
756,432
1087,940
834,333
836,284
860,251
622,459
950,126
993,106
792,354
736,462
375,996
421,545
361,1070
390,966
648,596
785,342
681,541
579,246
410,953
717,296
926,726
52,845
578,1031
898,255
34,824
629,466
339,1014
588,425
520,797
518,635
569,838
725,448
453,892
1067,59
445,897
776,359
773,372
649,565
227,665
654,271
363,720
733,402
551,1027
1062,83
168,642
1076,256
703,895
697,345
347,650
219,464
893,238
858,936
723,501
269,1048
365,774
882,228
305,1007
169,54
766,709
1015,120
505,525
796,341
1030,90
337,312
374,450
995,132
350,1005
975,172
224,133
1053,604
615,512
793,546
640,614
937,163
179,750
851,281
33,143
393,962
728,439
232,1017
879,617
1054,42
634,539
608,639
180,872
1023,100
782,275
1074,56
484,856
804,955
441,912
91,790
971,174
871,334
991,161
362,731
842,285
440,259
298,1060
371,663
526,686
901,236
718,1045
885,237
916,215
123,826
547,763
841,944
830,297
324,187
899,656
1029,268
637,418
1020,537
218,416
436,904
1058,173
396,212
945,125
922,398
249,696
909,306
403,1001
908,490
1097,515
1085,141
554,761
669,482
974,938
676,616
394,134
483,737
1021,888
900,351
412,942
1096,6
165,674
618,638
568,1055
698,527
494,840
943,452
820,628
21,140
1049,60
708,423
74,304
1038,69
1084,701
471,843
377,332
695,480
435,929
591,270
710,496
411,986
548,317
757,409
607,641
844,325
430,289
260,277
1088,20
747,383
865,128
751,533
878,964
712,276
5,801
610,503
510,812
956,264
724,506
486,854
118,458
206,153
214,831
837,303
564,819
1013,883
467,886
535,612
369,979
694,519
1091,155
722,456
1044,89
699,472
576,896
235,328
894,150
340,381
960,95
64,226
319,434
825,315
693,532
828,311
799,424
538,2
927,201
983,114
907,231
1026,170
1095,13
335,810
644,513
794,705
355,267
935,186
514,678
31,682
621,633
1057,50
404,397
426,821
918,209
498,818
428,592
454,748
734,137
499,243
1032,96
800,338
752,438
655,932
847,288
178,202
242,632
357,442
684,419
873,444
37,181
485,457
468,813
1000,130
509,823
915,199
762,356
973,567
590,667
990,247
625,881
582,672
853,250
645,221
523,869
205,151
589,671
1059,193
477,740
659,488
1002,571
563,789
1022,549
593,561
914,229
848,531
552,626
113,692
1028,97
343,745
469,884
461,889
470,876
443,203
204,177
827,314
223,864
447,429
1024,86
653,524
984,135
39,392
861,967
1086,30
51,631
586,646
1008,217
980,164
719,599
295,555
917,211
1098,3
