u,v
498,501
173,583
995,801
675,940
303,859
887,255
672,845
784,207
28,907
242,750
279,794
179,330
889,567
297,852
286,930
566,438
942,1048
305,345
473,616
964,972
656,1036
666,646
250,739
143,163
417,1012
168,1061
523,831
296,117
633,779
883,190
1065,334
388,820
746,872
1042,740
1078,81
712,599
133,228
770,300
178,1043
121,231
977,359
26,344
973,594
803,1017
627,50
247,431
142,495
128,643
71,155
156,1082
815,108
425,123
1071,12
755,271
1000,956
871,1040
262,1014
298,749
943,659
844,540
555,398
1056,726
447,1087
999,846
367,1034
38,317
1015,912
812,148
308,227
795,776
371,221
604,1041
650,338
220,273
542,1029
991,42
126,662
463,400
1003,1067
415,723
471,1090
244,1094
522,564
459,147
579,856
929,680
232,894
216,571
668,55
575,433
615,7
1085,358
676,428
472,989
387,830
139,937
378,597
639,89
411,665
389,808
839,986
1058,814
181,381
43,621
910,572
602,219
1070,294
466,720
790,685
275,434
613,439
817,589
290,158
624,913
186,239
778,771
331,500
869,939
619,347
146,577
649,526
52,705
480,908
1008,361
505,272
497,409
76,1064
153,923
287,1059
981,460
230,1089
222,90
949,444
95,63
551,884
732,657
978,192
0,777
903,695
679,1072
870,502
199,72
349,175
252,559
129,890
520,233
370,320
1099,335
171,135
626,855
970,702
53,1055
554,706
125,162
958,180
875,503
427,810
692,557
201,853
629,838
448,15
390,429
435,708
187,951
976,226
182,288
893,183
715,664
357,521
365,955
586,764
828,612
1001,75
728,307
412,775
1031,825
1013,1044
169,127
642,195
322,77
23,453
339,744
1052,528
592,516
1024,727
560,404
490,35
366,487
636,22
341,601
729,866
982,452
691,393
1035,114
318,848
745,406
5,754
238,478
606,793
687,462
539,1037
40,637
488,600
969,741
821,101
1032,962
29,536
188,532
263,496
468,208
30,799
1006,585
593,563
211,19
620,901
1080,377
983,51
245,552
167,343
1038,507
217,760
314,733
581,714
161,833
282,1074
17,1039
1075,446
1023,927
860,640
264,524
832,874
376,267
548,545
491,237
269,753
722,1002
391,804
931,1021
115,823
797,707
136,919
644,164
655,719
899,628
295,260
924,509
315,166
256,465
340,354
1018,914
993,49
954,61
326,21
280,380
257,68
816,113
1020,946
348,920
867,54
240,229
313,792
918,897
1054,546
449,284
457,57
138,580
514,824
160,957
193,408
202,622
713,151
941,743
91,493
436,416
364,772
324,851
420,215
896,849
392,441
36,880
87,198
921,573
948,591
670,511
270,319
641,451
45,405
285,717
47,623
611,800
327,152
88,1011
403,610
863,1026
106,605
105,1081
204,351
442,763
786,885
558,783
892,191
56,582
1005,92
265,489
998,328
119,693
936,176
302,518
718,663
13,103
27,858
1092,283
513,470
584,346
401,1068
928,595
100,289
997,80
868,304
967,565
200,807
562,911
382,109
647,104
9,631
111,756
1016,725
251,888
992,78
259,985
189,8
742,530
731,932
312,787
414,261
243,1047
508,547
140,716
576,69
574,617
93,479
1091,6
774,568
607,625
277,224
18,796
709,492
397,293
421,1073
703,881
130,688
48,494
590,386
697,372
938,922
891,235
900,965
988,587
618,614
847,254
360,356
58,1097
483,735
329,805
11,842
82,724
952,767
678,455
700,112
394,843
62,278
773,737
3,765
323,980
905,1077
850,375
684,1076
780,671
935,410
1049,531
2,1066
864,734
476,752
342,634
813,535
840,321
630,1093
517,963
98,699
223,85
645,681
822,682
689,418
761,306
791,1095
350,635
185,570
499,836
25,97
953,332
