Method,Total_Throughput_Mbps,NOMA_Pairs,OMA_Users,Avg_NOMA_Rate_bitsHz,Avg_OMA_Rate_bitsHz,NOMA_Percentage
adaptive_bipartite_pf,295.3227842450368,75,350,17.016074249260544,14.284010275749974,30.0
balanced,299.0136035729118,144,212,15.879236337999686,14.319962787386206,57.599999999999994
bipartite_pf,311.14793998703755,223,54,15.872342682916146,14.256787972780902,89.2
blossom,309.40334373925305,223,54,15.91676859449287,13.625868781791576,89.2
static,299.31113996343754,115,270,16.558817252444946,14.28694614912964,46.0
