Method,Total_Throughput_Mbps,NOMA_Pairs,OMA_Users,Avg_NOMA_Rate_bitsHz,Avg_OMA_Rate_bitsHz,NOMA_Percentage
Static,48.20208472983427,124,252,1.9827901491623552,2.620369898510922,49.6
Balanced,54.11051040845798,175,150,2.944722147427745,2.426462788917247,70.0
Blossom,56.71792676755342,234,32,2.988784702293748,1.7179001772413662,93.60000000000001
