Method,Total_Throughput_Mbps,NOMA_Pairs,OMA_Users,Avg_NOMA_Rate_bitsHz,Avg_OMA_Rate_bitsHz,NOMA_Percentage
Static,83.091367091503,6,8,3.9225205048046448,4.3286042419030295,60.0
Balanced,99.94847869247724,10,0,4.997423934623862,0.0,100.0
Blossom,100.76687337075614,10,0,5.038343668537808,0.0,100.0
