User1_ID,User2_ID,h1,h2,P1,P2,R1_bitsHz,R2_bitsHz,R_sum_bitsHz,Mode,U1_Distance_2D_m,U1_Height_m,U1_Distance_3D_m,U1_Zone,U1_LOS_Status,U1_Channel_Type,U1_PathLoss_dB,U1_PathLoss_Linear,U1_Shadowing_dB,U1_Fading,U1_LOS_Probability,U2_Distance_2D_m,U2_Height_m,U2_Distance_3D_m,U2_Zone,U2_LOS_Status,U2_Channel_Type,U2_PathLoss_dB,U2_PathLoss_Linear,U2_Shadowing_dB,U2_Fading,U2_LOS_Probability,SIC_Margin_dB,SIC_Satisfied,Throughput_Mbps
271,62,1.3869686975377334e-09,1.64624609975866e-07,0.9916453496278936,0.008354650372106462,1.2385583344929756,1.2481589693682695,2.486717303861245,NOMA,1954.04489138872,14.75257882601438,1954.0717610167421,1,False,NLOS,145.07976866890135,3.1047249598606453e-15,-6.925186839026861,0.011214908925489974,0.009225529919872917,760.6134979540343,7.718547721439368,760.8097934850259,0,False,NLOS,133.29050202324586,4.6875919273619366e-14,9.181709623501682,2.1882923463326582,0.023670682458174427,20.744280994499658,True,0.1989373843088996
268,242,1.4606843476189895e-09,1.6468666402418903e-07,0.9912085003947806,0.008791499605219334,1.2806510285789192,1.2915108770747654,2.572161905653685,NOMA,1555.809170942292,12.670588644707234,1555.8580239766447,1,False,NLOS,142.46119389250754,5.673886066212801e-15,14.588973582481565,0.10400752197286535,0.01156954230965257,842.5455389050023,4.50882081157847,842.7946805439939,0,False,NLOS,136.95327578966925,2.0168445274535497e-14,6.447622977829916,2.436146327592973,0.02136535263324781,20.521020568663545,True,0.2057729524522948
446,354,1.7343303834932979e-09,1.6748690264383852e-07,0.9897511065693914,0.010248893430608539,1.425768958339553,1.4417784774857565,2.8675474358253092,NOMA,2901.3194254832824,15.88427429060294,2901.3337459075356,2,False,NLOS,151.10911401407537,7.746198086168168e-16,14.583035366560354,0.3339944894956327,0.006204190605236043,1015.0412606796375,6.80255226621994,1015.2043675960675,1,False,NLOS,138.73593942818744,1.3378457926443265e-14,-6.1276388959803345,0.7151479166339914,0.017733368124526656,19.848490186762017,True,0.22940379486602475
357,24,2.2290571817971463e-09,1.6975349605886095e-07,0.9870390505327712,0.012960949467228741,1.6500232611175876,1.6781469613102715,3.3281702224278593,NOMA,1660.7766093817027,4.48314709045834,1660.9033347918526,1,False,NLOS,148.48253010750534,1.4182310496516532e-15,22.94215122171188,0.8305299073566664,0.01083830293861616,993.1984623561121,20.527213712142128,993.2085337147091,0,False,NLOS,130.12937314816656,9.706500587928027e-14,8.729904125543147,1.488615686048204,0.03742553585338194,18.816975177634788,True,0.26625361779422874
454,55,2.2955154776948355e-09,1.7081229037800306e-07,0.9867393878262868,0.013260612173713123,1.6772437268499538,1.7071163687678568,3.3843600956178106,NOMA,2710.068783382587,21.937465867298908,2710.0705138021945,2,False,NLOS,146.319762863143,2.333585479054946e-15,17.18768959842266,0.34375802732161176,0.006643886278048173,959.8380049444655,12.010241340315007,959.9258979555707,0,False,NLOS,134.66106573941767,3.418955325696022e-14,2.0832459037032542,1.1741800527976465,0.018753401677874034,18.71638890691103,True,0.2707488076494248
338,162,2.5611483417226694e-09,1.7180243896589382e-07,0.9853114495906521,0.014688550409347963,1.7790649571232486,1.8170210001064235,3.596085957229672,NOMA,1833.1356271366092,7.409407583598363,1833.2200240066902,1,False,NLOS,148.4021426053656,1.444726834408012e-15,17.922097571032232,0.5304527953283225,0.00981924072281285,895.369428588901,10.720408629172532,895.4832887225383,0,False,NLOS,134.2555222455545,3.753598141837811e-14,9.219353825110586,2.5631447229504265,0.020104092775593354,18.265945913961207,True,0.2876868765783738
359,374,2.8646420177263465e-09,1.718137223701047e-07,0.9836004760648771,0.016399523935122853,1.8841026012738529,1.9326898514240096,3.8167924526978627,NOMA,1936.796708121706,7.37782162482738,1936.876875219941,1,False,NLOS,149.35461462130314,1.1602151652734975e-15,-5.039876644520039,0.04707683492057413,0.009293696093454084,1923.2215378090766,8.965643980503593,1923.288377770133,1,False,NLOS,148.28242993267875,1.4851044750049714e-15,-8.926680079976421,1.5953109260549425,0.009359296184157088,17.779874892520947,True,0.305343396215829
498,346,3.8118337008358706e-09,1.766057588232545e-07,0.978872161813561,0.021127838186439016,2.154839903723145,2.242235999660301,4.397075903383446,NOMA,4882.364327262429,6.875587441959966,4882.3979680537395,4,False,NLOS,165.347792947913,2.918910005388192e-17,2.64855891637447,0.9570872673091855,0.003686738390146462,1472.204134419121,22.093090574356438,1472.2070043044769,1,False,NLOS,135.86973035868493,2.5883736150534258e-14,3.38595797897741,1.6210233772624094,0.014537131052893188,16.658709157204537,True,0.3517660722706757
489,310,3.9653051115429604e-09,1.772967851656136e-07,0.9781239138008403,0.021876086199159792,2.1918684411005267,2.2864552992576868,4.4783237403582135,NOMA,3504.9503027345595,6.097868030978207,3505.001271787509,3,False,NLOS,160.1890541383707,9.574025638685623e-17,0.5136848732377948,0.4299456511147099,0.005135593502126525,1858.8974989337676,18.486336597391126,1858.908910988685,1,False,NLOS,141.99216583944863,6.3209654434102345e-15,2.1199313879127453,2.8464641746838724,0.009814245354678126,16.504242509733484,True,0.3582658992286571
478,2,4.245433742662533e-09,1.7830465846557294e-07,0.9767437326856031,0.023256267314396933,2.2552213061105637,2.3636479150633294,4.6188692211738935,NOMA,2763.564029357617,12.113522993117176,2763.594073964003,2,False,NLOS,152.5460608884323,5.564086989240346e-16,14.055941722264436,0.9078669323643427,0.006513328371908231,968.1728594310754,13.78051443546379,968.237864677517,0,False,NLOS,133.74523122827696,4.221598017030906e-14,1.3701510613716759,1.0160891276956416,0.01931555996687441,16.232406225382686,True,0.3695095376939115
384,383,5.284717679461911e-09,1.8029688053301142e-07,0.9715234822290332,0.028476517770966766,2.449599046361439,2.616881631071207,5.066480677432646,NOMA,1514.7053388990555,10.126759318440351,1514.7783590273773,1,False,NLOS,143.53334780812537,4.432668149600596e-15,5.341683933142561,0.1468159969131435,0.011883499444988252,1864.1387091414742,14.92136811748959,1864.1659544526246,1,False,NLOS,144.17907709514233,3.820254451801256e-15,-9.130362414201958,1.0195861953967356,0.009682316591378528,15.32966421341121,True,0.4053184541946117
464,131,5.429439045377645e-09,1.8678869671881807e-07,0.9717537628601381,0.028246237139861914,2.4788484475929886,2.649863241651644,5.128711689244632,NOMA,2697.9131782045665,14.917312529055739,2697.932018735183,2,False,NLOS,150.45566494019008,9.003958942586444e-16,6.119657672702874,0.3660337173421345,0.006672035632412514,259.4900592835141,4.455420456501337,260.30207570355793,0,False,NLOS,117.04497444347562,1.974706499747235e-12,1.3262837666884912,0.15485081748527546,0.08450129576565385,15.365956301070558,True,0.41029693513957055
